"Variable","Importance"
"spectral_NDVI_endSnowfree",371609.26206533
"spectral_NDVI_lateSummer",277264.938601139
"spectral_NDVI_earlySummer",252673.258577246
"spectral_red_peakSummer",57890.7419408242
"spectral_red_annualMean",37356.1243780513
"spectral_NDMI_annualMedian",26623.1965357403
"spectral_SWIR1_peakSummer",25397.9181833113
"texture_NDVI_peakSummer",23326.9984250488
"spectral_red_lateSummer",21558.754149841
"spectral_SWIR1_endSnowfree",20681.2459170803
"zone_3_Sub.Arctic",20336.8228001318
"spectral_EVI2b_changeESPS",19423.0654064117
"spectral_NBR_annualRange",18911.3360444509
"spectral_EVI2b_annualRange",18757.2201018378
"spectral_NDVI_annualRange",16957.7373435989
"topo_eastness",14251.78430592
"spectral_NDMI_endSnowfree",13066.8471381899
"permafrost_index",12592.5094486949
"spectral_NIR_annualRange",12107.7841194834
"spectral_SWIR2_annualRange",11401.721328073
"spectral_SWIR1_changePSLS",9651.14760676196
"spectral_green_changeESPS",8791.88626901009
"spectral_EVI2b_changeSSES",8377.10642918896
"spectral_blue_changeESPS",8150.57330177774
"spectral_NDWI_annualRange",8054.51835877418
"topo_cti",7964.26243520661
"spectral_NDMI_changeSSES",7389.13900840863
"spectral_SWIR1_annualRange",7225.81769009147
"spectral_NDVI_changeSSES",5989.15570798935
"world_terrestrial_ecosystems_X72",5780.65249786055
"spectral_NDMI_annualRange",5531.93296535136
"topo_slope",5250.19981426758
"spectral_NDVI_changeLSES",3674.89425644583
"spectral_NDMI_changeESPS",3401.7438474527
"spectral_SWIR2_changeSSES",3052.77529950617
"world_terrestrial_ecosystems_X10",2550.84060234028
"spectral_blue_changeLSES",1853.43557182039
"world_terrestrial_ecosystems_X55",1670.22713539023
"spectral_SWIR1_changeSSES",950.72127574722
"world_terrestrial_ecosystems_X50",778.790809609875
"world_terrestrial_ecosystems_X49",692.596131224798
"zone_3_Oro.Arctic",398.963069720569
"zone_3_Low.Arctic",362.138614196014
"world_terrestrial_ecosystems_X16",162.412078956085
"zone_3_High.Arctic",162.241544673255
"world_terrestrial_ecosystems_X53",111.6317995063
"world_terrestrial_ecosystems_X54",98.3789028238696
"world_terrestrial_ecosystems_X63",54.2490218138044
"world_terrestrial_ecosystems_X5",38.353964657353
"world_terrestrial_ecosystems_X14",37.0385328616463
"world_terrestrial_ecosystems_X68",32.3906133369155
"world_terrestrial_ecosystems_X45",29.409920510051
"world_terrestrial_ecosystems_X47",8.92717160675743
"world_terrestrial_ecosystems_X66",5.73857424959709
"world_terrestrial_ecosystems_X56",4.28576513843391
"world_terrestrial_ecosystems_X57",0.188664456165599
"zone_3_other",0
"world_terrestrial_ecosystems_X1",0
"world_terrestrial_ecosystems_X29",0
"world_terrestrial_ecosystems_X27",0
"world_terrestrial_ecosystems_X59",0
"world_terrestrial_ecosystems_X18",0
"world_terrestrial_ecosystems_X25",0
"world_terrestrial_ecosystems_X58",0
"world_terrestrial_ecosystems_X52",0
"world_terrestrial_ecosystems_X22",0
"world_terrestrial_ecosystems_X19",0
"world_terrestrial_ecosystems_X75",0
"world_terrestrial_ecosystems_X36",0
"world_terrestrial_ecosystems_X43",0
"world_terrestrial_ecosystems_X74",0
"world_terrestrial_ecosystems_X89",0
"world_terrestrial_ecosystems_X90",0
"world_terrestrial_ecosystems_X70",0
"world_terrestrial_ecosystems_X78",0
"world_terrestrial_ecosystems_X88",0
"world_terrestrial_ecosystems_X31",0
"world_terrestrial_ecosystems_X48",0
"world_terrestrial_ecosystems_X11",0
"world_terrestrial_ecosystems_X98",0
"world_terrestrial_ecosystems_X34",0
"world_terrestrial_ecosystems_X115",0
"world_terrestrial_ecosystems_X111",0
"world_terrestrial_ecosystems_X4",0
"world_terrestrial_ecosystems_X7",0
"world_terrestrial_ecosystems_other",0
"world_terrestrial_ecosystems_X46",-2.50466307336159
"world_terrestrial_ecosystems_X12",-2.99223959229428
"world_terrestrial_ecosystems_X51",-8.77828893219773
