dataset_id,citation_short,site_code,plot_code,coord_type,NBR_mean,NBR_stdDev,NDMI_mean,NDMI_stdDev,NDVI_mean,NDVI_stdDev,nbr_cv,ndmi_cv,ndvi_cv,snow_fraction,snow_pixel_count,water_fraction,water_pixel_count,wetland_fraction,wetland_pixel_count
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B5,USA.YukonKuskokwimDelta.15B5.14,plot,3170.2586132644274,144.43318294608582,175.08484065460806,143.0727524722999,6438.476959517656,371.20737207918904,4.555880152545739,81.71624221570455,5.765453140753312,0.0,0,0.0,0,0.2777777777777778,5
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B5,USA.YukonKuskokwimDelta.15B5.16,plot,3073.2324080051653,287.0250180200117,106.9257585539057,226.63018007407612,6572.564019797718,273.5841753837553,9.339515530044784,211.95096779212696,4.162518228193314,0.0,0,0.0,0,0.4444444444444444,8
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B5,USA.YukonKuskokwimDelta.15B5.18,plot,2863.9506890611547,425.60970512166426,-54.333763996554694,369.59976241199075,6464.2344961240315,338.92607134290733,14.860929929669473,-680.239569700025,5.24309678966826,0.0,0,0.0,0,0.4444444444444444,8
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B6,USA.YukonKuskokwimDelta.15B6.32,plot,5098.2260626878515,267.78420673660395,2145.858522971233,314.3082520328069,7764.506011163591,258.52823238240705,5.252497701042009,14.64720291054437,3.3296159731308386,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B6,USA.YukonKuskokwimDelta.15B6.34,plot,4952.159579037802,163.80810621964508,1980.5569158075605,162.76219036448444,7652.7719072164955,169.4241296695536,3.3078115437360918,8.218001162471976,2.213892321941389,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B6,USA.YukonKuskokwimDelta.15B6.36,plot,4876.40485395189,80.97325711213269,1922.0876288659804,107.47013704812541,7609.9362113402085,117.34014310403708,1.6605113713335575,5.591323487760655,1.5419333335433039,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B7,USA.YukonKuskokwimDelta.15B7.50,plot,3696.583065380495,446.26973602958896,814.9931404072884,445.38141187168594,6792.539121114686,479.5780032742183,12.072493114222869,54.64848595524485,7.060364242635638,0.0,0,0.0,0,1.0,18
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B7,USA.YukonKuskokwimDelta.15B7.52,plot,3253.5696826758153,397.53802282528375,442.3786449399659,319.28322146677874,6423.361921097773,268.4417311265155,12.218518783908102,72.17419401203416,4.179146908176053,0.0,0,0.0,0,1.0,12
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B7,USA.YukonKuskokwimDelta.15B7.54,plot,3161.017396907216,268.8335229455468,378.1945876288659,224.88935422585195,6410.454682130583,190.2725357932944,8.504651800036827,59.46392719045013,2.968159751970281,0.0,0,0.0,0,1.0,18
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B2,USA.YukonKuskokwimDelta.72B2.2,plot,4780.88360585198,240.34036239449873,1564.770008605852,293.0089567308308,7167.465361445784,127.29719264423892,5.027111768634424,18.725368911683717,1.7760419649738104,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B2,USA.YukonKuskokwimDelta.72B2.4,plot,4768.017860985581,240.34036239449873,1552.322788896061,293.0089567308308,7167.363245104367,127.29719264423892,5.0406766375832905,18.875517310365904,1.7760672689665709,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B2,USA.YukonKuskokwimDelta.72B2.6,plot,4697.006243272336,247.73138647282866,1484.0942949407965,301.6130964678714,7223.886759956944,124.10227636913031,5.274240093414008,20.323041298390233,1.7179432692251946,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B3,USA.YukonKuskokwimDelta.72B3.20,plot,5362.216952789699,462.6381365078664,2363.1635193133043,466.719822045571,7134.696566523605,189.93396632679548,8.627739992265298,19.74978956095226,2.662116945771405,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B3,USA.YukonKuskokwimDelta.72B3.22,plot,5043.275268817207,419.85195377172835,2036.6397849462385,413.6011899595279,6988.238279569895,148.81805166040846,8.324985875105638,20.308018777628163,2.1295503345310625,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B3,USA.YukonKuskokwimDelta.72B3.24,plot,4846.40911044263,361.38255635934405,1836.269230769231,401.3308647614885,6982.176192522562,100.37160546527042,7.456707597810257,21.8557746346034,1.4375404271917631,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B4,USA.YukonKuskokwimDelta.72B4.38,plot,4348.819078242231,276.24804863564196,1178.7069667738476,345.7119239699435,7223.330546623793,188.846167554441,6.352254339982796,29.32975995858973,2.614391883847933,0.0,0,0.0,0,0.3888888888888889,7
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B4,USA.YukonKuskokwimDelta.72B4.40,plot,4348.819078242231,276.24804863564196,1178.7069667738476,345.7119239699435,7223.330546623793,188.846167554441,6.352254339982796,29.32975995858973,2.614391883847933,0.0,0,0.0,0,0.3888888888888889,7
