"dataset_id","citation_short","site_code","plot_code","coord_type","year","latitude","longitude"
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.3","USA.YukonKuskokwimDelta.3.2","plot",2016,61.186945,-162.791062
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.3","USA.YukonKuskokwimDelta.3.3","plot",2016,61.187138,-162.791429
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.4","USA.YukonKuskokwimDelta.4.1","plot",2016,61.200177,-162.789621
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.4","USA.YukonKuskokwimDelta.4.2","plot",2016,61.200431,-162.789713
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.4","USA.YukonKuskokwimDelta.4.3","plot",2016,61.200698,-162.78977
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.5","USA.YukonKuskokwimDelta.5.1","plot",2016,61.278231,-162.630852
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.5","USA.YukonKuskokwimDelta.5.2","plot",2016,61.277947,-162.630751
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.5","USA.YukonKuskokwimDelta.5.3","plot",2016,61.2777,-162.630726
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.6","USA.YukonKuskokwimDelta.6.1","plot",2016,61.259227,-162.629357
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.6","USA.YukonKuskokwimDelta.6.2","plot",2016,61.258964,-162.629515
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.6","USA.YukonKuskokwimDelta.6.3","plot",2016,61.25872,-162.62972
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.72B2","USA.YukonKuskokwimDelta.72B2.1","plot",2017,61.35168,-163.02261
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.72B3","USA.YukonKuskokwimDelta.72B3.3","plot",2017,61.29202,-163.36098
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.72B4","USA.YukonKuskokwimDelta.72B4.2","plot",2017,61.24974,-163.20647
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.B","USA.YukonKuskokwimDelta.B.1","plot",2017,61.25985,-163.24033
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.B","USA.YukonKuskokwimDelta.B.2","plot",2017,61.3208,-163.24312
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.B","USA.YukonKuskokwimDelta.B.3","plot",2017,61.27071,-163.23524
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.U","USA.YukonKuskokwimDelta.U.1","plot",2017,61.25816,-163.24728
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.U","USA.YukonKuskokwimDelta.U.2","plot",2017,61.32074,-163.2437
"ds02","Ludwig et al. 2018","USA.YukonKuskokwimDelta.U","USA.YukonKuskokwimDelta.U.3","plot",2017,61.27041,-163.2373
"ds03","Salmon et al. 2019","USA.Kougaork.GraminoidShrub","USA.Kougaork.GraminoidShrub.TT-1","plot",2016,65.16138,-164.82263
"ds03","Salmon et al. 2019","USA.Kougaork.GraminoidShrub","USA.Kougaork.GraminoidShrub.TT-2","plot",2016,65.16225,-164.80856
"ds03","Salmon et al. 2019","USA.Kougaork.GraminoidShrub","USA.Kougaork.GraminoidShrub.TT-WBT-1","plot",2016,65.16661,-164.81551
"ds03","Salmon et al. 2019","USA.Kougaork.GraminoidShrub","USA.Kougaork.GraminoidShrub.TT-WBT-3","plot",2016,65.16189,-164.81422
"ds03","Salmon et al. 2019","USA.Kougaork.LowShrub","USA.Kougaork.LowShrub.DSLT-1","plot",2016,65.1655,-164.82451
