system:index,FIRST_zone,agb_g_spawn_mean,agb_g_spawn_sum,bgb_g_spawn_mean,bgb_g_spawn_sum,dsl,total_biomass_g_spawn_extent_mean,total_biomass_g_spawn_extent_sum,total_biomass_lwr_g_spawn_extent_mean,total_biomass_lwr_g_spawn_extent_sum,total_biomass_upr_g_spawn_extent_mean,total_biomass_upr_g_spawn_extent_sum,.geo
0,High Arctic,127520.4105207292,1.9876343530043853E14,617825.2063585373,9.629914139200735E14,1,103670.78220912397,1.679629438026E14,54277.986795456265,8.79388604154E13,181825.6806522596,2.94586149834E14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Low Arctic,420308.1712657949,1.3650940478055368E15,1471661.2265014695,4.779721447320914E15,2,376609.6409019676,1.296286674003E15,229385.746132041,7.895434785075E14,604526.3058496626,2.0807735895459E15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Pan Arctic,325361.6767059444,1.5638574831060118E15,1194775.5505592162,5.742712861240914E15,4,289254.6529839795,1.4642496178056E15,173341.92637529632,8.774823389229E14,469239.5673328897,2.3753597393799E15,"{""type"":""MultiPoint"",""coordinates"":[]}"
