"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDMI_peakSummer","spectral_NDVI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_green_peakSummer","topo_eastness","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_red_changePSLS","site_code","presence_absence"
532.532129046585,657.618192826145,568.59177634346,339.077218654833,-3694.87308688202,1089.20273795148,-1726.49203710121,-1985.60841682664,791.837917227081,-0.035360938972897,0,473.388410818725,8.15218218301599,-2080.10009032391,-1.76032647611134,"Canada.Ivujivik.RTP13","presence"
1421.413947046,777.53210023614,626.772144275327,1519.74710387209,-2307.12790532847,2448.78490705492,-2625.58471023532,-2810.96173978796,1213.24479929379,-0.0357767827808857,0,1057.12337098298,8.63939007295884,-1847.72000396594,5.62552177856708,"nonveg_561","absence"
3462.54892949316,3668.25315914496,3948.30806695516,2027.86655250267,786.747546908317,5044.77251871229,-6005.37016705713,-5956.76479467124,745.997235821065,-0.0307858064770699,0,2312.67545236585,46.6751399002624,-5255.7960982738,3.86862790885681,"Russia.Yamal.VaskinyDachi-2","presence"
1576.42940682669,1561.19538865197,1527.78923751958,1048.41393233046,-1521.73049116228,3205.55686948203,-3999.75623923277,-4102.59858282831,731.772084347662,-0.0427190437912941,0,576.201852762691,-11.4920682651554,-4023.3722305287,9.78703250662688,"Canada.PrincePatrickIsland.MouldBay-C05","absence"
2483.12553079095,3795.70925920105,4195.75883121455,1752.15272527719,1780.49760281205,5759.01556489306,-6422.23594866019,-6705.27159722375,590.949060805634,-0.00388623704202473,0,2155.40093510501,30.3784088033519,-6091.18912512891,12.040613644431,"USA.SewardPeninsula.19","presence"
2342.77897210789,3220.38450755754,3181.15662472777,1875.48971800462,-9.84418617880812,4884.64573098673,-5496.88933936606,-6014.72577003119,637.492918670374,0.0020932343788445,0,1601.20342147903,7.10719419228369,-6059.12921102185,12.9591040177278,"Russia.Yamal.Laborovaya-2","presence"
2196.43161227881,2545.72338949697,2682.54394886992,1318.25871922255,1229.49354824051,4919.82381602913,-6040.33512649476,-5905.62959188456,536.890416364938,0.0308092910796404,0,1287.33824940493,11.5056528230353,-5510.59715889424,-16.2339577793801,"Norway.Javrresduottar.EC-Sedge","presence"
532.532129046585,657.618192826145,568.59177634346,339.077218654833,-3694.87308688202,1089.20273795148,-1726.49203710121,-1985.60841682664,791.837917227081,-0.035360938972897,0,473.388410818725,8.15218218301599,-2080.10009032391,-1.76032647611134,"Canada.Ivujivik.RTP13","presence"
2560.07857579893,3241.5098827841,3394.9728099683,2035.39545244924,1026.90311430459,5578.69513528632,-5843.6227899363,-6005.4246460251,641.090312879462,0.0032921937139084,0,2119.21101846549,38.6851779396323,-5160.93639110278,-3.74450060524662,"Russia.Kytalyk.T1","presence"
398.803205658805,405.648776143214,-236.526091026923,-314.367184195879,1201.65729868156,3610.15257175507,2653.36487423959,934.142554032608,70.6376902967613,0.0151116121560335,0,720.015960339093,22.9195588387709,2307.52048539981,9.78833086176548,"nonveg_1880","absence"
