"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_changeSSES","site_code","presence_absence"
422.631758609405,658.154720692349,1340.59285582176,-2717.09978731001,-2464.98969153934,-2525.85321373262,0,4.93489958184967,"nonveg_986","absence"
3025.21042255529,3749.70191737241,4183.1871637509,-5396.43477547829,-5965.75113896567,-5726.62803092447,0,29.9420986449492,"USA.YukonKuskokwimDelta.UB6","presence"
2679.27229776714,3262.01985174943,5018.93331300417,-5509.47391298609,-5806.41730864962,-5888.0818352621,0,43.4719694501887,"Russia.Kytalyk.T1","presence"
-204.237863274186,802.137233234394,233.76674739143,-1031.09036087802,-510.06693907723,-1109.88941966472,0,1.67861841022803,"nonveg_1469","absence"
246.568911882909,945.48751254196,1520.21479320418,-1756.37937638819,-1965.71862707593,-2050.56090115869,0,4.60654366006127,"nonveg_975","absence"
396.799961901896,-116.83807171072,695.490200220479,-1303.92995426659,-1363.1120376711,-2196.54432664406,0,-4.65149636299212,"nonveg_956","absence"
377.509847188653,285.731920973861,356.248984206611,374.259768166759,-65.1404024003877,-540.19927953226,0,-8.94442455369271,"nonveg_593","absence"
3114.93466906719,4397.03808080542,6239.40869600417,-6163.24996320642,-6674.42968289173,-7191.30208259783,1,35.2756658695167,"Sweden.Abisko.VJ-SalixShrub","presence"
721.691918816445,709.127498484442,1109.86058255047,-1684.88274193578,-1563.91025037816,-1459.93527926205,0,8.6760928278129,"nonveg_979","absence"
2597.6674207956,3317.90861374557,4771.54491617189,-5157.25373111925,-5627.61365029622,-6116.44160967723,0,16.7106621163157,"Russia.Yamal.Nadym-2-IH","presence"
-341.813404946491,656.397618685475,471.313129169116,226.263167166339,48.0405587307942,6.67949423634843,0,13.7161622197184,"nonveg_1547","absence"
3713.79841320166,4958.20600618726,5265.91535262915,-5964.44098908754,-6401.92495746079,-6262.38243894033,0,28.1553495163272,"USA.YukonKuskokwimDelta.2","presence"
-367.496433352954,-474.980520958728,-659.766481179848,3620.36930148117,4947.86486536478,2264.19801555572,0,-18.4532524819162,"nonveg_1720","absence"
2536.35588506946,3926.75307943118,6412.1868315552,-6256.02612949581,-6141.40851646376,-6686.94464580916,1,31.4312783106352,"USA.InteriorAlaska.20","presence"
2489.83282682176,4020.71917790712,5409.58471328891,-5926.0652043953,-6257.34341515073,-6254.67602831729,0,23.9634558539331,"USA.NorthSlope.HappyValley-C19","presence"
200.538485433166,244.656818230039,713.963280946394,-1024.83329236735,-607.812985406912,-1439.30469283347,0,10.2205327842176,"nonveg_912","absence"
-217.151097437673,-93.5351662868587,320.308106075487,-1096.78449376112,-822.622829284342,-1144.09575880452,0,-13.5881028614184,"nonveg_870","absence"
671.23622691453,242.44472916112,514.585532506027,-2142.87612235685,-1246.3097419912,-2532.87457404725,0,-0.13309950427683,"nonveg_792","absence"
-41.3886793576013,280.105923122664,717.946738980126,-1209.54130946158,-1238.68054551957,-1831.73663798597,0,-3.51264077599916,"nonveg_923","absence"
-352.598597427928,147.462526038303,-1235.368602223,981.893216899873,2485.74964050953,1427.11044939403,0,-1.22188730226864,"nonveg_1677","absence"
832.678418684692,656.663142119417,1183.05089583878,-2145.95467582876,-2190.69523969615,-2922.21876663697,0,4.71078804135781,"nonveg_998","absence"
615.181034680988,1241.55641999695,565.102783940013,-2877.34800812853,-1786.60458950851,-1797.03852785564,0,-20.3613309093513,"nonveg_508","absence"
1619.64695542566,1739.60069403329,1916.69196532524,-1774.42301193325,-1672.73428091023,-2800.03122231863,0,10.6500308792074,"nonveg_706","absence"
832.678418684692,656.663142119417,1183.05089583878,-2145.95467582876,-2190.69523969615,-2922.21876663697,0,4.71078804135781,"nonveg_998","absence"
2563.77079823187,3029.95869342142,4214.84875146576,-5315.16146660534,-5428.89878594851,-5542.74608294157,0,5.94172765144673,"Canada.ChukotkaRiver.TPO2","presence"
3024.84908972655,4585.96265991056,6223.91170842682,-6150.74034302825,-6842.75077800011,-6831.29598475998,1,35.4907647123029,"Norway.Javrresduottar.A-Hummock","presence"
