"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_peakSummer","spectral_green_lateSummer","spectral_EVI2b_annualMean","spectral_NDVI_annualRange","site_code","presence_absence"
2430.17732564504,2321.59433174106,1672.22479678634,-4677.02326963153,-5607.5448749996,589.728631881358,2534.78822144767,2173.21716918839,"Canada.PayneLake.TD4","presence"
-525.663044014571,-592.81831474035,-2161.6541754005,8243.69527983018,6760.96349400144,504.101165704995,-715.243529074946,5361.6726523329,"nonveg_1797","absence"
450.454225608219,224.749345396524,66.8768717695843,-1485.50950410808,-1565.24370304833,1158.1395852333,355.894767016264,1008.81229385612,"nonveg_984","absence"
1947.67726240512,2017.54132355704,1497.60837162133,-4371.93817416451,-5019.27466087868,740.05567328509,1909.15270458919,1312.83482771781,"Canada.BanksIsland.GreenCabin-C10","presence"
2475.46186629262,2286.60049903649,1743.55540626582,-5467.18992512899,-6817.00542611328,555.304322504934,2559.80803663076,1712.04574590824,"Finland.Javrresduottar.A-Betula","presence"
423.918468290583,820.380863622321,201.366092221542,-1870.47237889192,-2264.60207808175,2128.30238588115,409.159883589249,762.517447841732,"nonveg_1261","absence"
739.527672225536,594.815562490303,-744.776334472554,-1584.55189945927,-1064.11279952378,2319.30946461627,517.239098607089,2569.48249555316,"nonveg_643","absence"
887.942768317011,594.144757910183,365.995853837084,-1303.01235043337,-2186.05842411778,1758.27864277215,651.119493979461,989.87983193132,"nonveg_861","absence"
-558.291791018448,-21.0068706370935,-228.131966309247,8286.56382111534,9226.13638153149,373.790969090176,-154.716500753326,1614.52015498545,"nonveg_1994","absence"
902.834210092372,835.461783201129,890.78283691122,-1773.20725157927,-1488.16132610409,1698.33895033851,930.076330441926,650.534030757578,"nonveg_926","absence"
2191.55553787869,1501.54956832861,1713.46359697059,-4580.93996400271,-4899.46717385745,758.611436416208,2335.99935902592,1646.5230751813,"Canada.Yukon.WHEATEAR","presence"
1123.62812017997,1033.56616498078,778.083099598773,-3333.18017335917,-3560.43065825378,915.424476159785,1255.04847160996,1873.00294960244,"Canada.BanksIsland.GreenCabin-C07","absence"
2278.69895940152,2148.5107138379,1816.82836353183,-5232.47390226793,-5839.62128819942,717.524639990402,2265.62557717345,1752.1844717497,"USA.YukonKuskokwimDelta.5","presence"
1023.16329545024,590.279591507777,114.662533527254,-1453.34009144605,-3845.3536272854,718.503386050248,235.847176310187,1096.21897454064,"nonveg_730","absence"
2539.38088642415,2672.29166614748,1506.72723652003,-5723.53202436102,-6502.85575930735,445.354458270936,1038.42245226255,2246.09108275497,"Sweden.Abisko.NF-Wetland","presence"
3077.80710210425,2180.03808013646,1443.38824928434,-4225.29747814823,-6026.20146197332,630.966221383712,2809.39635242106,2103.80750930167,"Russia.Yamal.Nadym-2-H","presence"
81.5670693414923,769.722839071465,-385.731325128171,-2614.7483708264,-2206.35173371714,925.100682868359,518.196643299658,2990.76372872173,"nonveg_666","absence"
1831.31124068792,1602.19139859557,956.051892388247,-4514.23336369153,-4855.35967725967,725.246249816718,1627.80690790139,2526.70354034518,"Canada.BanksIsland.GreenCabin-C11","absence"
-246.374403947027,463.483460893413,79.7958756922765,-690.665741238299,-81.1255298356032,582.157205176563,102.167318209657,881.878331396276,"nonveg_689","absence"
2184.7324209948,1555.80597660684,1284.93618415417,-4911.38174389131,-5677.87718962122,564.668925963868,2192.04210092868,2695.49430954386,"Canada.DaringLake.Tower2-SedgeFen","presence"
3490.92740367525,2652.30639770319,2173.03982426338,-5134.78436990015,-6648.05751457887,613.724820298837,2780.50763395079,2007.32713764986,"Russia.Tazovsky.Burned44","presence"
352.329425695939,-169.953405794335,497.808668415577,-1375.5820742155,-2517.11288757014,1310.25505085612,145.116171856002,879.786246172714,"nonveg_645","absence"
2837.28352042386,2258.06187099334,1704.75053179292,-5945.33444019062,-6372.71490131766,559.334946445586,2950.29668138523,4703.08638402463,"Canada.LeRoyLake.TDA4","presence"
2458.01820385755,2319.23469717442,2011.49092254941,-5454.51870708904,-6393.72015804146,652.366112265152,2666.82003348446,2673.60049181597,"Canada.DeceptionBay.BEGL1","presence"
-558.291791018448,-21.0068706370935,-228.131966309247,8286.56382111534,9226.13638153149,373.790969090176,-154.716500753326,1614.52015498545,"nonveg_1994","absence"
1988.95678247445,2054.05402178774,1013.11196793092,-4629.93368854327,-5517.77819342512,715.668084826386,2232.06712655839,4805.78335074811,"Canada.DeceptionBay.TH6","presence"
449.988932626271,294.328905301796,-44.2733477931077,-2284.99400374338,-2463.99827571251,798.384531364566,476.75302253319,1951.2728956477,"nonveg_913","absence"
528.162786793808,244.072573141091,573.346351586474,-2129.3310466851,-1409.60705377523,870.723295803543,587.433940372845,1186.28996501905,"nonveg_760","absence"
2834.30509721968,1595.42724367095,1860.32292009517,-5139.82236797418,-5787.74257525124,755.518822383218,2647.85133644654,3087.99765596872,"Canada.KluaneLake.Ruby-MixedTundra","presence"
2134.60524711829,2069.66911971861,1697.69912290065,-4385.68078233405,-5038.46451285757,833.157096876846,1983.93082262657,1135.440740175,"Canada.BonifaceRiver.LSA4","presence"
1336.4558874216,562.662542080627,783.282493661538,-1262.3853522438,-2309.11161768824,1337.42423185692,973.632319263717,983.243836652314,"nonveg_880","absence"
1023.16329545024,590.279591507777,114.662533527254,-1453.34009144605,-3845.3536272854,718.503386050248,235.847176310187,1096.21897454064,"nonveg_730","absence"
1485.1761778242,1350.45440600857,879.521444651801,-3983.23902425417,-4775.80732957322,768.875125599553,1605.748763021,3191.72001675247,"USA.NorthSlope.WestDock-C14","presence"
251.219366363148,404.789767969848,-165.640790821986,-1824.30255142452,-2319.09667202137,1054.87966420689,282.166396759458,1287.12357788018,"nonveg_941","absence"
915.454234347364,-277.383589935082,314.680405421219,138.851887363575,-592.525543164302,653.477745232074,155.925441413366,1530.26468645299,"nonveg_1268","absence"
2780.89597963861,2998.63374420783,1864.44944525441,-3916.80287485906,-5688.36496753702,622.898576237554,3372.87731379296,2558.77715859028,"Russia.Kytalyk.T3","presence"
2366.68878641359,2330.00115383755,1460.5852149036,-4500.4691651836,-5255.80940197325,724.992467785995,2717.85248540002,3681.81913858129,"USA.NorthSlope.Barrow","absence"
2569.33631846746,1889.25641626993,1573.9244839298,-5629.71592811905,-6732.25860973838,477.690822552495,2466.74319254175,2829.38912068698,"Canada.DaringLake.MediumBirch","presence"
3661.94482766859,3240.11892488023,1113.48589659579,-5751.2186659467,-6617.63440087533,674.001523439328,3373.47847288419,3294.97318846943,"USA.InteriorAlaska.BABBAGE","presence"
-72.9050712192033,317.856463738995,-693.224793495287,-1203.78438715419,-1450.16879918838,774.306588613398,7.71888018024639,1715.04656904113,"nonveg_1499","absence"
3084.01500482395,2309.22277391834,1896.28284883117,-5304.60799091702,-6474.04517900277,669.640366686053,2947.48138336324,2886.56702082013,"Russia.Kolyma.OW1","presence"
339.334250794142,1100.38823721362,-639.944933733564,-2541.56827378978,-3676.39586568888,1024.35628070492,259.311993244717,2305.47740643984,"nonveg_606","absence"
2370.94219369741,1628.72947372013,1497.20303574611,-4892.64067749007,-5874.91937179607,642.520250962358,2350.41680464406,2627.52165409953,"USA.InteriorAlaska.AUFEIS","presence"
3396.01337889017,3619.32999835844,2529.50913372196,-6229.45515681806,-6442.36789688501,600.920580340267,3905.16748631508,3597.49401187952,"Sweden.Abisko.NT-MesicHeath","presence"
2191.55553787869,1501.54956832861,1713.46359697059,-4580.93996400271,-4899.46717385745,758.611436416208,2335.99935902592,1646.5230751813,"Canada.Yukon.WHEATEAR","presence"
2690.85765693442,1834.36742370682,1939.54284453264,-6013.47363211734,-5790.96849555151,633.319141056769,2591.75505009205,3736.86206534969,"USA.InteriorAlaska.4","presence"
1014.14893251212,1063.61029273093,1417.20866511145,-2283.12040348631,-2839.46704702037,1426.34919094964,1089.88761979129,878.649048412243,"nonveg_561","absence"
1181.09130291501,1142.39903907309,1417.97279075699,-1259.25185666424,-1667.80643368703,2235.88415226176,1234.23248995457,1361.34931331491,"nonveg_624","absence"
1048.50758923628,1614.4145484142,1356.71263581513,-2920.52493320868,-2049.03154767255,731.526270290099,1675.54819561537,1694.74649770113,"nonveg_706","absence"
1524.63203198774,1516.61861484172,1244.94319745692,-4607.96107234235,-4927.69583269566,655.877664169893,1740.18858423144,1590.87311727257,"USA.NorthSlope.FranklinBluffs-C17","absence"
1181.09130291501,1142.39903907309,1417.97279075699,-1259.25185666424,-1667.80643368703,2235.88415226176,1234.23248995457,1361.34931331491,"nonveg_624","absence"
-31.9702934721314,-179.326406306554,-47.4930719070221,-1980.30048316791,-1878.28449826091,1222.87701435397,88.3587129197618,1305.49097240853,"nonveg_637","absence"
207.135590657449,-269.824550296888,-712.553401861552,-165.313360445188,-217.752232974943,711.297153827297,-1.21028567776638,1862.78475000435,"nonveg_1145","absence"
