"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","site_code","presence_absence"
3247.50264589194,2429.86969367442,1940.037586815,6183.71466945153,-4916.62228269398,0,-60.8894800642277,-5233.89539687195,"USA.InteriorAlaska.24","presence"
911.63293908857,991.836943648227,410.144004106785,1828.09597733471,-1180.8031959724,0,155.302666454676,-2472.99999470698,"Canada.EllefRingnesIsland.Isachsen-C02","absence"
2697.74588937315,2887.99103812087,2333.99708485725,5538.93224114803,-4565.23415341811,0,13.3947166904878,-4773.8477892621,"Canada.CoutureLake.TD7","presence"
-103.785408955084,17.0212541793402,-260.027016027969,-1.35288637737392,648.897254632677,0,40.827026142079,-651.67504159028,"nonveg_1927","absence"
1182.11369783533,964.015794294786,682.469254978699,2432.85330254161,-1960.09670513868,0,9.91487942352342,-3585.28096662684,"Canada.BanksIsland.GreenCabin-C08","presence"
2686.48846506614,1984.55690954531,1701.40203460816,5535.26554435733,-4643.5668535466,0,-18.894606697264,-5712.47543081247,"USA.Toolik.S2","presence"
3464.02877577278,3391.15811771527,2278.29863741258,7018.87142991435,-4856.52652640212,0,-52.724242825967,-6802.82966941554,"Finland.Kilpisjarvi.16","presence"
2705.64284456404,2279.8724158195,1748.5974858262,5878.99280650755,-4374.16065428136,0,-71.9258795593453,-5779.32235323509,"Canada.DaringLake.Tower3-DwarfShrub-1","presence"
2659.23416762298,2787.30228202133,1761.73735346984,5827.39103034903,-3781.41315325983,0,-60.6546003594101,-5960.92795080943,"Canada.DeceptionBay.BEGL2","presence"
-5.33437119402857,-444.213532091195,-11.3054252741349,372.020430890543,-1179.31294177553,0,-58.4858926590224,-1673.98010732353,"nonveg_907","absence"
3354.57963665556,3138.98222120998,1891.38925409335,5914.12099138938,-4707.72695265321,0,-68.5870734323755,-5763.55907671643,"Sweden.Abisko.NT-DryHeath","presence"
748.081986647117,499.966581416207,362.691680170343,977.548064273543,-1824.95628101418,0,-3.76181514802425,-1626.93876279891,"nonveg_953","absence"
3047.67104859611,2279.91206045694,1857.03813282728,5841.4719708935,-4040.1932026905,0,-52.9498647666061,-5668.66156250416,"Russia.Kolyma.WT1","presence"
2631.28857116882,2375.52662699386,1819.02017962326,5665.28086118768,-4215.62500916379,0,-135.000174038442,-5267.53215689161,"Russia.Yamal.Laborovaya-2","presence"
2586.47123563251,2039.34651294683,1684.81371006507,5347.52845278531,-3921.74682222567,0,-59.2030576037951,-5361.47923233534,"USA.NorthSlope.Oumalik1","presence"
303.955248436688,439.514027210487,409.718751063635,1416.34881740364,-2423.89400570027,0,3.96713339326281,-2723.54886599627,"nonveg_986","absence"
2640.59501103774,2187.18449640838,1879.8198143121,5259.53333011165,-4335.34198289765,0,-18.6069003694343,-5288.26439107716,"Canada.ChukotkaRiver.TPO3","presence"
