"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDMI_changeESPS","site_code","presence_absence"
366.966694939625,34.1099794075143,1108.10635001512,-1679.23387427728,-1607.10377777324,-2162.36085901464,-1856.91054692271,-690.975353007349,29.0866165161133,0,366.966694939625,471.154694241612,1073.9963706076,-20.4483532360411,-7.3133635830437,"nonveg_695","absence"
650.122953931416,995.456623918165,520.536591021138,-1807.14863327554,-2027.01839089549,-1867.04562482731,-2182.93405322463,-1900.75280171689,2.06429862976074,0,842.72184888197,791.629358059115,474.920032897026,19.4896446146249,-13.0327952149451,"nonveg_975","absence"
2579.97271976728,3924.14510893549,2039.73678399676,-6374.01591800501,-6232.66362943416,-7098.33170983878,-7534.96829441857,-4498.88009214874,2.2033391793569,1,3793.3866433701,3495.00206673149,2190.17438906355,36.4875876370323,16.9238050577555,"Canada.ClearwaterLake.AB2","presence"
809.791750150906,-37.5263294991043,1010.98138412725,-711.351911064509,-1613.72340616861,-2593.49626453254,-2155.74058177096,-1198.5908714713,13.7921733856201,0,809.791750150906,763.61769036765,1697.24059155889,24.9512645358665,-75.5955800448114,"nonveg_602","absence"
3386.64090452125,3444.1895743151,2391.99675021282,-5617.72937689107,-6364.47809524774,-6770.16047403959,-6083.45757788795,-5114.4658312196,1.41812003742565,0,3073.14832538612,3046.63729012725,1554.94172562365,43.202238352618,-17.3949854175867,"Russia.Tiksi.Bog","presence"
1250.35902846203,916.081961232915,1414.42580119784,-2135.751161435,-1493.52650142302,-2236.61125141621,-2237.02240128135,-1092.08424017097,0.411850243806839,0,1023.41112401856,1115.50852674381,498.343839964926,-15.6405870871713,-2.96338081819302,"nonveg_863","absence"
94.3109712113947,504.135300566013,378.947124461708,-468.936189865958,-1636.25658271507,-1034.05857707517,-900.655080582087,-553.065867728141,21.8847503662109,0,504.135300566013,456.004202744648,621.564206309841,13.4771221223811,-0.957104998688832,"nonveg_994","absence"
-191.031725258869,737.327966396927,480.889539818914,-2121.28108174361,-2401.95919139744,-1783.56555873103,-1887.49188748746,-271.013009221375,1.50054705142975,0,480.889539818914,376.511403593247,991.550743177126,-17.7515550303295,2.53962183106989,"nonveg_869","absence"
2243.07156180003,2889.48984469943,1512.63563999052,-4965.995157226,-5408.41249296103,-5460.74720876114,-5648.55506598413,-4361.11025500966,1.37056748072307,0,2329.41468843026,2228.92254185486,1688.5104451387,16.7837209932967,12.3672634756442,"USA.YukonKuskokwimDelta.15B7","presence"
670.578753600435,1552.27013230461,347.63193302923,-4583.72153864229,-3497.72545704668,-3321.84838228023,-4425.39196848465,-2830.60385022786,31.2691631317139,1,926.883979856327,1009.38821120743,1204.63819927538,21.4537795121147,31.5424377783585,"nonveg_856","absence"
2385.06084960866,3242.52629236269,2372.38630774338,-5595.27296044145,-5503.67732133263,-5799.04339958135,-6410.05907044647,-4343.60512452917,0.652561724185944,0,2804.0547714658,2787.39905081248,512.316368015892,0.529565165679221,11.306522398645,"USA.SewardPeninsula.18","presence"
2501.800318813,3651.47580463404,2294.63137035787,-5766.84359323341,-5666.61626200471,-6262.34606521763,-6443.91644479224,-5189.8724575203,1.99255704291073,0,3242.07848970299,3216.76542389063,2150.15442260018,24.0533614912545,56.3620838037552,"USA.NorthSlope.Ivotuk3","absence"
72.9536518939539,486.194275152162,138.643834672603,-1014.09955009204,-1040.90638985346,-1542.99499121152,-2600.54422554029,-663.524861371294,44.8595352172852,0,138.643834672603,227.941893988472,683.898397369887,15.1522935044343,-41.9104359610462,"nonveg_547","absence"
407.050818696829,141.390776077175,17.4184483454078,-1146.5647104115,-1306.20780940122,-1783.60535587032,-1679.53248530542,-1576.46067263553,23.6059303283691,0,223.18264569023,260.59711920977,496.5244588938,10.3442595602875,-9.74539095852905,"nonveg_956","absence"
2694.13352807219,3301.30599025831,1911.69297577413,-4813.05312696143,-4347.46893194508,-4806.25634873679,-5544.20964973113,-4847.53539319646,0.83996073404948,0,2303.01291870349,2629.95271788092,2081.32143841942,19.2544610300102,71.675544924428,"Russia.Tazovsky.Unburned28","presence"
148.93848669779,413.119780859382,784.20561865883,-1314.39533166687,-1342.50344466602,-1136.44567995077,-1394.98671371137,-454.443696973519,3.12220048904419,0,350.475748903223,385.018065215383,635.267131961039,-21.3790356808131,-14.7728340823515,"nonveg_958","absence"
1248.18674429336,2910.00858150828,1613.2695102346,-4389.74770313029,-4675.95248024193,-5060.75233317825,-5852.07397187574,-3921.18080731647,10.5745643615723,0,2723.13256082158,2271.32249141541,2949.51944467086,51.305763213983,8.74585138915766,"Canada.KluaneLake.Gladstone-MixedTundra","presence"
872.076174769858,596.973246303191,352.00204951325,-1626.72382925882,-1210.75359272134,-1640.04688079442,-1543.79996581894,-1271.16484747119,1.49644756317139,0,596.973246303191,595.76954985515,520.074125256608,4.74461308878626,1.93073427585517,"nonveg_916","absence"
869.131980815384,807.051226668523,821.712644252229,-1994.17771151229,-1438.25101739119,-1506.22136410585,-1755.54197494636,-1299.90120366803,1.52118134498596,0,807.051226668523,670.594192609569,566.314578201538,-16.7385561818833,30.1148569981626,"nonveg_1261","absence"
