"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_red_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
508.466219036101,-108.596827967864,433.344924096672,189.604619470615,-716.519179230296,-1260.15285918366,-1476.97653015183,-0.344030499458313,0,433.344924096672,1162.23509547251,-1195.92745888291,-1039.73695528312,11.5676685935535,"nonveg_988","absence",0,0,0,1,0
3703.52427245752,4281.25254751395,4604.81358944578,2770.43097650697,-7115.56661428143,-7598.07208763499,-5636.0842501118,0.0182741392403841,1,4025.27018684129,3460.52001354107,-7612.75890124855,-7039.24935179809,9.18467513254828,"Finland.Kevo.2","presence",0,1,0,0,0
177.580944520821,-234.136563661078,75.0875341391621,90.7399067177975,-2082.66519023868,-2448.3456621963,-854.446494279981,-0.000550753728020936,0,90.7399067177975,1628.24037759929,-1729.61422456942,-1632.7494539659,10.9832407005889,"nonveg_1654","absence",0,0,1,0,0
559.437243492403,1126.92216935996,854.933819865613,428.466049424142,-1960.45958333305,-2524.93665873105,-954.590681867284,0.0170383118093014,0,739.772258171985,1640.71378838782,-2363.68771422405,-2190.80080352852,24.5990681574356,"Canada.Ivujivik.RTP12","presence",0,0,1,0,0
2887.04442712133,2906.86821589674,4792.08557778398,1482.51735898963,-5619.79450177502,-8048.42648174764,-4468.84074638202,-0.00905031291767957,1,2992.66431824791,4141.49734977858,-6252.14291020974,-6394.09818922483,-7.12045529932185,"Finland.Kilpisjarvi.17","presence",0,1,0,0,0
3275.12448761744,3586.89393176089,3624.05699259865,2393.72153031995,-6139.23138233365,-6387.87719141738,-5125.56631453295,0.0169626579365947,0,3501.93418875266,2915.41379851884,-5634.92183509502,-6077.3747481777,46.3097718889816,"Russia.Tiksi.Bog","presence",0,0,1,0,0
3611.92448814448,4037.38151824845,5092.45738823856,2212.85559029447,-5722.12259673365,-7208.13590077115,-4684.13586419097,0.000154799447045662,0,4061.10954664771,2608.09568526979,-6324.68228741476,-6309.9122811035,0.952038482041567,"Norway.Javrresduottar.A-Salix","presence",0,1,0,0,0
245.352802437999,167.725415862686,420.252945886942,145.235352737132,-879.940412354314,-562.010983601021,-276.148088499175,0.13860584795475,0,245.352802437999,842.87728666127,-562.010983601021,-501.466332357369,7.06347243951118,"nonveg_848","absence",1,0,0,0,0
3366.51679453385,2269.49561986638,3897.41038746366,2044.05967628262,-5828.22255932241,-6634.48654569012,-4775.46166406133,0.00972253456711769,0,3204.8885094669,2521.87766329591,-5908.21325011161,-5684.61542257704,0.530970499391809,"USA.InteriorAlaska.24","presence",0,0,0,1,0
82.8134349813553,820.245543876142,596.270491943403,329.774291837822,-1256.8915877202,-1834.55773221732,-1629.15765910495,-0.00788228306919336,0,479.614993651178,922.474924547128,-1834.55773221732,-1810.85578648542,-2.34089433706968,"nonveg_968","absence",0,0,1,0,0
204.903927597803,577.96933847241,-366.838557731131,-107.104817453619,-40.9942254292818,-1763.29772929382,1029.85837121469,0.0895349010825157,0,204.903927597803,1083.55646622068,-40.9942254292818,-323.686262359937,21.1306454444177,"nonveg_1172","absence",0,0,0,1,0
1345.88181815364,1097.31704858794,1684.45688690793,1024.7221385015,-3427.55088807715,-3040.32810430614,-2145.71468196924,0.0106963459402323,0,1211.06816833604,2262.38418613922,-3763.9229029017,-3359.63530066914,-43.5677099488451,"Russia.Tiksi.BareSoil","absence",0,0,1,0,0
559.437243492403,1126.92216935996,854.933819865613,428.466049424142,-1960.45958333305,-2524.93665873105,-954.590681867284,0.0170383118093014,0,739.772258171985,1640.71378838782,-2363.68771422405,-2190.80080352852,24.5990681574356,"Canada.Ivujivik.RTP12","presence",0,0,1,0,0
2496.01055024246,2495.47900241609,3391.34664734755,2013.4023902013,-5533.31626809963,-5763.25091748904,-4138.39456408619,-0.000844915378062676,0,2662.8719226748,2040.22303161962,-5778.84362613294,-5278.87370266883,-3.70882723295893,"Russia.Yamal.Nadym-2-IH","presence",0,1,0,0,0
