"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDVI_annualMean","spectral_NDWI_annualMedian","spectral_NIR_changeLSES","site_code","presence_absence"
1187.54228411025,1503.43109928243,811.453185623335,3294.48883602619,-3063.32092973096,-3101.42250089928,-3228.52099806103,-2184.27025621518,2.83097685575485,0,1210.86538243793,1271.83230162525,2720.65275113414,-3401.77224950822,-20.7865523738538,"Canada.BanksIsland.GreenCabin-C08","presence"
770.879979899969,245.560626509491,674.20769720167,1996.64481966538,-1587.80704147248,-2048.2982007924,-2000.10083918853,-534.318496533929,28.8161449432373,0,770.879979899969,868.370499142089,1395.09575857681,-2000.10083918853,20.1041883326159,"nonveg_725","absence"
532.765399020957,1024.94437051639,-287.079346946664,2917.80513782311,-2191.12648041926,-2551.69141630441,-2758.29972522321,-284.653399858852,26.3554859161377,0,532.765399020957,1312.02371746305,1682.79707810564,-2514.74205921419,-18.8467997118891,"nonveg_804","absence"
870.821032753531,878.590332039397,439.49033574855,1842.30005232269,-2574.3070823532,-2342.1975456144,-3103.70699447208,-958.96807151696,7.46772925059001,0,842.803455636572,359.654227691641,1995.68190543129,-2063.88244926663,-11.3596607643569,"Canada.Ivujivik.TP10","presence"
390.742248869309,182.405195697701,66.7552367361476,1206.05621835208,-919.775409856166,-766.357774222677,-890.288912322288,-994.509894788719,21.7044715881348,0,388.227204206769,534.107372410199,744.619217091971,-919.775409856166,12.2635404336352,"nonveg_709","absence"
240.2125440626,664.423963182239,333.208622590875,1664.81690480029,-2178.9930980486,-1972.32397156039,-1424.65169449711,-241.93587017969,3.24181699752808,0,333.208622590875,547.138711095318,1027.05291082472,-1424.65169449711,-19.0929880907645,"nonveg_792","absence"
2487.65012842982,3026.76226460204,1954.09340810566,5610.84612484363,-5588.38676033962,-5575.13273979387,-6171.64150735651,-4677.49846068812,0.652561724185944,0,2492.52399479212,1388.70616524485,4547.62739733998,-5798.35064616193,-7.17674565378983,"USA.SewardPeninsula.18","presence"
641.598657635736,1395.4001646144,191.454465703497,1294.62817661448,-1896.29806412318,-1938.78030851004,-2754.18086361075,-1521.78476711825,2.00368094444275,0,593.430138925043,1203.9456989109,1583.2162805463,-1896.29806412318,-41.1515411923763,"nonveg_882","absence"
2920.35121438187,3541.02338124638,2310.13230461378,5988.65872320735,-5730.95953098337,-5929.07454728837,-6238.63926428691,-5070.18169348424,0.140866681519482,0,3336.7986569381,1495.0355678654,5035.55535834101,-5736.60845415632,14.2126190219917,"USA.YukonKuskokwimDelta.15B4","presence"
3698.56704942451,3798.93356644246,2412.01493756345,5644.69159900813,-5589.70863797081,-5898.48335823004,-6618.98816416523,-5052.27656883757,1.47609286958521,0,3763.33304827409,1514.92080066502,5791.4004238577,-6379.64195767795,-16.0718085517368,"Russia.Tiksi.Bog","presence"
1173.81761505281,1616.1166122288,697.68887653489,3845.20916214216,-2968.33100692476,-3210.90119177266,-3407.20777137629,-2057.87373987898,4.69756573438644,0,1647.41961853443,1264.57936402043,2936.86361819617,-2678.61755506399,22.6410864617126,"Canada.BanksIsland.GreenCabin-C07","absence"
731.344284321531,1224.65433020619,648.581529831223,1722.96493761999,-1927.96044108712,-1615.43610543913,-1082.80466758994,-1144.27823010258,3.50021100044251,0,731.344284321531,904.047092361692,1149.05854175317,-1153.76710885487,-36.1456464017755,"nonveg_688","absence"
2616.36749119907,3154.82807385257,1438.72200735883,5421.57219849089,-4492.44604365208,-4972.03804303344,-5359.58629887925,-3071.63852684269,3.22588226530287,0,2599.4603077303,1625.03919012561,4434.79347469154,-4801.80780784029,-9.32833165191776,"Canada.BonifaceRiver.LSA6","presence"
