"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMean","spectral_NDWI_changeESPS","site_code","presence_absence"
1092.24610875187,1024.21465210364,1373.09912048102,1543.87381467711,983.311993580397,-3072.69611528452,-3460.93097474141,-3423.31305028094,0,1193.61043879775,1097.16274716547,828.68646112191,5.23108955029953,-2999.98592635599,-64.1278615369683,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
324.326372211112,-163.828558237581,-428.600284177749,-55.9745268817534,-232.715325308633,3778.31321485981,4259.52163902357,4177.60361432791,0,-163.828558237581,-111.358464478921,752.92665638886,32.767158677632,3963.40625506284,18.6937519471057,"nonveg_1367","absence"
2758.59743839072,2330.24041452975,2994.75141011053,3032.91638963672,2238.28559950588,-5936.23017069127,-4996.47327745919,-5904.8312698723,1,2921.94003702556,2624.99824641233,1351.57180245555,32.4685820361206,-5606.66756389451,-36.6641643207181,"USA.InteriorAlaska.4","presence"
506.338549767595,412.673052481592,629.303528458435,334.784507037252,166.957495468936,-1398.2850281123,-1528.67073628633,-1126.55404808065,0,412.673052481592,410.011426642762,462.346032989499,12.1207519392378,-1607.58452759723,-16.4034081821563,"nonveg_790","absence"
178.627850161963,-595.461630966899,-12.0651652680143,653.401240360821,-434.073882757492,2617.02889515687,3295.18750767772,3131.7196295855,0,-12.0651652680143,-41.9143176939242,1248.86287132772,30.6350866459727,3230.66262792056,1.72697614308031,"nonveg_1646","absence"
877.557116554629,222.069325017103,99.4285526096116,88.0742111596018,58.1633389449904,-348.477139532662,-1269.91548663409,-1380.96743726843,0,99.4285526096116,269.058508857187,819.393777609639,23.4112507888468,-1073.9951294477,-28.0665521168689,"nonveg_973","absence"
-245.35682295659,261.789488983077,874.883854933228,-44.0478313432736,-384.95270611032,-689.502458644538,-80.1106906570524,624.030369249711,0,-44.0478313432736,92.4631967012244,1259.83656104355,4.23017827738574,-193.681138006924,3.67550065941794,"nonveg_689","absence"
2047.77638222079,2021.96119092748,2378.87722758834,2693.56979963027,1719.32659816968,-4881.5923363303,-5340.85551523633,-5373.99388285532,0,2232.73002472413,2204.21730845057,762.357767295381,12.9697506389799,-5292.52004361203,-21.2379793663231,"Canada.LeRoyLake.TD7","presence"
2681.80230571606,2218.28614063091,3351.7049481903,3641.58736913263,1911.95072877728,-6745.27377923173,-5607.72202329176,-6579.2436801979,1,2888.24651261575,2378.54096326525,1493.51158547749,36.8501454479147,-6608.89927642274,-52.1284847220871,"USA.InteriorAlaska.2","presence"
-8.51713155490017,625.682922032984,181.383896622873,17.7907536711307,-478.378554241817,-1324.17186347205,-624.051389556778,-1775.54150367698,0,17.7907536711307,67.5923773060541,1104.0614762748,15.1568200866747,-1268.10802107037,-28.0887270589443,"nonveg_751","absence"
