"spectral_EVI2b_earlySummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_SWIR2_endSnowfree","topo_northness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDVI_changeSSES","spectral_NDWI_annualMedian","spectral_red_changePSLS","spectral_red_changeLSES","site_code","presence_absence"
78.8932485388928,159.399155196598,242.058597719809,-1618.72877761146,-1167.16839906484,316.479292544148,1591.08176567257,0.155248031020165,0,253.520213728528,562.052863721892,3.40095302877247,-1243.50350749862,-2.05797988234985,24.3531525479227,"nonveg_897","absence"
3622.51204175965,2387.10359805201,5714.48286000724,-6574.13202067654,-6641.17168941975,-4767.84134375598,1083.32430876143,0.00705858317928181,0,3857.25064568534,2185.87450549026,31.0269773984743,-6226.99994611553,9.84729216776471,12.7901504495479,"USA.InteriorAlaska.DEW","presence"
2987.04939884081,1970.16940595358,5304.77455871282,-5534.50562511375,-6092.74188059345,-4560.81162403484,1178.70414299666,-0.0274738056274752,0,3135.0807473113,2331.47469566489,77.8338898777448,-5483.52235559989,14.8613260762637,-11.282193431092,"Russia.Tazovsky.Burned12","presence"
3045.00619901638,2310.08807987266,5612.71630456566,-6377.888356907,-6413.73458261492,-4640.49705309031,1228.75699088829,-0.00946999113592837,0,2776.87538039793,1872.57370295707,2.66199433460363,-5843.48008473629,-6.95163646827593,-16.4741896482965,"Canada.CoutureLake.TD7","presence"
1087.91811441596,1794.08355861427,2676.29957064432,-3139.07060986463,-3267.46821308515,-2112.72851329887,1693.20440973161,0.000739372917450965,0,2200.62172160468,1129.09573948658,-35.8184292124145,-3139.07060986463,1.99571073603796,4.91728768426789,"nonveg_529","absence"
551.632084342048,319.527479649609,1011.89623179577,-1835.175736262,-2078.37813464386,-1903.96877124518,2056.1363693804,-0.334318667650223,0,470.538944078917,232.10460469244,13.3331236126339,-1835.175736262,-3.34354388911631,-3.71300254112448,"nonveg_814","absence"
2987.04939884081,1970.16940595358,5304.77455871282,-5534.50562511375,-6092.74188059345,-4560.81162403484,1178.70414299666,-0.0274738056274752,0,3135.0807473113,2331.47469566489,77.8338898777448,-5483.52235559989,14.8613260762637,-11.282193431092,"Russia.Tazovsky.Burned12","presence"
3513.80015888315,2170.32748922441,6187.11852970638,-6579.10012134089,-6850.69666522983,-5429.65042665647,984.207719319655,-0.000562105950666592,0,3847.96409062315,2057.97233931827,79.9258359760027,-6117.25742922717,8.67020658048133,12.1387215621609,"Finland.Kilpisjarvi.16","presence"
1784.56847401193,1496.36483225287,3573.17507864537,-4379.71765457906,-4483.50878824127,-2776.59988146013,1346.59832496856,0.0228852396830916,1,1925.038180998,418.823195972193,4.62957185536392,-3962.84465547959,-4.16480277211965,5.0568433016192,"Canada.ClearwaterLake.LS1","presence"
562.50676810987,350.685927993171,846.981964971791,-1709.80377251983,-1572.64395384633,663.231618991848,1448.42233395741,-0.423534631729126,0,186.036491256858,480.708457388611,33.2045121154268,-1572.64395384633,-18.4079936771955,-10.791116394727,"nonveg_1473","absence"
1021.95809194568,525.895883646588,1877.35786110573,-2455.94462795864,-2782.85822568668,-1135.87645000668,1820.28997831702,-0.0148286597910695,0,1036.44100008661,1199.5266630158,19.2112852062939,-2460.48960529354,-7.22508219548592,-11.2211536405347,"Canada.EllefRingnesIsland.Isachsen-C01","absence"
1021.48696253263,265.613985354371,1196.02673033598,-2085.12981867257,-1700.58539028309,-1867.95871153779,3602.72684829671,0.0108149163424969,0,606.05733744224,1119.82297919179,28.0168955138224,-1700.58539028309,-21.0547248368798,27.7910983487788,"nonveg_1261","absence"
104.288279449154,216.353450408142,326.798685539774,-1608.64766916669,-1018.74112632658,-731.538791312382,2749.24677639598,-0.174986153841019,0,216.353450408142,464.135209902579,-1.20488042620947,-1018.74112632658,-21.9360873486885,28.8578058598125,"nonveg_997","absence"
3923.93475990083,2592.70512189925,7347.83200541772,-7376.93521944069,-7064.36302459179,-5916.53122826933,243.376906732842,0.0716298043727875,1,3853.64215241247,2448.2420652989,41.5239611585596,-6929.79210555081,-17.5271118762164,-15.9863811664911,"Finland.Kevo.4","presence"
3425.77724146731,2021.71783199139,5430.38956132278,-6304.84192020398,-6907.44520680435,-5318.48624469773,1158.48952457672,-0.0225944481790066,0,3386.27518236981,2132.27806552018,29.163497614427,-6020.11896044646,-0.52126154287281,0.381947535929197,"USA.YukonKuskokwimDelta.72B4","presence"
339.25425033081,-242.127547725865,620.098419910804,-2053.23933581356,-1711.99941643728,-587.461378361226,2366.70810477615,-0.0826202407479286,0,297.335210367921,733.799007807706,31.9910383204704,-1257.31189320347,-13.1909956674656,39.1424504271089,"nonveg_673","absence"
1586.65923225717,812.434813949938,3042.15417664249,-3676.35253413785,-3395.90277782314,-2889.56281574224,1754.85789032201,-0.0300882011651993,0,1491.14422884699,1055.38554726724,36.3827600734674,-3395.90277782314,-7.46878619933666,-6.74410224006316,"nonveg_662","absence"
348.123687919306,219.481387727678,770.478493406158,-1375.78963331388,-1136.36300739474,-1357.85680576774,2312.75721088132,-0.00815008115023375,0,223.796988430013,275.817259197914,19.6207383557384,-1357.85680576774,-2.94070666578567,-0.909708374396937,"nonveg_900","absence"
2178.83735668466,1536.99713533709,4999.65341938305,-6298.35444309095,-6108.73143937596,-4474.9450859595,940.51278100462,-0.0136748100630939,0,2372.31967165656,1371.07783795826,17.0371349262306,-5343.70140433438,11.8512402584351,-3.46974954708303,"Finland.Javrresduottar.EC-Betula","presence"
