"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_lateSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_lateSummer","spectral_SWIR2_startSnowfree","spectral_blue_peakSummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeESPS","spectral_EVI2b_changePSLS","spectral_NBR_changeSSES","spectral_NBR_changeESPS","spectral_NDMI_changeLSES","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NIR_changePSLS","spectral_blue_changeESPS","spectral_green_changeESPS","spectral_red_changeESPS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
4030.43875866674,3176.05723235228,4995.30461949296,5660.62760951655,2029.73541303912,6420.03153748233,6527.13650855212,5500.00445833608,7877.78718741597,8612.23005088327,3485.66662117152,-6602.92774405412,-6866.76732828032,-6695.51416590931,-6731.575749499,-4667.72720206594,3335.98100383008,1086.89408927149,492.242385723737,0,4168.04393064161,4308.83892334004,3572.70723346849,22.1035269327565,43.0267583241823,35.3515196261036,21.320270631868,-65.0716611111873,5426.49343050898,-102.289542141529,-5691.65058053842,-5694.64156887968,20.1334875610956,-2.93094371506825,-1.83909979108487,-4.58840229426124,"USA.Kougaork.TallShrub","presence",0,0,1,0,0
202.58082529842,95.288777396217,-100.783748022377,-523.601153569697,-329.183185030538,-1494.25856939273,344.218048688396,199.871161675398,-30.0042785224421,-534.759180325458,-415.035052217778,-793.48118775097,-796.23663663041,-1185.94084811314,-1801.53582895211,-1309.46612852018,1389.04701893407,1961.4248018506,717.309312154881,0,-100.783748022377,-131.139696785595,726.181978868117,-19.6265399694086,22.2535476603853,21.3448949692146,-38.390777723746,14.0039833729164,878.977229013855,12.0987073788337,-1185.94084811314,-1177.33212599336,26.6373018333038,-10.6751738146429,-10.8813922802445,-12.1316155277636,"nonveg_703","absence",0,0,0,1,0
589.119935578865,611.657993010547,1101.06534949789,227.395013064391,505.488310869705,-2062.82382076031,1589.8674514397,1696.26128984702,2445.9264828189,1298.09456770484,1206.98049801235,-2106.21485132762,-2067.32116669272,-1734.74434780914,-2929.17253395667,-1577.34060589875,1424.77808542674,1989.23723782116,456.698755193356,0,589.119935578865,606.945320404279,873.670336433495,-14.468996900579,54.6043960270934,-18.0701652098661,-25.3344464188896,-23.7156864276807,1238.94598480655,-44.0979525277578,-2067.32116669272,-2082.95870113698,35.9503742685218,-10.3349367702072,-8.22218946574402,-8.54125254919553,"nonveg_913","absence",1,0,0,0,0
1450.7154938608,1258.77784900778,1454.26111515304,1798.26212833039,703.348611010268,371.078294555924,2586.34314066399,2232.60948445196,2624.96069736252,3249.48316602801,1187.14507512165,-2546.39644358636,-3159.74816687689,-3376.26989882993,-3011.80087845684,-1874.5926450941,1996.86185799607,1734.4154943404,965.323148843106,0,1541.67821261394,1308.78066062653,1246.4214224008,9.20702527268819,-11.5906012224145,30.0996003033547,9.81753119541268,31.4858851916657,2537.61675493198,-3.6219250405125,-2658.25391297566,-2726.9972215432,-24.8050404937839,-0.267131257398519,1.08818778081436,3.44621970901767,"Canada.PrincePatrickIsland.MouldBay-C04","presence",1,0,0,0,0
2821.00953759293,2245.92563491473,2959.73757864042,3659.81041638279,1901.6102309489,3535.8233508142,5233.0826671824,4613.08299966406,5307.27071286038,6304.24700576967,3667.80896682916,-5565.61554634668,-5117.41464208868,-5844.06282975905,-5988.2286074407,-4432.70715039455,2424.06100794982,1462.89503441044,513.186667319372,0,2626.61346357283,2738.44399241515,1356.51117350621,47.0982116404545,-40.7090772423253,-32.1665136887423,85.2647201058894,-7.8386414226052,1842.96397314174,-7.61624379866513,-5568.37891419102,-5302.19771158225,-21.4292867009158,7.3499677405513,6.49126866945301,4.73215477106559,"USA.Toolik.S2","presence",0,0,1,0,0
2242.89479628963,1480.92807251756,2259.26145176847,2546.05571721979,1141.90154996613,1910.52094689124,4299.59717514297,3350.52543715871,4513.16354958721,4910.06370426262,2607.75520523043,-4068.89510273928,-4497.56713723358,-5089.00989633197,-5465.64665752891,-3494.12177149763,2022.12571916974,1669.72932643136,471.796094521652,0,2009.63729489062,1983.49716132116,2225.86537104969,26.7421131582622,-64.342324858737,103.798086596973,50.0602701564966,-26.9122850130406,3435.24673658504,-34.3305936780162,-4376.91971319613,-4600.08285109884,-54.3703495258135,1.61418801139871,1.69895056791404,-0.578177457451456,"USA.NorthSlope.FranklinBluffs-C16","presence",0,0,1,0,0
2835.84652173014,2958.13493222758,3683.16996617584,3494.6225752429,1239.26390634792,4230.47846572802,4933.10745513979,5355.27654981967,6288.48602739011,5897.06387852227,1815.45654034698,-4956.45611050373,-5011.0814293262,-4837.04016104302,-5623.38510955598,-3690.10747467621,2925.42926577421,1220.66050050069,581.21572506195,0,2837.66192736357,3026.85691329553,1619.39156408526,27.5417374981867,32.9942545417455,-26.6951354239674,16.463177658549,-76.3648920418238,2977.138322383,-102.507409630398,-5901.8366656971,-5300.01190818138,26.3349125177752,-4.30012142330308,-3.83806250619189,-6.26904168722982,"Russia.Yamal.Kharasavey-2b","presence",1,0,0,0,0
3292.6742747771,3285.06854150207,4131.40002278169,4446.39063120319,2505.37380413421,5283.87672119169,5916.27079404108,5926.67556386046,7214.33639995606,7586.31568912917,4728.85194334015,-6515.69693031413,-6148.6772688816,-6145.69286243511,-6305.46614243617,-4758.12125800552,2863.59099623506,1330.19068594987,542.138160593248,0,3996.19168126586,3670.44273972224,2544.05565147669,45.4896323397213,3.84036707835965,35.6575661216639,67.8244537472887,-24.0203485366477,3883.90730367578,-50.4873124716816,-5503.35500778764,-5878.85171509105,4.96274313682972,11.8943422693341,10.773340077154,7.88485782465764,"Sweden.Abisko.NF-SeasonallyFlooded","presence",0,0,0,1,0
567.299882812173,-73.0280180550328,703.181120274343,547.434612456586,-613.19474470391,-158.610196565401,852.747065676252,410.691917416566,1343.12496086066,1110.66994734404,-1740.15613396918,-65.966469007624,-1878.44851280043,-1049.28744970661,-1161.17457948941,-361.352434143637,1633.68325877465,547.781863923041,1178.86733281061,0,547.434612456586,226.338570556832,1316.37586497825,-0.451483417172426,14.1587734379779,-79.4899888840623,-43.167363840473,-125.663118724815,3083.28109482984,-77.7027536203415,-1049.28744970661,-903.245889029542,-3.65715511777838,-20.4409316036928,-20.9803989311695,-20.5704552480542,"nonveg_1473","absence",0,0,0,1,0
220.28416786138,36.2360491392289,478.059748007191,498.262702456492,-81.2280043671737,910.198667768602,-193.330878075273,-94.6295914853198,357.199795323928,458.126965671081,-1870.19796244325,280.178919216933,-199.666729947336,34.3333532820366,-137.169008750741,2091.86285837479,1451.60525239221,251.711050308968,901.074729969669,0,220.28416786138,230.322932619424,579.490706823666,10.2955012813004,-1.34686362995336,-301.177286062617,-32.9632841009122,-36.8257207618063,2328.32492811433,-30.1219591206165,34.3333532820366,413.907878435136,-2.64381134068076,6.92539708675288,9.07232095233858,10.2489146723598,"nonveg_1642","absence",0,0,1,0,0
