"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_lateSummer","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDVI_annualMean","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
2684.00269668929,2538.59141642008,-5938.86585630806,1831.30095091476,31.8050157615131,5105.68464251763,-5668.49167854009,-5682.71525374834,"Canada.DaringLake.Tower1-Heath","presence"
2402.56684333036,1820.45964322994,-5832.28688352449,747.443497157287,26.6944106127603,4845.71203873467,-4506.13187863872,-4920.45939650084,"Russia.Yamal.VaskinyDachi-3","presence"
1684.20778436362,1352.59107103332,-5627.57735634108,2037.5715896493,13.5557973645782,3957.15152002638,-5360.46661768399,-5236.80476344723,"USA.NorthSlope.Sagwon-C16","presence"
288.346958647712,289.384888134638,-1444.84928180895,325.705343644797,-8.75237413085988,922.573255452947,-1444.84928180895,-1243.15323899551,"nonveg_794","absence"
162.348872412126,-473.240917541793,-1050.05174939884,760.641885536174,8.32080107787139,-134.370175572008,-1050.05174939884,-959.900666775636,"nonveg_995","absence"
582.394414396142,400.325521755981,-2220.29959495966,373.598708870066,10.5983633363077,1386.83755363723,-1611.01558866162,-1721.08486886296,"nonveg_968","absence"
2024.14399710214,2106.03867712627,-5803.11284219114,2190.5482997511,49.5090576430369,4723.32719899348,-5717.51518387295,-5730.07896410381,"Canada.DaringLake.LowBirch","presence"
2031.65202780272,1642.47926583426,-6422.5568669874,2288.74951194415,43.0149724657556,5407.46320576319,-6041.0470268631,-5785.66357332056,"Canada.DaringLake.Tower4-LowShrub-1","presence"
638.192453814748,1359.04823977418,-2388.48782943886,1132.81412352679,-39.0625559836822,2019.95658369405,-2480.61025688204,-2444.61532170876,"nonveg_746","absence"
511.649191659443,-664.907939377595,-1172.44090366854,1176.55713103704,39.7727126506232,111.447096653289,-1172.44090366854,-1164.42722175806,"nonveg_761","absence"
762.431118316377,1159.06918803506,-2312.57760976211,1089.43722525134,-18.3449053763325,1105.72819549359,-1475.03534663408,-1254.01815177423,"nonveg_645","absence"
3026.35106768861,2282.40271329057,-5980.03317249216,1794.76057091547,30.0993594345828,5281.95005498073,-5885.62230664734,-5875.03523799947,"Russia.Kytalyk.T1","presence"
3659.42505573529,2540.99376362303,-6679.41605763949,2612.99313860378,43.6955744268427,6338.14546662921,-5977.46596837098,-6010.27641169838,"Norway.Javrresduottar.A-Sphagnum","presence"
-167.974462664785,176.554767941747,-2036.93408179031,793.467463317594,-19.6628752523887,328.424549483171,-2177.76430500097,-2401.40794964904,"nonveg_602","absence"
2391.66713144079,1813.50381917612,-5209.73571766993,1895.62874726535,33.5306335571217,4304.19525806346,-4830.13373414125,-4536.82877419764,"Canada.PayneLake.TD2","presence"
1961.14085300499,1388.68186808453,-2412.28880114847,647.26275357547,1.87542012394397,2374.39081942458,-2486.04803410102,-2375.62590039529,"nonveg_701","absence"
2749.07611205794,2075.78647241055,-5376.04554555207,1837.56053292642,63.3641563078077,5010.35359349579,-5455.87990237542,-5157.83669182522,"Russia.Yamal.Kharasavey-1","presence"
1162.31008387639,-292.342865879202,-1813.13504494823,1454.6529497556,22.6612739077857,471.053301475053,-1789.43269062248,-1354.20774370573,"nonveg_560","absence"
3073.1133577481,1715.49688092002,-7001.08976913209,2576.96154478068,43.4647185775318,5580.98745328248,-5464.59327916574,-5903.49681517539,"USA.Kougaork.GraminoidShrub","presence"
3570.12007696081,1557.34988388739,-6582.82491349446,2321.0981598678,31.5994419878092,5518.97992244402,-6082.53306357173,-5780.49538694953,"Sweden.Abisko.KJ-SalixShrub","presence"
