"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_SWIR2_earlySummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
2975.46073918615,2248.88152693281,4177.82584378585,1880.31164423857,3205.71933911039,-5670.94792684807,-5534.80245482412,-6137.73846239461,-6190.27705806805,-4082.75622027926,1294.407962537,0,3265.14832599497,2338.30740280613,-5609.87186601866,"Russia.Kolyma.OW1","presence"
2654.07049981331,2262.69019969703,3353.35839047697,2140.99944538238,3858.49655668445,-5474.11585264746,-5533.04694084573,-5949.57996915918,-6249.18322327494,-4605.83533967371,1329.51971427699,0,2371.89045197172,870.185020697031,-5872.09054924058,"USA.SewardPeninsula.18","presence"
3112.7076632436,3358.75395492123,3557.24776176936,2200.65201684623,3467.57168846327,-5417.46988496629,-5503.38750466286,-6160.17120086803,-6364.05470372334,-4037.98331028628,1353.16120207659,0,3307.25642522468,1908.75022351169,-5389.82053575579,"Russia.Yamal.VaskinyDachi-2","presence"
2177.57679203612,2357.25008303399,2943.37079166072,1865.62871108272,4265.87267369943,-5661.00796939428,-5833.69365648262,-6190.58280195668,-6014.14630897196,-4079.1333850779,701.87252635537,0,2668.21855222622,1580.43019264377,-4996.88149485967,"Finland.Javrresduottar.A-Hummock","presence"
2793.25639703292,2570.96587982938,3712.04124372793,2195.15954982375,3809.86834325778,-5279.12903761009,-5374.81662074741,-5772.34071124495,-5832.4170403182,-4668.25704948998,1505.71498586248,0,2843.77458238022,1626.55060270967,-5324.05288005943,"USA.YukonKuskokwimDelta.UB3","presence"
1640.25421554033,2064.29911131156,1996.98739212405,1384.40586880689,2678.99988974665,-4247.34060976466,-3865.00916588572,-4421.43491944661,-4409.40739622016,-3071.58559663884,1321.14643435245,0,1669.52247485604,983.328248288459,-3155.68077093675,"Russia.Tiksi.LichenTundra","presence"
2650.26113490412,2175.94018053265,3308.26703283653,1951.98104173126,3183.58281339443,-5073.62311010481,-5345.70362815461,-5265.5050810554,-5583.88011763264,-4049.5940569224,1409.58071556473,0,2644.31419444044,1331.55723201014,-5293.09321170036,"Canada.Yukon.TOWYK","presence"
2244.7684829943,2168.71077977271,2597.99534174852,1668.74860461404,3039.08383353704,-4030.20566275987,-4439.91509936448,-4868.593017686,-4664.52042880949,-3346.42625254671,1763.35831268003,0,1923.56036361916,1135.3398021154,-3545.52081356231,"Canada.BonifaceRiver.LSA2","presence"
240.505787750235,53.672609818879,139.55087832343,665.343913334757,1055.75652186626,-1793.40744268697,-2164.4238821628,-2023.24352043312,-2001.79608909699,-935.822769277878,2454.99049238663,0,139.55087832343,611.671303515878,-2001.79608909699,"nonveg_768","absence"
1349.70662428263,1086.90799194076,440.800058647965,658.945513964197,934.990586776412,-1513.15938920676,-1854.90296688823,-2793.73911303244,-2886.71283869829,-2145.94254308473,4182.28560281797,0,658.945513964197,908.906565634669,-2145.94254308473,"nonveg_508","absence"
3296.26625463677,2863.67103355113,3863.30074631122,2080.14725511538,3839.03978712247,-5606.2945894967,-5493.44232072771,-6259.31017217192,-6404.75832680789,-5382.19087291412,1324.42668175731,0,3291.88184417783,135.06439922709,-5736.03525979982,"USA.NorthSlope.HappyValley-C18","presence"
808.41092761621,337.684834813751,633.692977967524,80.6737855107918,183.054606080284,-1285.55027306346,-1815.58853001014,-1722.74874657689,-2072.50953733958,-714.870444893594,2477.45279497231,0,633.692977967524,727.737142105418,-1722.74874657689,"nonveg_869","absence"
150.501891595343,395.116013932279,-87.7884986616065,70.2146376071102,519.891715326871,-1657.76286717044,-1174.66764292835,-1407.50944056415,-2115.31184441855,-1663.41262246368,2241.83418025635,0,150.501891595343,482.904512593885,-1657.76286717044,"nonveg_681","absence"
596.629296034704,237.30648060767,897.166695940883,214.718529372125,616.812655005006,-2277.15283378145,-2162.26294020134,-1272.05274112033,-2104.87963546777,-2397.17384234106,1893.16207463016,0,596.629296034704,1251.43235771468,-2162.26294020134,"nonveg_606","absence"
2638.49771962685,2377.01893880196,3122.85859590445,2393.01663443779,3889.13500602887,-5231.39806390846,-5627.85287445642,-5496.35382903511,-5921.02687805636,-4513.76749147125,1454.76140802219,0,2929.12188857838,987.091221469376,-5375.77137910917,"USA.YukonKuskokwimDelta.6","presence"
