"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","site_code","presence_absence"
2527.61388307228,3670.31886959594,1970.80546114138,6002.42663686829,-6212.73856259032,-6334.27357561802,-4194.65006710819,0,"Canada.DaringLake.Tower3-DwarfShrub-2","presence"
-113.153035482846,-315.380515947746,554.163174058469,-434.56129821148,-283.697562830481,-1233.00366082779,1966.36058104567,0,"nonveg_593","absence"
623.136880835984,702.723577467892,-182.507994207573,641.709263508071,-1762.93252012674,-1098.65438632548,-62.711253902198,0,"nonveg_897","absence"
2343.05485502553,3508.03245985196,1955.46292458468,5735.44628593174,-5847.18931941754,-6009.72286638455,-5012.59732211492,0,"USA.NorthSlope.Sagwon-C18","presence"
1942.31846427455,3964.74524944119,2113.36770369771,6397.81921225512,-6119.36681200208,-6026.3800521322,-3759.53039741355,0,"Canada.DaringLake.Tower4-LowShrub-2","presence"
1501.84100534066,3570.6482718539,1529.01443886335,4530.02601307614,-5071.71992964469,-5577.45314234457,-3970.01738509959,0,"Canada.KluaneLake.Ruby-MixedTundra","presence"
2620.81532769495,4401.43996319539,2004.60953636137,5945.71168041108,-5728.61919055316,-5972.92869624443,-4238.0893851718,0,"Canada.Yukon.UPPERQUARRY","presence"
1928.55083781031,2246.92306166284,1578.24425516265,3990.48724545307,-4863.88971643904,-4801.84590411151,-3155.98617129742,0,"Canada.BonifaceRiver.LSA4","presence"
211.899521564927,454.437357720289,388.892787321093,54.4153143802661,-2144.48918049783,-1459.70749215869,-499.884724868727,0,"nonveg_560","absence"
447.149102859769,200.271416842646,641.764291531282,1125.92520669377,-1561.68857385587,-2285.51144676279,-1341.63007558519,0,"nonveg_643","absence"
3060.40333868392,4124.40550565245,1733.20140560229,6773.34979716912,-6586.73863369694,-6660.20004529906,-4006.57087542011,1,"Finland.Kilpisjarvi.19","presence"
12.1255257200932,528.466221145298,50.9008503377918,506.478125811535,-1814.7401164034,-1632.52419540939,-965.058474359592,0,"nonveg_677","absence"
2426.84319928481,4140.81571280804,1957.35616075782,5826.93001517497,-6086.45742685372,-6279.95827828183,-4968.52484135699,0,"USA.NorthSlope.Oumalik2","presence"
55.7754690902611,293.02384094864,-244.890977177812,1023.92416627122,-326.151538316772,-627.379829981442,-1364.65541085513,0,"nonveg_870","absence"
2919.73822515798,3445.18542005202,2048.42968425678,6397.9526139358,-6360.63158175054,-6670.05910900301,-3944.7348078959,0,"Canada.PayneLake.TDA0","presence"
-86.3729028054078,14.48538605474,-463.340750752755,-174.264576030809,620.95374007676,663.949136269251,797.631210838972,0,"nonveg_1509","absence"
2653.21885808088,3930.10718271147,2243.24753052043,5262.01234397996,-5745.42475759378,-5576.19378817059,-4391.77770534352,0,"USA.YukonKuskokwimDelta.U","presence"
2273.95675660504,3308.07773499328,1920.87077211759,4973.99999356317,-5247.73176147791,-5618.99930855094,-4151.94333047901,0,"Canada.Yukon.TOWYK","presence"
1133.37028764966,3309.47581630706,610.081570279278,5929.67276761542,-5587.59310348516,-6534.02888431539,-4185.23875170242,1,"USA.InteriorAlaska.23","presence"
2379.20677535158,3987.60710975027,2224.60005867374,5803.68381017116,-6279.31867720681,-6399.71641773449,-4922.8233884599,0,"USA.Toolik.S1","presence"
-107.792225334645,-159.632045261486,509.729106564351,869.050840090883,-2253.75010703556,-2904.56510383153,-2284.97316446189,0,"nonveg_1309","absence"
563.486672503908,157.713943283593,757.346765387135,1095.04840273782,-1149.73062215396,-2089.53926668952,-973.425385800542,0,"nonveg_757","absence"
2736.89306816828,3674.9473256282,2539.15567489065,5845.46541300264,-5948.1256444346,-6257.53654692744,-4339.05772398778,0,"Canada.DaringLake.Tower1-Heath","presence"
895.370260297761,859.481853392535,338.934039873173,1934.99634477372,-554.94388847542,-1313.48149457979,-1288.63294060225,0,"nonveg_916","absence"
2194.69342740338,2496.92983993463,1374.18458308878,4902.83370040609,-5000.13409286507,-5303.32455790296,-3917.17503581474,0,"Canada.LeRoyLake.TD7","presence"
394.723164644015,187.574648982134,-159.2591180428,2183.46597399716,-389.079908991651,-1382.1616202872,-693.020867386331,0,"nonveg_851","absence"
155.086213909892,-99.3787907789848,823.062751604655,1061.31409114677,-1540.30846060207,-2131.48239396092,-613.053614943855,0,"nonveg_681","absence"
2559.6722226276,3442.17044240801,2169.01973858136,6307.96233716187,-5845.69183391099,-5958.06520777085,-4440.88020101353,0,"Norway.Javrresduottar.EC-Betula","presence"
393.2519784173,707.79096476878,1314.35095226944,3258.00748011084,-2028.70269289277,-2905.16888087331,-818.50266907151,0,"nonveg_648","absence"
2096.5502251937,3905.60238530678,1690.21034823025,5635.64011650207,-5819.15297873445,-6258.57533769497,-3607.31623304104,0,"Canada.Yukon.SPRINGRIVER","presence"
1658.35540633011,1560.34747698582,1784.30287179969,3621.1906128896,-3558.8749628357,-4039.86256744298,-2961.63667002522,0,"nonveg_1069","absence"
1133.37028764966,3309.47581630706,610.081570279278,5929.67276761542,-5587.59310348516,-6534.02888431539,-4185.23875170242,1,"USA.InteriorAlaska.23","presence"
