"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_red_peakSummer","topo_slope","trees_presence","spectral_EVI2b_annualMean","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_red_changeLSES","site_code","presence_absence"
3473.95626555465,2683.13692478267,4553.3151588636,1694.08036911109,7294.21828526195,3276.28845871214,-6202.50015109187,-5704.72595758481,662.83402795157,3.39794898033142,0,3299.47793330197,5100.63178323839,-5575.53268589041,0.48607559642538,"USA.Kougaork.GraminoidShrub","presence"
976.253720144804,693.347676816123,561.576892250933,664.584764873278,1649.23428306679,1012.86762015284,-1798.70887801973,-1578.22369118935,1769.02166807001,1.70387876033783,0,785.15155491061,719.59885872322,-1578.22369118935,-6.81899284090103,"nonveg_849","absence"
704.498936989241,-122.078775191249,168.717184835529,322.696685009536,413.957717306723,25.1004689250543,-2167.22080612172,-1796.8536675667,4789.66312838231,7.41896295547485,0,241.183122163005,1074.69301932557,-1492.94935592421,-42.1520636479418,"nonveg_1037","absence"
3016.89912312936,3294.12542179843,4050.9964889077,2826.97067201532,5114.27231480715,4717.88399788162,-5206.38488226738,-6763.0860620716,755.633915618551,1.76956550280253,0,3406.51620277576,1642.87091596958,-5849.13769932905,10.8627299619213,"Canada.DaringLake.Tower1-DwarfShrub","presence"
3012.16051802542,3259.73623257772,4400.73977876057,1817.12567763939,6338.23698539781,3311.5714187944,-6150.57445594323,-6388.11464006153,587.845645147661,0.235785693482116,0,3417.44702468437,3958.61126812967,-6315.63927889225,7.55047147997934,"USA.YukonKuskokwimDelta.15B2","presence"
1304.58235915893,737.23726194163,1170.6569853248,498.239980720502,969.84558927315,631.587270580079,-1649.92409115536,-1700.0757324263,2932.04624483468,2.24559330940247,0,888.008066649982,995.585434183237,-1494.55478378998,-6.73312003879073,"nonveg_643","absence"
296.174813664203,-490.906255182996,101.167052237903,-148.926539910011,232.330292738639,-180.728593911045,-1522.50387467066,-935.896598629575,1331.40845751676,19.9044456481934,0,-28.2910888322052,1027.97011092756,-1027.47829855853,-13.875686459161,"nonveg_703","absence"
436.58299988239,256.438293573567,830.201013544844,395.038037763523,1815.71505090494,912.547800027059,-2042.55453467176,-2011.07053702909,815.165583596675,30.8249473571777,0,504.564866754048,1376.15731467231,-2042.55453467176,-5.27321841199459,"nonveg_627","absence"
2828.8021622951,1982.37941255411,4197.63263717032,1854.97346744815,6962.47435601828,4636.42658136849,-5705.09247339398,-5990.71805968262,496.897019463767,0.663968801498413,1,3011.011609246,3082.26744336727,-5666.80865601089,7.94796817177082,"USA.InteriorAlaska.2","presence"
3546.5110011812,2814.21181606515,4511.66510027246,2491.79414005494,6104.38636122273,3598.21275215266,-5921.85207155662,-6469.82304679388,702.912902374951,6.22397000380237,0,3465.5938461015,3119.90007810521,-5831.18506571913,8.03906885011864,"USA.SewardPeninsula.QuartzCreek2","presence"
3026.75675409904,3210.80673455486,4066.80667726362,2411.69225080987,6410.03513257936,4107.41605143344,-6293.51498692185,-5814.33250494545,808.227425971487,0.358620077371597,0,3237.58756875623,3834.5726033678,-5852.60572785354,5.30644380252431,"Russia.Kytalyk.T3","presence"
3230.45792326129,3253.01332109259,4003.06978274971,2222.45238175509,6126.98468352153,4327.67861276095,-5882.20920093247,-6258.38126453416,522.312135022129,6.87530250549316,0,2666.23429818353,1132.90418289982,-5565.90490843133,0.388609098112397,"Sweden.Abisko.NT-SparseVeg","presence"
2590.51086950504,2300.45066810273,2547.14015976665,1741.02538394899,4722.20222536291,3138.09029248292,-5338.71833450746,-5504.48115509267,694.359439454703,0.863003563880921,0,2068.93086107655,1361.19110806698,-5161.49541024947,-2.82132290690087,"Russia.Yamal.VaskinyDachi-3","presence"
851.410168580557,4.61102920634818,-258.688276579423,-556.801399610213,676.392037314362,-2839.48044453016,-1554.44424552406,-774.652204309445,1040.78613761308,0.923214018344879,0,98.6150658142829,4762.68653333819,-1265.34628355358,-53.31385807945,"nonveg_1888","absence"
899.997222136536,1128.30544755596,829.336724981678,408.642481147313,1748.97777725656,742.178734377444,-2336.76780199706,-2810.89947540632,1302.05014095766,1.88309150475722,0,492.083800300486,2599.63631647739,-2448.75067530352,24.8175441784671,"Canada.EllefRingnesIsland.Isachsen-C01","absence"
465.717561159389,491.854774842298,769.505814086738,852.900373895082,1010.58395017937,1424.04688888889,-1583.5226383775,-1784.78408245636,1539.57951784433,20.7469654083252,0,620.367983665369,542.969070754225,-1583.5226383775,-3.88247222787003,"nonveg_814","absence"
2283.68501526949,2405.42504448344,2719.54146848607,1466.36570718532,4808.30208693444,2677.02249008149,-5201.22775316776,-5269.50572119734,859.497423266087,0.338302541110251,0,2628.87626330207,1979.90876320435,-4620.99101650843,5.71065473661046,"USA.NorthSlope.Barrow","absence"
514.795661800632,445.053008301738,614.343535219394,-333.663622487061,600.248876777847,-400.999670505691,-729.000273551604,-1375.0247157854,737.426773588521,28.9719467163086,0,284.399202696474,1638.90938265322,-898.335388578639,7.23515216619068,"nonveg_932","absence"
2988.74222715028,2416.28974397213,3318.90389112147,2097.33093644534,6646.89242206084,4082.49074694334,-5592.02759173004,-5565.584508946,387.456448692257,1.66447007656097,1,2985.19741356713,2931.15964387878,-5450.06798394022,3.35807414355954,"Russia.Kolyma.T1","presence"
