"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMean","site_code","presence_absence"
3168.09953054253,3432.00195354133,3940.32079732234,1587.62410148473,7145.9269423162,-5670.24745132238,-5708.28711904515,-6487.39327401923,-6501.71157361119,9.57555730002268,0,4238.20492113917,2231.69898432564,68.1045626665475,-6273.07431171263,"Sweden.Abisko.KJ-SalixShrub","presence"
88.3379737727526,638.467581474786,937.10849357111,396.543720116271,902.270020982455,-2035.23647794958,-1249.93314393538,-1139.17798266965,-2449.36959621135,1.21331322193146,0,396.543720116271,917.086360354855,-14.6764641115961,-1575.62849091156,"nonveg_684","absence"
804.94083178792,878.528778228993,613.092489983313,638.439700376733,1742.22023127308,-1647.70878594743,-1477.62041823952,-2054.44842476677,-1014.22898189743,1.43398082256317,0,804.94083178792,483.207177381344,6.93754714213279,-1625.60405194713,"nonveg_801","absence"
919.690210353429,979.930030569406,775.53826233046,993.554321714019,2725.45375365619,-3438.14190792176,-3192.08102712534,-3987.91645887981,-3868.69122617534,2.10152578353882,0,977.311423461354,218.016059383559,-2.73570782817001,-3392.74139978856,"nonveg_996","absence"
2280.26187559012,2306.11336043557,2571.73557329411,1356.51789379348,6322.22436348491,-5265.36208853783,-5776.71215962123,-6315.56752840261,-6221.57872658498,3.24549543857575,0,2247.36146088268,1170.79246826889,24.7685384840999,-5568.77743850342,"Finland.Javrresduottar.EC-Salix","presence"
462.550810727409,182.598712809512,369.1882756142,-234.791798489495,-69.0253877736709,-300.597649535203,-644.635076423102,-426.516413221695,-945.183503584035,4.21474647521973,0,182.598712809512,697.342609216905,22.4949228779647,-673.61464105102,"nonveg_995","absence"
433.551156064172,437.316877531502,510.75994649977,179.285731188645,225.034053797439,-1268.80281290462,-1260.18734650771,-1221.96829918262,-1979.84521714663,23.6059303283691,0,433.551156064172,485.082546068329,5.29719635157349,-1412.22804443833,"nonveg_956","absence"
2302.32380948662,1615.21359636058,2258.83842948412,1296.7862894279,5313.75435341882,-4399.49197209519,-5512.59808060434,-5372.60843554738,-5099.84485192807,0.994287490844727,0,1744.46636674707,1420.41708961193,21.033193490128,-4818.79124934136,"USA.YukonKuskokwimDelta.4","absence"
92.1025955067125,421.842296691369,616.981432100332,113.776774315241,-399.188945283816,-808.058173402072,-842.712688821768,-654.257757004995,-2988.0302358536,29.5847072601318,0,113.776774315241,1404.03602521328,-0.722472626950964,-806.244811524242,"nonveg_721","absence"
652.585913657122,407.432500426293,142.484887758347,-148.899735913895,207.054226372494,-1936.71928979489,-1115.96464648782,-1112.15782530541,-770.701079761626,0.923214018344879,0,195.731288575525,801.485649571017,19.0829916564528,-146.626794228263,"nonveg_1888","absence"
3005.62512646805,3066.02939978953,3427.29570138539,2362.0448860119,6220.47817647278,-5600.59307409211,-6023.95123436275,-6058.56622460622,-6587.08578873183,7.10650053024292,0,3275.58002412739,1474.14274399334,30.9101343508208,-5846.93734614872,"Sweden.Abisko.NT-BirchShrub","presence"
737.926931835505,766.487148931846,591.555833703596,261.821322426086,1548.12664561175,-1386.24745991633,-1336.92962640214,-1805.39775044348,-1903.3392392831,0.798784077167511,0,591.555833703596,504.66582650576,17.6335410892377,-1632.44866540935,"nonveg_968","absence"
88.3379737727526,638.467581474786,937.10849357111,396.543720116271,902.270020982455,-2035.23647794958,-1249.93314393538,-1139.17798266965,-2449.36959621135,1.21331322193146,0,396.543720116271,917.086360354855,-14.6764641115961,-1575.62849091156,"nonveg_684","absence"
1333.45870985194,700.982508917098,619.638338623054,226.148689990032,912.160016267436,-232.880353301812,-1519.82390227623,-1825.22116613958,-2281.15291558123,12.7060670852661,0,619.638338623054,1107.31001986191,44.2924007944763,-1359.62549842532,"nonveg_941","absence"
2873.95780393505,2606.38990632296,2829.24561786946,2493.01770646267,6219.25855367579,-5434.48672581615,-6014.28566191707,-6505.47754062425,-6089.38857040807,0.565639972686768,0,3359.04636844076,1074.51960007882,-6.72816154566268,-5949.91725603871,"Canada.CoutureLake.TD7","presence"
2625.72494769287,2445.7443447295,2769.70263908738,1914.1086563724,5680.60069989554,-5413.59702265152,-5231.6269944855,-5773.90689423798,-5881.15354209621,1.77164669831594,0,2754.10609072912,1523.72452904043,47.1226683490979,-4856.21378231369,"Canada.ChukotkaRiver.TH1","presence"
956.514874021578,956.780660382765,1465.3939689857,649.121076209319,1872.92145174967,-2323.84985861432,-2288.5356932812,-1830.06596034935,-2803.38086026987,1.29504609107971,0,956.514874021578,816.272892776383,10.5997861314572,-2320.04869729561,"nonveg_746","absence"
