"spectral_EVI2b_earlySummer","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NBR_endSnowfree","spectral_NDWI_endSnowfree","topo_slope","spectral_EVI2b_changeSSES","spectral_NDWI_annualMean","site_code","presence_absence"
2759.29030240415,3126.50477845304,2124.61149983658,3369.95230170333,-5865.1472759891,0.877090404431026,37.7427648850358,-6314.62084705896,"Russia.Kytalyk.T1","presence"
1116.11468434957,1418.67658909968,1717.3728448441,-678.75098836506,-2545.39276861299,11.9502487182617,-30.0629080247262,-2479.58859091226,"nonveg_701","absence"
3221.0384941989,3204.62374950482,1885.030376973,2806.74197842633,-5381.10080816068,1.47813733418783,46.474566431927,-4984.32807230565,"Russia.Tazovsky.Burned12","presence"
3714.63092932586,4636.50365193441,2581.61938151754,6859.94840186529,-6483.78617318297,2.0137668132782,27.1124893080663,-6553.76897150702,"Finland.Kevo.14","presence"
3239.69849722673,3664.88960106926,2294.77843106232,2737.79121928997,-5772.9566375211,2.02051161983867,35.2623097881606,-5464.37945301111,"USA.NorthSlope.Ivotuk3","absence"
2657.22401219475,2214.53449453565,1685.8282766103,3406.88657529937,-5438.41465774499,4.13475007481045,52.1009809759145,-5620.48272231766,"Canada.ChukotkaRiver.TH4","presence"
2408.92749957098,3348.07069127298,1720.78880312008,3750.61569571939,-5587.18106527999,0.690010339021683,1.44539975515651,-5277.63965215639,"Russia.Tiksi.WetFen","absence"
1921.35943078146,2706.34289953778,1379.49134742549,3617.04059979792,-6198.67711171084,2.45122399330139,5.32307494171897,-6195.9202491658,"Norway.Javrresduottar.EC-Salix","presence"
3738.10578455861,4076.96084612309,2867.32512755672,5904.26828217129,-6532.61426348179,7.01353435516358,20.78499794456,-6184.69420363187,"Finland.Kevo.7","presence"
2256.32265752962,2891.65859377449,1078.2111992942,2360.43129904122,-4817.19288844872,3.88938119676378,10.9579365254468,-4547.91038613659,"Canada.DeceptionBay.TH6","presence"
3171.86060934723,3472.2670734555,1501.74835666757,2943.34181739327,-5410.17732076675,1.35831093788147,66.9422800800981,-5964.31982130328,"Russia.Kolyma.WT1","presence"
305.448911746227,453.189824108893,240.610868478571,-2163.25536907008,-2327.80263449363,22.3764839172363,2.40140900991316,-1364.61292832182,"nonveg_907","absence"
2688.48409458493,3616.20582085825,1961.92901766602,3240.90142921932,-5677.38585044673,5.89757082197401,27.0518976777116,-5802.24686396228,"Canada.DeceptionBay.BEGL1","presence"
2759.29030240415,3126.50477845304,2124.61149983658,3369.95230170333,-5865.1472759891,0.877090404431026,37.7427648850358,-6314.62084705896,"Russia.Kytalyk.T1","presence"
264.123283633276,1166.49170535739,550.478720700519,-2391.32178175574,-2150.17603507428,12.5043630599976,-11.9314765444685,-1828.70871006518,"nonveg_954","absence"
2345.19984495812,2593.67915527801,1427.20961164886,3174.10278600304,-5160.07798364657,0.342053086227841,52.4531195567628,-4704.17045286678,"USA.NorthSlope.Barrow","absence"
300.413847201042,89.520270851736,-99.22966935332,4712.95532317027,250.992226124755,0.0454504862427712,19.0306436454458,828.529254960082,"nonveg_1509","absence"
3171.86060934723,3472.2670734555,1501.74835666757,2943.34181739327,-5410.17732076675,1.35831093788147,66.9422800800981,-5964.31982130328,"Russia.Kolyma.WT1","presence"
-315.387287641676,-60.4537242924719,-699.625830535289,-264.266796516496,-638.329625759337,18.6197967529297,29.5568109918163,-942.414402830671,"nonveg_1268","absence"
635.162940336989,1170.04285838726,672.377866146481,370.570703646835,-2217.2039179916,1.37796580791473,-1.43134330036505,-1920.71663526339,"nonveg_899","absence"
3671.54020533664,3992.25500729494,1787.11236885403,4094.52907596492,-5592.02942153821,0.189641110599041,37.5649592051874,-6016.69036727829,"USA.YukonKuskokwimDelta.B","presence"
2654.44689281823,2603.88213349885,1636.2537107998,4094.78018604956,-5760.26828729536,2.29564323425293,46.6951120339549,-5673.59233830708,"Norway.Javrresduottar.EC-Sphagnum","absence"
388.213404963346,232.277753959808,664.984427711951,-1577.25010286268,-2615.37547796223,12.6318216323853,-13.1795725118383,-2856.86768433871,"nonveg_986","absence"
379.669580421286,738.020832664404,937.504603437682,-785.70252151636,-1818.6501435957,7.41896295547485,-14.6798690267473,-1445.52910208416,"nonveg_1037","absence"
2763.33738943176,2982.40146386996,2217.48929513158,3075.08770568219,-5684.85168186109,0.547209504577849,14.9712072894115,-5523.61667277226,"Canada.DaringLake.Tower1-Shrub","presence"
593.243552253324,1019.70626271987,116.75477028482,1422.456914805,-1454.07519554863,1.45060038566589,15.3706058699517,-1740.74038977257,"nonveg_532","absence"
1235.10533120551,1377.64938906968,973.381818109126,218.261628817406,-3035.57048426074,4.03057985305786,25.6849764927779,-2575.73503999091,"Canada.PrincePatrickIsland.MouldBay-C03","absence"
1472.1097296687,1750.40654551482,1502.73808977778,-392.774292947988,-4370.17895439568,2.73787350654602,-0.824792607053787,-3801.36978893124,"Finland.Kevo.3","presence"
3679.04175335651,4080.31239801725,2539.09398808106,3917.97958405243,-6009.14386983237,2.19315281046762,51.6074614443332,-5948.38807759969,"USA.NorthSlope.Ivotuk1","presence"
172.563270721607,1212.55667903619,-106.360484531153,-305.490075112963,-2321.80470880586,0.182796254754066,14.6801976448821,-1957.44571813691,"nonveg_1672","absence"
184.879524750504,74.7955853647217,-91.7915177289475,-578.089303569227,-1239.09783860641,34.3466644287109,9.22236808264839,-1287.28076197354,"nonveg_572","absence"
112.876328257125,1075.79751511772,326.230768152987,-703.945376600715,-458.710200147658,32.2242774963379,-14.2236293263908,-1273.47557070672,"nonveg_1442","absence"
403.805743820055,904.687365962183,-36.5316631529663,-1320.39904003463,-1500.80498412412,17.3351593017578,16.3087928508526,-1153.53865764033,"nonveg_997","absence"
399.949157470231,966.209670768403,377.202014432021,-1918.73477697941,-2007.74298056596,3.4450888633728,1.03396104719137,-1725.12685805725,"nonveg_825","absence"
2789.89766499584,3295.39275317405,2037.72334086954,3544.24110363182,-5748.72748871005,0.399156320095062,42.122241043321,-5267.95311706583,"Russia.Yamal.Kharasavey-1","presence"
-108.29829919222,1219.17977966969,-236.478033271309,1013.25321099456,-2868.96545723582,1.34160614013672,4.92998977227264,-2930.71034271702,"nonveg_671","absence"
3224.84005587537,3196.06555133078,2104.15727855702,5209.30723456161,-5551.96812042449,0.126400412619114,34.3321150185189,-4899.53285760634,"Russia.Yamal.OstrovBelyy-1","presence"
2332.93915019494,2478.94688826623,850.770581290103,1465.55135934856,-4419.57786791593,6.12153816223146,17.416040020107,-3421.26747200694,"USA.Kougaork.LowShrub","presence"
1226.94084732909,1052.06232243016,129.068150874834,-2482.27713824305,-1899.41920986331,2.00368094444275,37.8576791880778,-1690.37343894279,"nonveg_882","absence"
3239.69849722673,3664.88960106926,2294.77843106232,2737.79121928997,-5772.9566375211,2.02051161983867,35.2623097881606,-5464.37945301111,"USA.NorthSlope.Ivotuk3","absence"
