"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_blue_peakSummer","spectral_NDWI_annualMedian","spectral_blue_changeESPS","site_code","presence_absence"
2932.54630612862,2974.10903993218,1901.90779796276,-5966.56959457166,-6057.21439157212,458.642482890479,-5426.29451328341,-5.32591150803878,"Russia.Tiksi.DryFen","presence"
-116.045934514884,109.151575018148,-209.547055728228,297.113631852842,-98.3591825388304,1021.17369292345,139.899155362738,-6.54495946113258,"nonveg_592","absence"
900.661777647633,1148.13443208543,1161.66537066797,-1020.03788006675,-1305.9675272428,684.721122093764,-1020.03788006675,0.378616239074816,"nonveg_700","absence"
-209.810180649089,294.463359249511,281.297626730744,-1386.46397341377,-1009.8610965668,795.909548337471,-1386.46397341377,-12.2142516214403,"nonveg_972","absence"
590.887531751095,672.988643370356,258.964918251984,-2163.87429555171,-2423.7417079864,1356.48583825319,-2163.87429555171,-8.31749271093362,"nonveg_915","absence"
1667.92436228718,1321.83657531508,951.4734504315,-3512.46259378811,-3512.22532457977,812.931211129855,-2748.20177303136,-17.7100728096404,"Canada.PrincePatrickIsland.MouldBay-C03","absence"
730.847937809438,926.414411384086,485.86467592445,-1959.16554813098,-2443.5773325242,571.54014913123,-1959.16554813098,2.24046966333883,"nonveg_913","absence"
202.425803871545,457.554173087081,-225.97487434097,-1643.54261322912,-2150.33525928649,790.1875859009,-1751.62649505525,-3.46420650890299,"nonveg_871","absence"
1419.86988000061,2435.40130579286,1087.7435516333,-4884.15787760035,-5241.63776206179,566.101430388624,-4611.42439152339,-3.09608288822862,"USA.NorthSlope.FranklinBluffs-C16","presence"
1114.98251174229,566.860955474909,221.735686376574,-2484.1863925803,-2469.88711307048,1143.39372730417,-2122.23132121587,-4.64237745493946,"nonveg_628","absence"
-240.845284878906,-356.606392156416,-118.531946426262,7474.36562344246,6401.02572176905,693.827009608882,5417.47905220923,-13.8057959741515,"nonveg_1290","absence"
