"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_earlySummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NIR_earlySummer","spectral_green_peakSummer","spectral_green_startSnowfree","texture_NDVI_peakSummer","topo_eastness","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changePSLS","spectral_EVI2b_changeLSES","spectral_NBR_changeSSES","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NIR_changeLSES","spectral_blue_changeSSES","spectral_red_changeESPS","spectral_red_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
771.503324091446,290.781569064723,839.280643888715,341.716649917973,534.841370180746,-56.3547136496862,1149.72217723621,682.228972914368,1347.79458674772,696.151618716156,838.05360618362,-1754.69724517262,-2478.83336105648,-1739.38030744331,-2525.35932157947,2724.48715581399,1344.2247201058,1733.49964273812,-253.493901027505,-0.0182733740657568,2.18370985984802,0,534.841370180746,555.624711428721,548.499074823992,8.76525755224813,82.9273323284571,-78.3570106891417,-11.5537828858384,665.565613833353,-1754.69724517262,-2019.9914070386,-79.169441140181,0.368325129291634,-16.3650996902071,16.0429983768937,"nonveg_940","absence",1,0,0,0,0
888.574341072289,245.508230101907,52.2308419110022,2084.55375852499,-881.10864672452,-1449.68708111308,1272.79877799964,679.068974640926,522.791349845228,2681.46385554578,-829.855850464114,-1211.4805522249,-1860.55189309743,-2382.46224536527,-832.023494911646,2561.42551949918,1602.52450641742,2374.40572458924,-1032.75038103719,-0.00958172790706158,1.79573464393616,0,245.508230101907,477.951704977134,2965.66240524951,73.7367911582004,-225.813657401554,19.3277388190905,22.7847805055516,3511.31970600989,-1514.18902949073,-1560.141443018,25.1698320340227,-22.9773747458175,-7.61938296653001,-48.12949940927,"nonveg_637","absence",1,0,0,0,0
665.793005637846,312.200253712567,70.4189557608163,1158.80254194887,501.719236345482,-641.283369718343,1228.81237470644,691.400621487366,473.256480685374,1885.04515175063,984.221586754532,-2206.07508453748,-2085.29655341803,-2706.41022130495,-1836.00326717442,1661.05346390328,1067.16294710163,1021.1758115976,167.083710202274,-0.00168263993691653,25.7740936279297,0,501.719236345482,541.786798681116,1088.38358618805,10.2546105807727,-41.8609071610789,8.95486288710188,9.24139538969779,1411.78867106526,-2102.23066476798,-2187.20315824057,1.63176198135649,0.155083626848608,5.07800815113483,-13.1121581931788,"nonveg_606","absence",0,0,0,1,0
3267.99293727831,2903.24641965732,3689.62020721274,4082.32190424399,2396.21649078989,3626.80787652235,5308.12538322869,5254.05112221448,6063.65814293133,6406.5868524111,4162.91531827792,-5886.39373680527,-6010.96812351787,-6397.97262426131,-6524.31413347812,2725.50340932294,652.674816851599,714.152831223235,-96.254711743326,-0.00936872601785041,0.837199932999081,0,3569.33785539941,3442.22285059173,2084.78474599934,23.4282515450716,-21.7456434577718,-50.1720189540317,25.2203418699247,2643.55239810986,-5798.18387130297,-5689.25463255468,-26.0678722854009,1.11895888298377,-1.43445261188683,-1.50096856285298,"USA.YukonKuskokwimDelta.72B1","presence",0,0,1,0,0
1361.29221779044,464.22787623779,361.114078442293,290.127748891267,374.965464828075,910.451263468495,1695.32196636678,654.38593122344,527.361379791034,437.745113100521,483.446057829361,-922.063703797757,-1940.81474522002,-2092.40199177056,-2189.76980354386,4038.21163082492,2228.93372719726,2725.08565643955,1.49205477857545,0.0267367959022522,2.24559330940247,0,374.965464828075,570.345477237974,1071.16446889918,31.8169920310441,11.8310549251711,14.7305425422139,51.2909929026916,1257.57685326626,-1940.81474522002,-1754.19072852426,1.3474971728422,-0.937154936603263,-19.3095213632846,-3.09353315037113,"nonveg_643","absence",1,0,0,0,0
3054.81721941734,2227.02237663553,3565.29880323891,4221.03705632344,1794.68105904371,2196.07572459263,5070.95509619872,4084.81141902676,5905.67269608677,6635.3720822155,3188.82666125645,-6310.40787723979,-5347.71703557251,-5663.86979866091,-6669.70664066376,2472.70936507173,676.854722783965,809.572848560319,-224.358030866288,-0.0130198703457912,0.849750737349192,0,2844.73142020895,2959.07451966849,2646.88590477753,46.0511882785185,-13.055757194653,-69.4299165762099,19.9491296625897,3691.29139387317,-5508.1459807241,-5755.34451697387,-39.18220842357,-13.4781351908312,1.61210215217567,14.7795215594626,"USA.BrooksRange.8","presence",0,0,1,0,0
594.228366013751,490.02943665805,474.430284088503,502.546678310568,701.195440203065,-91.2394149024476,1064.34464412686,939.290256870643,920.567359660593,954.30499904061,1192.72712381066,-1526.76855684109,-1661.02288039983,-1681.12689889334,-1644.92214402049,1848.57751092587,970.322847645044,1125.81915806392,-500.087922785673,-0.000346823129802942,0.287813544273376,0,502.546678310568,552.486041054787,226.765156114562,-2.89100200511659,-3.51454927775807,2.22845036707806,-36.6191170753623,272.15976415007,-1644.92214402049,-1580.55355195801,17.4670148832257,1.26874553871025,-10.1022761900695,13.3835025385865,"nonveg_953","absence",1,0,0,0,0
2655.64539192841,2552.81032730699,3014.15503316427,3252.53646056237,1921.70845412287,2155.16789740447,5094.93771715899,5056.17750105406,5777.87078473808,6155.81590762257,3720.33821546852,-4899.57538011512,-5560.69388674821,-5907.25680432424,-6044.48441543048,2239.86796741857,630.250336312267,864.745402279533,101.261703088864,0.0193756334483623,1.70087059338887,0,2819.2975711438,3294.90476443542,2015.38790750904,1.75539225865408,-42.3120194846348,-55.6736913245876,-9.24561094404304,2985.4926484166,-6532.72065303098,-6265.67794740119,-26.0856809514277,-8.90356219113006,-0.0949980950598723,-7.84170475674263,"Canada.PayneLake.TDA2","presence",0,0,1,0,0
2739.97747092296,2403.10673346112,3057.68488523471,3459.96912227112,2243.52314240222,3213.11327412942,5093.72158030873,4858.23116220424,5531.09818753476,5971.43125810749,4029.18928962516,-5629.675791223,-5729.74004962089,-6138.21984793632,-6247.53072744402,2308.70605997281,619.896942376963,698.148882347862,-249.578079515974,-0.0020215933489251,0.5530596739716,0,2456.97223343274,2980.57620228664,1624.01926901583,44.5469274675741,-67.8832757415857,7.84005901509414,64.0923618711765,3572.13186382985,-5799.23086486058,-5497.9728252777,3.57369707243268,8.88413145101477,-13.8681297165665,-23.1913882456194,"Canada.DaringLake.Tower1-Shrub","presence",0,0,1,0,0
3106.71083294703,3414.25617392394,3634.91155715145,3453.50644368448,2378.86841145112,3442.12393947601,5018.11763621972,5504.93028517031,5861.56619303447,5444.83870688939,4126.65361693501,-6044.80881210338,-6247.41354269165,-6278.88673066554,-6887.99053702114,2700.61564079067,572.290147754769,789.879815597481,33.0916879394207,0.0166383822533217,1.41663160107353,0,3516.05348441052,3675.21656508041,1378.80460495146,-3.22323557792831,106.09104499109,-71.830680846091,-106.69666551028,2534.21189141664,-5590.7809857978,-5149.98548483639,-44.0492679363181,-17.3659792326255,-6.52980402787599,49.1607360267417,"Russia.Tiksi.Bog","presence",0,0,1,0,0
