"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NIR_startSnowfree","spectral_green_endSnowfree","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDVI_changeSSES","spectral_NDVI_changeLSES","spectral_NDWI_annualMean","site_code","presence_absence"
2772.17526602154,3226.76588893042,3368.10280039781,1841.69049531293,5797.50073399457,3341.37437413577,-5964.76550129091,-5737.38924758443,2243.79438369924,627.039945770313,2739.31984805071,2115.71323230844,47.4335645082029,130.386137002728,-5682.86624831671,"Russia.Tiksi.DryFen","presence"
3782.61792061495,5073.32194351178,5415.57981306327,2720.4187604125,7957.47826064767,4458.30064157719,-6760.10007268011,-7199.27590504476,2655.17437393565,541.758287230384,4377.9121956085,1827.03731098147,45.6556605604928,-49.1911353927772,-6187.96844483711,"Canada.ClearwaterLake.AB1","presence"
571.886639071525,543.441647800187,994.09243528997,382.229160050449,2518.14954464098,894.615649498531,-1689.54080780556,-2079.47167392446,1113.60287231089,670.515402017733,571.886639071525,1220.80565230756,68.7322501270606,-5.84606396667312,-1542.21941491496,"nonveg_627","absence"
215.322675366142,876.647829149512,691.122851389667,287.044845691686,1270.17986018789,562.442589420778,-2059.75420947761,-1173.78629387116,1708.92291568974,1001.64750562579,446.79054432346,661.325153783369,9.66052866808892,-48.1386605296953,-1755.19980547683,"nonveg_814","absence"
544.198608620572,196.267254041696,428.743347680118,-165.767478683399,1192.93482185969,-99.9075824875381,-578.977655941621,-1503.2249719736,1157.23331348386,831.419126013635,325.379621665243,709.966087303971,29.123011956298,11.1297834724809,-1054.71568439618,"nonveg_1340","absence"
1962.93808363879,2300.9709081935,2323.88508839584,1520.24570120418,5686.77953291633,3981.08995391639,-5554.8636953284,-5946.90690700936,1489.52660282294,448.985322129234,2235.32550199581,1370.49509556382,74.7804057565222,-63.7903751018543,-5287.88971871825,"Finland.Javrresduottar.EC-Hummock","presence"
2380.69082445708,3161.54789870342,3577.23371087749,1958.73010774771,5643.74939590863,3576.8565993052,-5500.31579556895,-5877.10890437254,2324.79987509914,715.778849483921,2793.38869346602,1446.08052719152,18.7921494111328,-29.061418477951,-5331.57080455261,"USA.YukonKuskokwimDelta.UB3","presence"
2920.01711402302,3417.14113230548,3636.07914500515,2515.50217444296,7097.25134403337,5163.57694221373,-4950.5968538616,-5611.81421343023,2009.12448294588,664.981181986747,3268.78247561332,848.474433140086,35.2066116585645,-24.3499272648648,-5277.52746011701,"Russia.Yamal.Nadym-1","presence"
543.209069280278,-123.928903227659,-6.49074970925011,-257.938779796568,180.711121372412,-354.305378551022,-856.783742958848,-2282.07782491065,1521.8936294691,1351.33677403693,-6.49074970925011,801.147849076846,46.4763380320421,83.1634773837258,-1670.33163889888,"nonveg_775","absence"
542.413559848377,410.846947765606,557.095045148344,645.629292801944,1805.78151517599,1528.79154674686,-2469.5806880361,-2942.78654007286,1182.77153883572,643.894254599789,557.095045148344,305.557357646227,10.8871363074821,5.51412506991396,-2552.07274039527,"nonveg_575","absence"
