"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_NIR_changeESPS","site_code","presence_absence"
3157.17006037759,2061.22939158413,-5717.51426508554,-5662.57592327137,3043.27547591787,2072.68743349432,-5790.57812734683,9.790913360717,"Sweden.Abisko.NT-SparseVeg","presence"
3164.29692954287,2395.98998856147,-6031.57222375036,-6343.91391511913,3998.28359093442,2262.78792211833,-6747.81462463239,-1.5276898021595,"USA.InteriorAlaska.DEW","presence"
1100.16515778125,23.0373869459602,-1228.71485824769,-622.884533197944,502.336418281087,1077.12777083529,-1511.69806468616,-10.420368300942,"nonveg_684","absence"
412.606033083383,-619.168107424238,-2787.58518401302,-2433.81248075062,242.781642588517,1266.65041785957,-2476.67039540686,-13.7329174864154,"nonveg_719","absence"
3242.18130086101,1986.84007049545,-5006.82991265988,-5639.40282922379,3648.71472374609,1571.63850263005,-6184.04328409235,10.2879141140939,"Russia.Kytalyk.T3","presence"
3373.27885480433,2851.79023401154,-5777.66456129276,-6311.04019317338,3785.63117326458,1484.66607519836,-6776.46154634946,4.37572601950303,"USA.YukonKuskokwimDelta.72B3","presence"
248.265528779176,-100.092312756154,-1640.13049986528,-2043.18999231082,307.482071038658,1187.37708458809,-2043.18999231082,-3.15097155502541,"nonveg_666","absence"
2910.0148737107,2518.22875420977,-5645.64482391098,-5935.51250382684,2897.49192407197,1792.89898554854,-5960.42086123945,16.820811645305,"Canada.DaringLake.Tower1-DwarfShrub","presence"
2898.19730171126,2400.13220946379,-5972.47449444665,-5992.42311976863,3884.79566222726,2521.7948715459,-6070.03699253282,6.39391874489525,"USA.InteriorAlaska.CALF","presence"
71.1225850673679,-249.952849459121,-1112.36393263915,-1314.25901517562,71.1225850673679,1620.34136018838,-1112.36393263915,69.1178823200581,"nonveg_1834","absence"
2484.64772156211,1790.79115859982,-5860.56912001829,-5164.41007424024,2350.05583761202,2406.37962166482,-6073.92228570086,17.3379009433665,"Russia.Kolyma.WT1","presence"
2593.73761870732,1503.02109723416,-5211.13617874493,-5275.14515709968,2980.34826586047,1826.04361152762,-5835.59058104025,-3.57176237839227,"Canada.DeceptionBay.BEGL2","presence"
-586.242897725277,1316.69275140154,-1810.89285242261,469.806110733427,578.546097004617,1902.93564912682,-621.457232478882,22.0428026444585,"nonveg_571","absence"
616.453221255976,455.782606207885,-1392.76601835529,-2054.23286527727,616.453221255976,767.150861815254,-2029.648187919,-21.2910383923653,"nonveg_926","absence"
1797.91815019448,1067.26503388477,-4662.73458889094,-5828.77098206448,1919.0303854461,895.643979744727,-5630.5140131249,5.95467390846416,"Norway.Javrresduottar.EC-Salix","presence"
2312.07951012588,1707.56267718543,-5707.37924168777,-5570.68911443835,2858.31851533907,1510.75932318712,-4893.08454204634,4.47891374392858,"Canada.ChukotkaRiver.TH4","presence"
778.415293004753,107.907906905442,-464.624301179488,-741.53683247575,413.911537909531,854.523504139408,-1369.22924974673,-13.4379637558916,"nonveg_956","absence"
426.37246941921,335.717143646639,-863.855599327756,-753.004203928113,335.717143646639,555.921692911872,-753.004203928113,3.96051821257529,"nonveg_932","absence"
2325.92147220419,2241.86540438773,-5680.7122181612,-5899.86478280705,2825.61542565745,1569.00928414203,-6461.35227924046,5.14723136993944,"USA.InteriorAlaska.22","presence"
963.086518631025,442.902058910506,-3076.64798427838,-2155.36985093382,595.913753497581,929.505519638575,-2283.76229473353,8.57496320224847,"nonveg_957","absence"
657.694735550709,-198.976588737485,1702.18787471846,9704.43208927958,220.344763838275,1252.89683501051,1702.18787471846,-44.4630916156266,"nonveg_991","absence"
467.621353191176,171.826660136277,-1865.01341138419,-1705.0622969295,200.86769684636,321.689767006145,-1845.35200234979,-5.78918220797274,"nonveg_984","absence"
1128.01071214686,469.556516721515,-4714.51550245191,-4210.1610537363,1954.0224692652,2531.65136679752,-4695.42059149136,1.82612585258396,"Canada.KluaneLake.Quill-ShrubTundra","presence"
1818.28695997954,1152.74713869042,-4849.3536904288,-4145.39785252401,1421.10355641401,1148.85529916462,-5091.82868671432,26.5969996307356,"Canada.BanksIsland.GreenCabin-C11","presence"
3563.82132249786,2537.34345447166,-6269.72815755939,-6137.46120383031,3210.25391818805,1315.28996760938,-6435.71047703507,11.7366170818091,"Finland.Kevo.6","presence"
1677.74701584292,1076.53654268991,-4925.80448185151,-4832.87263131364,1574.37862783471,1482.2060889463,-4827.23857117179,-0.835634933598723,"USA.NorthSlope.FranklinBluffs-C17","absence"
1740.97435064143,2078.04439988503,-6683.35344207325,-6392.67002284785,2690.86641980504,2303.21360545247,-6423.17805725863,12.504475879224,"USA.InteriorAlaska.24","presence"
3647.85698801213,2528.17749632165,-6254.40676653683,-6140.80243897843,3874.54886380592,1643.97391293133,-5240.12467426452,10.6413820225538,"Sweden.Abisko.NT-MesicHeath","presence"
532.809030284492,107.825369975107,-1277.81733000963,-1249.4954882702,510.513804404573,570.432767504891,-1277.81733000963,4.08379111553715,"nonveg_768","absence"
280.040764035966,711.768421414687,-1963.68300154346,-2510.488092052,711.768421414687,549.152279824021,-1963.68300154346,-3.915794613974,"nonveg_849","absence"
1519.58566053995,746.949748348158,-3865.38861657628,-4125.1422787736,2326.70621973718,2926.53793953455,-4139.88647423752,18.7241639881112,"USA.NorthSlope.WestDock-C14","presence"
362.327497868482,354.303289208473,-708.63001540229,-2477.03559728266,812.663627738937,853.655399014464,-1561.95269709909,-19.5903897104415,"nonveg_825","absence"
557.953559861642,-416.91878323843,-1467.92928473451,-925.350630357551,241.176175921177,1196.08531569109,-1467.92928473451,-15.9848344743687,"nonveg_560","absence"
2770.84450196438,1908.59799999209,-4699.56881856124,-5256.64820910969,2525.07200662847,1756.38175710554,-5232.18129592689,9.17757421040855,"USA.YukonKuskokwimDelta.6","presence"
3689.31529835937,1706.63667442515,-6410.55684495114,-6333.79587716416,4100.88983237298,3182.89112051518,-5875.42034955563,8.05836500267121,"USA.Kougaork.TallShrub","presence"
821.038034194418,772.208694005772,-3255.19198541814,-3292.22379525069,985.165644402984,669.855205722827,-3317.00972035402,12.5099784676409,"Canada.BanksIsland.GreenCabin-C07","absence"
778.415293004753,107.907906905442,-464.624301179488,-741.53683247575,413.911537909531,854.523504139408,-1369.22924974673,-13.4379637558916,"nonveg_956","absence"
107.82769728904,251.78434460081,-1224.35749850574,-1228.53536037866,251.78434460081,400.93949357049,-927.935120148337,6.82233659172163,"nonveg_596","absence"
337.677298639639,746.643004868945,-2166.41783217022,-2995.75324016151,746.643004868945,1039.54318617836,-2346.7373189039,-1.95224138036822,"nonveg_746","absence"
725.582537938624,649.969799665318,-1959.78316941133,-2248.9041806703,649.969799665318,870.289500302835,-2248.9041806703,-10.7197761600232,"nonveg_986","absence"
532.809030284492,107.825369975107,-1277.81733000963,-1249.4954882702,510.513804404573,570.432767504891,-1277.81733000963,4.08379111553715,"nonveg_768","absence"
3267.53422182766,2150.5585393854,-5791.68599244347,-6336.17631308052,3439.53480914435,2420.47787860889,-6399.67980233665,6.75609375355217,"USA.YukonKuskokwimDelta.15B6","presence"
107.036346782319,221.233917493912,-1363.73703649677,-1368.74587920341,240.44687974577,664.029999358945,-1363.73703649677,-4.45707160405061,"nonveg_923","absence"
169.86600466958,215.460278337716,-1223.49220361431,-3000.62987298359,863.799550622878,829.561379755538,-1332.80355900787,-1.67114952496458,"nonveg_760","absence"
2564.36820541398,1615.36425446598,-6129.0721545189,-6127.6921345003,3121.69348425345,2249.09863082641,-6388.58881878067,13.0009430039313,"Finland.Kilpisjarvi.17","presence"
2180.59284006908,1667.7465944288,-5430.16871642621,-5728.09411058053,2749.26347575598,1431.91136836311,-5462.59433590213,-2.09716235011788,"Canada.ChukotkaRiver.TH1","presence"
1838.82826080776,1203.03376613807,-4814.58137040705,-4286.96132348118,1783.42114088856,1403.50593386449,-4425.31585003285,17.7984238167351,"Canada.BanksIsland.GreenCabin-C10","presence"
3119.80202759775,1512.42905534449,-4966.49163396306,-5809.42261799583,3218.15390345149,2670.54465952517,-5404.63897888661,-3.40961902520227,"Russia.Tiksi.FloodMeadow","presence"
966.109540768033,349.706607910465,-2020.81577697973,-2304.68624314423,1051.48004225924,1037.83568623248,-1361.06492258422,-12.5990614428019,"Canada.Ivujivik.TP10","presence"
1740.97435064143,2078.04439988503,-6683.35344207325,-6392.67002284785,2690.86641980504,2303.21360545247,-6423.17805725863,12.504475879224,"USA.InteriorAlaska.24","presence"
512.539691049243,872.170429678496,-1666.37188105924,-2194.68520229569,637.514615709197,425.231802718874,-2194.68520229569,-11.8524549502031,"nonveg_913","absence"
239.128653454174,1173.67494888311,-2389.46405693463,-2365.52261573422,527.113518957404,957.326522737274,-2174.56960377513,29.7793780749038,"nonveg_1309","absence"
79.0157960493389,614.808815806635,-1178.47479843162,-1424.30012410936,226.505114407934,709.476398595005,-1424.30012410936,-7.98790594178862,"nonveg_903","absence"
2946.43463552376,2288.2939327546,-5873.67120873344,-5976.69386634408,3229.34939621245,1696.34039197679,-5872.88739086045,4.23753538189762,"Canada.ClearwaterLake.AB3","presence"
362.327497868482,354.303289208473,-708.63001540229,-2477.03559728266,812.663627738937,853.655399014464,-1561.95269709909,-19.5903897104415,"nonveg_825","absence"
509.55617516341,453.580521949652,-650.118949103108,-1024.32849218554,453.580521949652,781.068352376782,-1092.48938244348,-54.2702317375662,"nonveg_900","absence"
4326.42051640404,2875.58893693694,-7276.8187977007,-6802.44664015805,4047.53594572125,2685.2362272282,-6803.16537070985,-4.99073726962024,"Finland.Kevo.11","presence"
1487.18490488851,1798.5655488061,-5494.14455992245,-5682.33277692885,2191.55025414656,1273.91024570063,-5746.42642949526,-5.99867100316879,"USA.InteriorAlaska.1","presence"
1981.10917081002,1592.68756781551,-5763.64924371491,-5892.15418188992,2354.8682316111,1390.2690835346,-6017.43517902996,15.1902892147895,"Canada.DaringLake.Tower4-LowShrub-1","presence"
175.875058242203,167.737835344432,-1201.1455992969,79.7988606557043,175.875058242203,256.457969383661,-1152.20965804198,-5.81093992067179,"nonveg_931","absence"
2582.03786258584,2093.36544252829,-5413.74702670446,-5342.1221323292,2503.80600901456,1421.74466340338,-5860.9057724925,5.87815854406382,"USA.YukonKuskokwimDelta.UB3","presence"
1519.58566053995,746.949748348158,-3865.38861657628,-4125.1422787736,2326.70621973718,2926.53793953455,-4139.88647423752,18.7241639881112,"USA.NorthSlope.WestDock-C14","presence"
2357.92834526286,2240.49394236358,-5525.94559831687,-5506.57771413639,2504.39536536412,2815.98235872036,-4424.66639389729,13.1584315035616,"USA.NorthSlope.10","presence"
2314.38110086341,1776.81551594337,-4376.90507936175,-4189.29721836954,2415.12970613537,1685.05781646824,-4905.09143656994,2.82471446934573,"Canada.BonifaceRiver.LSA2","presence"
-89.0419604456979,156.264478256369,-951.760058424719,-1895.37003634486,156.264478256369,309.423416100218,-1127.82996778277,-0.832041560338354,"nonveg_761","absence"
2287.47908626695,1429.24374154262,-3926.39001503781,-4260.24464963281,2247.74767959165,1296.9136741821,-5047.68136877868,2.95801782297655,"Canada.Ivujivik.TP13","presence"
2656.8972961969,1284.06565113342,-5327.32876229064,-5270.82116059196,2911.86232050838,2110.23079763259,-5839.71865250947,-4.70212653711045,"Finland.Javrresduottar.EC-Betula","presence"
3164.29692954287,2395.98998856147,-6031.57222375036,-6343.91391511913,3998.28359093442,2262.78792211833,-6747.81462463239,-1.5276898021595,"USA.InteriorAlaska.DEW","presence"
596.344540939006,2057.00167261073,-3668.48895062539,-4223.44893084499,1451.10799043989,1460.65713167173,-3996.0464110045,-24.3288310279115,"nonveg_1069","absence"
