"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_endSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_green_lateSummer","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2604.70419064476,2471.60904578602,3169.04750267236,3389.96352284474,2135.03244012297,4741.52257345084,-5619.95309915718,-5584.09569944428,-5930.0158913519,-6084.03955458119,641.355707296419,0,1928.15542900867,41.3041455280686,"USA.NorthSlope.Sagwon-C19","presence",0,0,1,0,0
19.4106533746877,-340.946298540504,725.87524603682,402.735673435345,736.103494386947,-303.520158020401,-1654.43195271933,-591.500806302008,-218.520953848106,-1077.91163831806,874.553687969813,0,1077.04979292745,-39.8162689451255,"nonveg_931","absence",0,0,0,1,0
195.465227666532,-240.426751768751,-182.388532149639,412.541560001271,-600.89477268723,-909.142546980802,2634.92665882873,3672.58181159653,2950.66961942713,2395.53985086278,139.395111228826,0,1013.4363326885,39.8180000176881,"nonveg_1646","absence",0,0,1,0,0
2433.83189841676,2509.40579667598,3845.59005017259,3200.92222414733,1981.36771861847,5566.25686679199,-5552.89730876033,-5447.11392138153,-6053.1094149601,-6557.56594275483,718.664705135207,0,1699.96711604189,12.2124347047096,"Canada.DeceptionBay.BEGL1","presence",0,0,1,0,0
441.0870473582,708.996063197626,413.530130080674,355.735854178759,608.565282020608,873.822335342408,-1852.93459115809,-1601.8306427452,-1908.20509459158,-1956.29001332739,2087.64588648301,0,353.260209018867,-5.40252369878733,"nonveg_1261","absence",1,0,0,0,0
-204.14464534325,-781.034348888035,-535.622397619713,15.4025595672822,-424.106629862871,1658.12278395385,-2953.04039307144,-4520.6644148146,-4442.39917524915,-3735.70401307932,697.620913496641,0,796.436908455317,4.58254134415877,"nonveg_730","absence",0,0,1,0,0
551.895776288397,571.023677178896,558.018731060553,193.786739312458,244.396361321302,996.167038425064,-614.545718966385,-498.40295291841,-813.376852185478,-1750.88177474121,1618.52519075697,0,377.236937866438,14.6428292841473,"nonveg_806","absence",1,0,0,0,0
163.314802106814,-110.424736361219,166.266245005513,-42.1139667419442,11.551185970481,1117.87947903253,-2878.36218096805,-3031.28385720716,-2821.57531017753,-3152.47270773436,1158.28677652211,0,276.690981366732,6.07054464545333,"nonveg_719","absence",1,0,0,0,0
2297.0970480432,2432.55132706376,2524.8122022578,2623.54996130358,1517.51970949298,4557.24747533573,-4655.57755926243,-5176.10931748915,-5433.30272023577,-5451.33181051777,706.874943598028,0,1431.79278908516,31.5044217582595,"USA.NorthSlope.Barrow","presence",1,0,0,0,0
222.728009080325,258.2187765042,375.786827565466,-398.361926979531,-492.284339716388,26.739596216951,-52.3918957036031,634.101754393404,213.791945413918,-747.092046552963,1977.72652310147,0,868.071167281855,31.0874934259441,"nonveg_1161","absence",1,0,0,0,0
2984.61512968774,2897.3185091657,3094.36959234113,3040.94688555646,2120.32240893817,5203.03397006442,-4879.8406746956,-5489.43840321787,-5699.58036012522,-6130.69796737758,779.883845287165,0,1371.92772244943,62.3603510204288,"Russia.Yamal.OstrovBelyy-1","presence",1,0,0,0,0
3283.118764378,2850.00479925607,4129.98797834388,3969.09389178533,2732.80639049773,5126.50188307191,-6014.30041047702,-6069.36967957127,-6365.51993320024,-7230.356437972,696.381538545091,0,1971.86608943092,15.3354922789924,"USA.Kougaork.LowShrub","presence",0,0,1,0,0
3599.04252611276,2455.96888123987,2895.49363139616,4555.79405795435,2009.82874941853,4463.89730117457,-5238.33991885502,-5019.04221654165,-6752.31846310879,-5834.82417786311,570.4183972811,0,2715.75907246938,42.6055848130532,"USA.BrooksRange.8","presence",0,0,1,0,0
79.1294819170922,-858.394282616074,-1063.73272081286,876.440377200901,84.9804742263644,-130.561254746594,-1607.51175958557,-2435.3184472155,-2749.16435073916,-1313.41143570165,323.267172356965,0,1940.17309801376,-0.146274807731804,"nonveg_608","absence",0,0,0,1,0
3021.79046020725,1543.91886756592,3216.90625109932,4602.2432568921,732.700219674874,3495.35939222107,-4142.42927452079,-3634.72322838187,-5489.12069260872,-6608.25758391671,676.479804076998,0,3654.14216584214,48.4288061436434,"Canada.KluaneLake.Quill-ShrubTundra","presence",0,0,0,1,0
876.15395809107,624.713186667323,1174.1127698504,284.329325501299,1016.98789938519,1039.90834803949,-2079.31312433325,-2089.07181113178,-1608.10489532549,-2697.04998528186,1942.83826973991,0,889.783444349097,-5.63335765176461,"nonveg_915","absence",0,0,0,1,0
2855.0388979895,3177.46108777924,3822.28023617594,4247.12700212109,1902.67642678018,5683.11751397886,-6124.94991285452,-6246.80888064283,-6651.64887302345,-6644.02340855196,598.167661873607,0,2519.83313818999,30.6746699298153,"USA.YukonKuskokwimDelta.15B6","presence",0,0,1,0,0
