"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_green_endSnowfree","trees_presence","spectral_EVI2b_annualRange","spectral_NDMI_changeLSES","site_code","presence_absence"
3364.0430280613,2793.6840518608,-5935.53674029964,-5971.6263995434,654.927184688739,0,1861.95880079812,-4.55363652841056,"USA.YukonKuskokwimDelta.72B4","presence"
2886.14843966845,2385.15204773531,-5296.73589890113,-5608.4042148537,612.042047724615,0,1429.0411623449,-46.9540368656701,"Canada.DaringLake.Tower1-Shrub","presence"
2881.07818821787,1824.17070156226,-6056.77087605493,-6333.02672395449,389.040520743651,1,1655.71887566855,-31.5927187149572,"USA.InteriorAlaska.5","presence"
810.627512335788,819.99622875604,-1420.44889955433,-1657.12197081155,1990.06789133163,0,361.748437898724,30.7943189001179,"nonveg_825","absence"
2803.39053345942,2469.26993072666,-5058.52903371601,-5863.17599874698,696.075244976934,0,1306.05134387063,60.795403869437,"Russia.Yamal.Kharasavey-2b","presence"
2344.71184479835,2753.5222150376,-6134.76829820243,-6216.18028441571,536.182603575855,1,1978.77944693098,-9.24620428314873,"Finland.Kilpisjarvi.20","presence"
3104.96415747441,2397.16843216228,-5505.7752418163,-5949.28550768004,553.694488112576,0,1831.83833394479,-53.3852376435971,"Canada.DaringLake.Tower3-DwarfShrub-2","presence"
1735.83107000118,1852.28052815136,-4344.188390389,-4398.64072507416,671.159109573496,1,736.941755166023,-60.5219650888896,"Canada.LeRoyLake.TD4","presence"
60.679405474323,684.76481950521,-1966.9562169323,-1388.15805730143,1003.05110506979,0,767.389184477772,2.65961439223103,"nonveg_714","absence"
91.2524032010904,657.434072554249,-2112.36987675391,-1228.24676186027,1018.55010818196,0,748.910617031764,-7.96490291540425,"nonveg_779","absence"
3375.83818339889,2452.52881005482,-5517.17697816326,-6085.93130823776,591.32843143291,0,944.981772548954,-41.4119439544805,"USA.NorthSlope.HappyValley-C18","presence"
3139.77562778011,2590.20853921582,-5786.71080410994,-5795.21178678769,658.804398749208,0,2151.83636333046,-35.0495543933851,"USA.NorthSlope.HappyValley-C19","presence"
2718.75379123442,2453.1802943209,-5519.18907476896,-5915.71140025298,532.035534691526,1,1395.11315069578,-24.1210761346366,"Canada.LeRoyLake.TDA3","presence"
