"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NDWI_annualMedian","site_code","presence_absence"
-836.026422695007,-502.332595870744,-168.381780965565,437.47181560516,-78.1872988240457,-29.1003653619186,1362.69652723107,-78.1872988240457,"nonveg_592","absence"
2101.66922743104,2819.1378211555,3182.46424950667,1811.16952886626,-4690.2544707668,-5271.84583105532,-3792.28812655401,-5123.31855244536,"USA.YukonKuskokwimDelta.4","presence"
2930.81916437729,3576.43665559198,4177.17587919788,2170.27890561725,-5747.07171960764,-6303.61873177836,-4359.27188230807,-5691.93483013548,"Canada.BonifaceRiver.AB2","presence"
2264.16470770848,3577.0687787244,4260.58978023512,1866.95332388751,-5300.41112059169,-6163.62592182964,-4154.15946540562,-6148.18754931015,"Russia.Kolyma.OW1","presence"
663.468873692148,952.732421237675,351.758421309014,414.133197879347,-1883.60143077367,-2198.59885710423,-1503.56013351078,-1503.56013351078,"nonveg_968","absence"
2920.5011656737,3864.14188258244,4366.8140028809,1864.5733206549,-6044.85341417743,-6991.93073107943,-5273.5415427125,-6520.59384917825,"Sweden.Abisko.NF-Wetland","presence"
476.500658039656,-159.85987832346,540.602530503856,1068.68261643993,-2207.34080310104,-1703.08529593798,-524.969797478169,-1582.6031676967,"nonveg_919","absence"
2406.79763905516,3066.84171968101,3593.17107370062,1840.55768535058,-5480.73204358702,-6112.55217097231,-3703.57210564463,-6321.98282433569,"Canada.BonifaceRiver.LSA6","presence"
662.114737431061,904.405912774313,236.051449219435,74.8214675037511,-1527.97465856283,-2223.66277588837,-1580.84501072265,-1527.97465856283,"nonveg_693","absence"
-310.139455214761,456.750290667133,317.119654570932,95.4061111506724,-416.024286019813,-1280.25913190248,-547.499176788111,-1021.2945237761,"nonveg_932","absence"
823.883335749701,658.668354378596,-64.2382331554704,530.235935820926,-1096.79957528996,-2563.80672645642,-822.85289468469,-1096.79957528996,"nonveg_684","absence"
812.402812773806,232.152456830335,1366.40087043835,610.978995598102,-1710.54568846299,-1508.37953486349,-1784.25332370167,-1784.25332370167,"nonveg_975","absence"
2544.1853274225,2718.82527237376,2550.44877827469,1929.61751746975,-4833.55755988396,-5412.86501540257,-3621.50276693828,-4980.42189630025,"Finland.Kevo.12","presence"
1173.94714176173,1318.34168862664,1675.27593957287,1580.26338712417,-2714.69327998519,-3630.79892568318,-2159.15245403635,-3514.45442682594,"nonveg_898","absence"
