"spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_NIR_changePSLS","site_code","presence_absence"
737.413477973783,-57.1730841209666,-2327.42282158874,439.236472493724,794.58656209475,16.0497334128405,-2492.70170579672,53.8590353761688,"nonveg_899","absence"
-16.7475947139203,283.132688211758,-145.019133247421,283.132688211758,757.29420481612,14.9289492655289,77.7463387069693,-40.4093772926439,"nonveg_1642","absence"
869.725556903785,-483.489430414469,-3813.61191904785,869.725556903785,1936.19677689616,41.3404441063944,-3813.61191904785,-57.7657896813958,"nonveg_1813","absence"
1860.41402534494,1365.10010407457,-4077.1581310668,1496.30575737719,934.330998113418,10.7458837404535,-4382.1674057648,6.00889446344599,"Canada.ClearwaterLake.LS1","presence"
3150.44651460135,2397.10040882768,-5428.22004911152,3018.46845111466,1484.6147881611,18.5967586267454,-4927.77975905281,4.75892764744307,"USA.YukonKuskokwimDelta.6","presence"
267.444071634618,-199.815865655491,-647.174774586519,249.951634825101,758.829061791226,7.27088080843744,-889.198139080494,0.249064709423186,"nonveg_710","absence"
918.56934723929,546.17714931274,-895.146012655145,294.818108345945,968.783221142897,-33.1328346231304,-1086.40122255558,18.4068576962051,"nonveg_682","absence"
267.981224952358,691.510173011006,-186.056505287121,267.981224952358,789.171128534696,-21.2895168346646,-813.279858103613,11.4838599549259,"nonveg_931","absence"
1918.86136742319,757.475913520588,-4037.4278772001,2192.37040432431,1926.58190229318,36.568411338769,-4195.36855916265,-9.69189088603795,"USA.NorthSlope.WestDock-C14","presence"
3234.29856205711,1781.7096534194,-5878.91581815459,3030.88032278986,1444.21270447368,25.4383788195588,-5959.69070908994,6.5256891753944,"Russia.Kytalyk.T1","presence"
352.625904009533,910.382660211225,-3150.17757635679,543.896626957307,2275.68672883948,-15.934175358866,-1628.09225222136,-177.321684377676,"nonveg_674","absence"
1179.96033437581,759.730081211116,-3410.80489035162,759.730081211116,536.333128704842,6.82603993791282,-4178.23218506518,27.3942839441976,"nonveg_856","absence"
753.849035797335,359.807859172155,-1279.47694213713,845.31678170597,664.755656467294,16.5108194440702,-1456.18069433916,-17.8758987909593,"nonveg_1261","absence"
