"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_earlySummer","spectral_green_endSnowfree","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeESPS","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NDMI_changeESPS","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeESPS","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeESPS","spectral_NIR_changeLSES","spectral_SWIR2_changePSLS","spectral_blue_changeESPS","spectral_blue_changePSLS","spectral_green_changePSLS","spectral_green_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
378.898343452058,155.607464666481,811.424791893942,207.693632817676,110.260295155275,1662.2352308317,2846.37101094783,1615.08569670982,-1707.64435022671,-439.454020227347,-690.980317338225,-1781.64437218834,-2034.43080189751,1278.06897449963,279.152481043683,-0.0957410261034966,0,207.693632817676,332.776905597086,701.164496738666,-11.4136473756255,-23.4220474009807,-10.3523726296418,-12.7509313125356,1806.34616275383,1420.77218421785,-3.14330227479193,-1707.64435022671,-1330.83077237563,-4.93333479744178,-35.9949478586633,-0.988777305994054,-9.09602720929381,8.90739302077609,7.4983088164386,-22.6069763209606,"nonveg_1442","absence",0,0,0,1,0
3314.80539062689,2528.44849153983,3160.63095343118,3800.76422788071,2603.80549282165,5764.93575734394,5590.3406695142,6303.76986314491,-6080.80463510678,-6039.89542077208,-6175.31674009016,-6258.52307319824,-5634.76887901243,2639.92354316377,570.68315918333,-0.0500184245407581,0,3359.55622721871,3361.74581720878,921.966018258729,16.4235171092622,-4.19684917241474,25.9060578890802,20.0406080543194,5787.58312818283,925.728963730957,15.4990116149015,-6372.24098503973,-6066.78610602852,-10.8174476063408,1.40988856739401,-4.91205345898194,-1.25618078416048,-2.75174320035954,-3.16837580289225,8.15225836625019,"Canada.Yukon.SCHAR","presence",0,0,0,1,0
587.686728303513,287.896491417377,387.641070679626,845.013495469141,418.63591762063,1587.9873537059,1510.0483353147,2108.29357317568,-2108.056479552,-2483.34495442752,-2651.47307953122,-2135.55136788019,-1688.94331788122,1190.74738200229,631.883694470807,0.00196254509501159,0,418.63591762063,505.374740698057,557.117004051764,10.2930706866251,-5.86732819189698,4.12914027443838,2.88815983057657,1514.18460712153,1015.24704028559,20.8122487787914,-2135.55136788019,-2213.47383985443,-1.09979553312731,-3.1053978035422,-14.6721984882786,-2.8099813461218,-7.80385173541993,-7.92806813906473,0.960223731466258,"nonveg_913","absence",1,0,0,0,0
3067.59954875727,2414.11739999303,3413.66792278283,4059.5909824593,2230.89390790078,5326.19492119488,5850.29138681843,6634.75313786886,-5769.53711692139,-5815.60450723996,-6244.2141357373,-6300.36552669374,-4808.53412777159,2604.6335253811,625.305635192574,-0.0347148217260837,0,2828.48451777065,3031.46162114476,1881.69476232567,50.5052217112247,2.58986059987141,85.2757411026731,71.3989447262858,5288.03743304207,2585.34118850435,69.6211673138584,-5965.47330938936,-5884.8516591347,15.8534154263114,11.3933396182605,-15.1971970735667,6.97125602203541,-15.2839578096144,-13.5245641162525,13.3915860875297,"USA.Toolik.S1","presence",0,0,1,0,0
415.940551148013,732.351967625209,-8.93918386468113,317.804811737846,12.1200111400554,700.704542495195,-25.4944549544988,552.120116150705,-916.658994499798,-139.906850892068,-2073.24393409271,-1475.29467577472,-1004.29582637671,1967.87759674395,1778.38671305967,-0.00405859341844916,0,317.804811737846,293.855631557288,741.29115148989,-4.46071542773486,67.3901046808991,-17.8934698760955,-17.2547247159877,490.947772503925,1336.89024239961,-6.75383756111318,-1004.29582637671,-1121.8800563272,-25.3925309670421,59.2259520851847,-23.3049933048213,-7.62287293397417,-14.1171426326307,-17.1841520375476,46.8103226717441,"nonveg_806","absence",1,0,0,0,0
2717.6546045876,2252.96784472729,2837.09601258531,3260.58236046621,1907.56212688949,4546.02428785951,4899.59677937233,5273.71860371773,-4828.74364902613,-5077.50776153991,-5284.93228281506,-5589.86290609687,-3851.60356058605,2681.73631255528,763.191859161544,0.0391422136790223,0,2699.99785752194,2540.80376167941,1416.94755130899,13.1259152029482,-23.7109479544063,17.2168966931064,14.6866420506218,4424.77620593813,2129.68626272594,18.1723712421204,-5068.6476205729,-4990.64285503997,-20.1045172112449,-15.1501982096681,10.7452319819144,-7.62103627820589,12.5886395224378,8.49138789092171,-0.538389657700388,"Canada.Yukon.TOWYK","presence",0,0,0,1,0
3809.15308335603,3904.50882129667,4624.20503859731,4862.853877177,2437.45214436935,6666.49190350842,7293.27905622143,7549.10454400137,-6237.01251956132,-5573.85575065612,-6257.20517755314,-6752.9205682208,-4303.79493321693,2781.14720003184,729.218758345456,0.0200412007314818,0,4927.44308157591,4418.95939495999,2641.48875160113,24.710710048101,-72.4135564824525,9.96262581612408,8.69129975892609,7357.01739280223,2572.33805217387,4.61459799833772,-6106.06198669702,-5885.69789664979,-38.380811482659,-36.9914829407891,-7.16731870872186,-8.80070066325579,-9.234903922885,-7.50683110733258,-13.5816800828358,"Sweden.Abisko.KJ-SalixShrub","presence",0,0,0,1,0
1302.85096133191,1662.85638016183,1947.97418782244,1572.42635625907,28.4226754275155,2515.13817115072,3496.69567045094,2968.41278851491,-3174.07409570313,-2397.59455734349,-2734.35714742868,-3438.57938924479,-3327.96095971917,1967.16524035558,1094.99744030796,0.000741572817787528,0,1572.42635625907,1302.90611220055,1919.55151239493,10.3682844202751,-16.7716357447419,7.67176306844992,1.27852456412512,2575.51503433784,2721.15160541001,17.4336391293922,-3174.07409570313,-3014.51322988785,-10.1732805208331,-14.9301891104333,-8.8972458583088,0.873389166987579,6.46454310589237,5.43073451355953,-2.90550358058795,"nonveg_632","absence",0,0,1,0,0
2500.76760761446,2395.58506675151,2840.71052114086,2986.25936125298,1873.09196627947,4239.29463906845,5088.48614039664,5203.74136490998,-5262.39740065176,-5624.57022117135,-5508.38964705498,-5612.91079835034,-4178.89044278885,2476.58092447196,629.474726394914,0.0279751502805286,0,2518.4934084989,2536.22689231902,1327.48255903398,18.4895417776246,-22.8675170648625,34.958494701941,26.3637645496216,4503.37509075876,2172.71950546057,35.0155926777362,-5361.00163285664,-5257.8042442634,-2.88022967954208,-7.61655493550234,-43.0972183134187,4.21506918966934,-21.6966802054151,-20.7073289820226,-0.467841583109653,"Canada.ChukotkaRiver.TPO2","presence",0,0,1,0,0
3809.15308335603,3904.50882129667,4624.20503859731,4862.853877177,2437.45214436935,6666.49190350842,7293.27905622143,7549.10454400137,-6237.01251956132,-5573.85575065612,-6257.20517755314,-6752.9205682208,-4303.79493321693,2781.14720003184,729.218758345456,0.0200412007314818,0,4927.44308157591,4418.95939495999,2641.48875160113,24.710710048101,-72.4135564824525,9.96262581612408,8.69129975892609,7357.01739280223,2572.33805217387,4.61459799833772,-6106.06198669702,-5885.69789664979,-38.380811482659,-36.9914829407891,-7.16731870872186,-8.80070066325579,-9.234903922885,-7.50683110733258,-13.5816800828358,"Sweden.Abisko.KJ-SalixShrub","presence",0,0,0,1,0
