"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","topo_slope","spectral_EVI2b_annualRange","site_code","presence_absence"
4554.60314576172,4468.86336109091,2739.46539732525,5824.74467394688,-6738.24728906767,-7719.41209272968,8.50246829986573,2597.51605893081,"Finland.Kevo.11","presence"
-525.439450077876,701.187914371704,-570.275759305263,-753.285658232085,-361.887223274266,-334.905748900608,0.0584703125059605,1271.46367367697,"nonveg_1889","absence"
769.090472936481,1514.54610540256,-124.608867497037,520.954700145123,-2180.06368893999,-1732.5072974851,1.09585821628571,1639.1549728996,"nonveg_575","absence"
3383.64754523508,4347.14645751468,2422.73863409573,4629.34249817536,-6354.11607786602,-6448.07833247687,6.27425980567932,2790.9054158364,"Sweden.Abisko.NT-MesicHeath","presence"
3284.89786135658,4122.89162050092,2783.89236273844,4639.85551653337,-5708.03842653824,-6648.45409194679,0.935363054275513,1182.49885584011,"USA.YukonKuskokwimDelta.72B4","presence"
3776.71036305401,4767.76013861808,1755.85831715929,3874.41173976798,-5866.83457057957,-7579.30752771944,0.627783159414927,3132.6572146056,"Norway.Javrresduottar.A-Salix","presence"
2471.1119069405,3193.82134276048,1879.96684241329,3653.16276294824,-5623.77114744045,-5865.92375881913,0.721603310108185,1063.86088275672,"Russia.Yamal.Laborovaya-2","presence"
-407.300328400996,-139.939307367477,10000,-303.543336213364,-958.09075247535,-1218.37616732164,30.6112365722656,10407.300328401,"nonveg_1241","absence"
2100.58059469834,3949.47343909475,2046.58904704156,3811.51611339249,-5829.79080857545,-5461.38620790249,0.76155743598938,2004.18734304688,"Canada.DaringLake.LowBirch","presence"
2141.43989583251,2391.6559790831,1693.38511993344,3077.81388813908,-4250.90039162399,-4632.84647594407,4.51282930374146,336.439016997328,"Canada.BonifaceRiver.LSA4","presence"
936.116647275412,236.876364987227,993.837648189995,1428.26056570517,-616.961296004279,-1747.55840350726,9.87068748474121,1005.3359566993,"nonveg_874","absence"
1608.53678994751,2120.3225180306,1201.28282770451,3709.22544249801,-4922.93023258788,-5904.42583737198,5.67250882254707,1087.6660346581,"Canada.ChukotkaRiver.TH5","presence"
3273.54777442254,4231.41285242362,2542.34643303237,4752.43117460884,-6168.9109807141,-6045.82023151617,6.55597189494542,2317.42872026572,"Sweden.Abisko.NT-DryHeath","presence"
732.486360577363,948.705029503836,549.454803935323,962.003143267125,-1169.1173727754,-1213.44415248938,20.7469654083252,780.857721272087,"nonveg_814","absence"
1830.52774763421,2607.33075377859,781.870919221244,1944.51549514376,-4960.00666328196,-5088.44286543751,0.267601038018863,2293.67328660303,"USA.NorthSlope.Deadhorse-C15","presence"
1003.47577757012,617.467357938341,790.079847396931,977.160559441106,-1406.1089740611,-2561.65522822693,9.20244216918945,386.008419631777,"nonveg_855","absence"
1074.12974703837,780.833372003965,723.984043685753,1606.31610930059,-2241.66484957601,-2774.91216678239,0.593476355075836,585.643973956253,"nonveg_600","absence"
247.602509120496,336.490063412477,369.816201833413,445.071024093645,-2073.14642148793,-1975.94968300065,1.52118134498596,205.857014329413,"nonveg_1261","absence"
1516.29909771951,3794.74013975756,1358.11636620931,2673.89192180285,-3943.55279706477,-6266.8294580747,7.82216644287109,2530.99099614644,"Canada.KluaneLake.Quill-ShrubTundra","presence"
2860.86048795532,3389.42869361094,2419.38462178512,4637.26347120497,-5912.20592500935,-6443.41820711118,0.559994041919708,994.319926270668,"Canada.CoutureLake.TD7","presence"
181.343656810874,363.962055386186,-400.640791900765,-2757.41900287509,409.877072046625,-1441.59488922709,0.0862445905804634,764.602847286951,"nonveg_1794","absence"
2946.82128421329,3963.66069949892,1486.95113090623,3155.45161354043,-6376.92912735815,-7466.05598483479,2.8545602162679,1865.1051310462,"Sweden.Abisko.VJ-Wetland","presence"
1805.89092876675,3532.97374862407,1695.52240554219,4387.07994177672,-5848.41385295492,-5990.7328174715,2.15205955505371,2589.8778913965,"USA.InteriorAlaska.4","presence"
2372.61977437398,3368.05146048178,1501.4186810348,3639.18219912232,-6499.34811639306,-6352.6313969111,1.29303284883499,2752.59769529151,"Finland.Javrresduottar.A-Sedge","absence"
867.71638549388,301.354000825817,747.083812265369,1549.14643387484,-2141.52932383985,-3963.1731082206,6.64162302017212,721.264502712141,"nonveg_832","absence"
444.740803729174,583.201584348677,-551.052328047335,935.9069517471,9391.28544910496,411.209006114391,28.8310146331787,1134.25391239601,"nonveg_991","absence"
2772.45587955152,4457.81795057275,2160.92631478785,4151.03842510537,-5816.88159634751,-6793.61750318323,5.84857460657755,2526.01934780011,"Canada.Yukon.PAGE","presence"
-826.266163637766,34.9682619727585,-2898.96944014048,-8657.71597426122,7964.7403946229,7076.90144050482,0.277917146682739,2933.93770211323,"nonveg_1797","absence"
3114.68171565526,4107.4696887557,2036.90035628509,4216.08823572802,-5829.14659611121,-6406.51664227441,0.766352552175523,2046.84730717733,"Norway.Javrresduottar.A-Sedge","absence"
2111.8763582908,3258.74445714398,1787.84183137514,3116.42528735302,-4955.3508364989,-5575.06358885675,7.12908755408391,1265.92830334711,"USA.InteriorAlaska.BROWNSCREEK","presence"
2397.26960757039,4168.02473576085,1948.9836588795,3190.13225590747,-5571.84198791401,-6536.11357556829,3.77851892047458,2072.07820025187,"USA.InteriorAlaska.LOWERQUARRY","presence"
2253.97517069315,3465.39207199641,1790.03987066517,3808.98892345524,-5814.78978807838,-6323.00502487863,1.54523430400424,1376.58224538831,"Canada.DaringLake.Tower3-DwarfShrub-1","presence"
2775.02560552386,3559.78012514142,1906.54208830718,4364.39290644221,-5832.25320613754,-5970.71946626174,2.58213186264038,1499.09254324557,"Norway.Javrresduottar.EC-Betula","presence"
276.017065228364,-228.925261545089,435.511285239971,-230.727944959641,155.697389958995,-995.501686605604,0.472099512815476,664.43654678506,"nonveg_1547","absence"
2714.59166622614,3566.20084532008,1445.56168632757,3825.36787756039,-6016.24360330696,-6274.85607815075,1.92686605453491,3714.55479846276,"Norway.Javrresduottar.EC-Sphagnum","absence"
2402.89987795389,4309.20529826939,2174.44465642577,2878.75779296189,-5569.83719706395,-6712.44208910015,10.4239210340712,1120.44059059808,"USA.InteriorAlaska.AMSUMMIT","presence"
-237.209503980338,42.0253382416638,384.701215881405,779.898311537351,-2330.98392543092,-2133.00466512287,7.42058801651001,916.220182367879,"nonveg_535","absence"
2554.12138194896,3113.15783695073,1358.78738679269,2782.30569390254,-4946.70943651696,-5346.97941210419,0.994287490844727,1815.38829666075,"USA.YukonKuskokwimDelta.4","absence"
276.017065228364,-228.925261545089,435.511285239971,-230.727944959641,155.697389958995,-995.501686605604,0.472099512815476,664.43654678506,"nonveg_1547","absence"
