"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_SWIR2_endSnowfree","spectral_green_earlySummer","spectral_green_endSnowfree","topo_eastness","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_changePSLS","spectral_NBR_changeLSES","spectral_NDVI_annualMean","spectral_NDVI_changeESPS","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_changePSLS","spectral_NDWI_changeLSES","spectral_NIR_annualMedian","spectral_SWIR1_annualRange","spectral_SWIR2_changePSLS","spectral_blue_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
3616.36509191328,3039.67277711938,4596.71528554562,4966.02287827652,1075.68862728721,5772.78138754147,4769.83896519359,6374.55481393796,7429.92488107576,3253.09416943613,-5575.80121972622,-5614.76698998642,-6285.23464536286,-6584.22884591565,1164.12530547179,687.709707280601,632.907883568712,-0.0279022910528713,6.23075944052803,0,2420.64797223646,1687.65022889238,4247.63828674429,119.891943754133,-27.0631751231585,-104.963615713081,3802.53752793254,43.2146117608574,-106.992404077802,-5367.84753403048,10.5487028847657,25.9968989036056,1717.39361233735,1745.95048515432,-7.62384448320468,-5.23078353839179,"USA.InteriorAlaska.BABBAGE","presence",0,0,1,0,0
2987.66590916557,1390.08782987561,2263.76471294719,3505.47802813277,1494.04202781517,4885.34872384969,2877.59472587826,4183.54901652443,5720.8754000487,2720.28208019991,-4540.82979088375,-4572.0495068051,-5399.85010865902,-5559.91504084737,1860.79847410854,904.688010208985,789.047855492475,0.0122520133852959,9.43250465393067,0,3098.15284507357,2830.56520268085,1298.07837167959,41.8734958606321,3.56520946341066,-38.1670984427038,4324.84294695428,-3.54649716362752,-26.9174276008038,-4988.99469550737,58.1499074286209,65.0919716705571,2800.33619054695,1277.97557432019,21.5483541006178,8.29886589199682,"Canada.KluaneLake.Gladstone-MixedTundra","presence",0,0,0,1,0
-112.514476549817,-323.938576747864,-84.4381358492127,110.208224635043,-219.101243276049,-437.834782135492,-601.211087145765,-260.390617286402,24.9625348903439,-783.616547845777,-349.765154959209,117.705304191754,-194.445683251098,-295.970336064889,297.036506897391,1488.89003648201,358.563208214124,-0.266936182975769,20.6628475189209,0,-112.514476549817,-125.95684155758,434.146801382907,4.63420724896659,5.52382339461186,25.4563216109533,-411.618099904618,19.2832215427432,-26.216959219951,-194.445683251098,8.46038773448254,24.0116144186809,2248.25678433473,5079.51992430456,62.9008456801556,23.4968405604859,"nonveg_1161","absence",1,0,0,0,0
1503.50498345869,674.69531442173,980.680533068124,921.207226481978,826.933686902148,2174.23303706134,1248.09966831467,1631.88623560887,1555.78422901345,1266.40015700782,-1348.25206969066,-2380.53555994744,-2223.20751646027,-2397.2676820251,2557.73866356848,1847.80677760313,1373.95492802487,-0.00441957311704755,0.340886503458023,0,921.207226481978,981.404348866533,828.809669036957,28.1904706898558,13.9410073687997,-29.6540448378676,1575.28066540123,-25.7687003353287,-29.5220436380154,-2223.20751646027,13.3892435049868,-12.1021571913202,2328.45649777499,690.232425562003,-1.4144775987413,2.27901475513638,"nonveg_540","absence",1,0,0,0,0
-398.786178317562,281.968114415594,-46.3039484418083,-109.305493588625,-37.0544032071645,-793.979378574661,651.408626600329,-26.2624785889981,-156.400551434148,-97.2412679723301,-1039.92603373404,401.924326167597,-419.793445040627,-577.00724360091,2330.0623579089,929.751174382015,1216.58470154418,0.00517040630802512,2.26101779937744,0,-46.3039484418083,-61.896381827913,680.754292733155,-11.3041179721999,0,822.464101181271,-84.4950099939616,19.3205705194095,677.671105189327,-419.793445040627,0,821.717771208224,1063.89569731726,675.370187109521,0,0,"nonveg_822","absence",1,0,0,0,0
3231.22179596018,2557.61106308651,3895.80608815303,4199.58549337661,1976.42217347058,4857.74674585764,4250.50765977314,5949.26630030076,5934.48319965757,2708.85452922199,-5668.53697372159,-5725.12052720643,-5570.99044142442,-6758.15589097999,1330.07806805487,782.528202205865,644.52155768963,-0.106210448675685,8.11445235146416,0,3084.50088227611,2988.12099701342,1541.74829568556,24.4345185210027,4.21074832037444,-44.9922615589383,4544.36678568374,17.8210177342711,-45.5453198917145,-6282.39387592466,18.0622869208531,6.64229158008379,2634.62491498119,616.195280212512,3.57504178692704,0,"Canada.Yukon.UPPERQUARRY","presence",0,0,0,1,0
1362.70082105502,1318.23493659093,1606.32283289611,1691.49833152933,680.14217314837,2640.08252234043,2637.78107403078,3226.99099516205,3339.64446277157,1311.92290815748,-3207.04800009878,-2975.92825270435,-3399.61487555464,-3676.46007084118,1682.0718752857,1075.91862779008,1067.14441286713,0.0462660590186715,3.19336441755295,0,1692.71656228111,1447.28007897567,1592.97414370083,46.0041933431147,10.8426884880131,47.3086549374542,2858.63848965615,51.8388183685498,-31.0815029306181,-3332.07237025804,27.1058281890467,91.9399513263015,2190.0149695892,1278.74266249551,1.08441029994008,7.50072273249857,"Canada.BanksIsland.GreenCabin-C08","presence",1,0,0,0,0
2098.85833097911,2014.5115000516,2360.75137842695,2263.59349528861,1578.28739036801,3881.78558998406,3812.30505811219,4357.886907475,4183.23889358808,2980.5388337489,-4152.36115666535,-4744.56887311332,-4598.30865815802,-4947.2629219148,1302.41097293857,891.824958478145,748.311586982418,0.00475542424246669,1.19561152458191,0,2300.01530889691,2409.95655329027,962.930961801876,10.3294596226972,56.153139835553,-92.7699616126632,4445.80746351231,15.2412489091957,-101.121670633462,-4308.47390150967,71.6437610201073,-63.8746628587754,2242.76869142741,421.291202904328,14.2217506541068,17.0965611978368,"Russia.Tiksi.LichenTundra","presence",0,0,1,0,0
-233.963791669046,-176.513444022956,274.238628922653,-6.07870547169949,-68.6623421818548,591.292517812454,60.7857848733884,457.585344147605,-40.5963343358371,-2240.46198735959,-2901.7471919567,-1751.60202402259,-968.741121567421,-990.375480441765,1703.46505968152,702.470699213917,905.716911517727,0.00580652989447117,0.923214018344879,0,-68.6623421818548,-42.1959308845807,508.2024205917,-3.93574879731408,-79.7627701235997,-376.471575186461,-234.278934972397,-15.0449726701974,-132.266519758072,-990.375480441765,7.21145295811459,-260.953634151725,1076.06816611204,1350.06764270767,65.9126139518038,26.0695673826417,"nonveg_1888","absence",0,0,1,0,0
3063.88754161176,2760.63423350666,3369.47172737504,3816.40885150743,2509.73636384675,5428.63277678028,5112.27946002128,5705.99142586925,6253.24592848506,4278.06112028827,-5456.24771651059,-5892.43638168414,-6047.56859627415,-5947.2198746013,1190.27822139015,801.154347357864,641.60896061248,0.00172489555188805,1.63475109140079,0,3056.63020951615,3049.50110618714,1949.34640269074,30.1437682718488,-64.0976367244114,37.4258917427213,5229.61314353214,39.8410938279721,54.1751250196215,-5604.08526643382,-60.6048454306055,86.3447428159408,2567.06416237684,432.568663712424,-11.1193693046544,-13.5605373351603,"Canada.DaringLake.Tower1-Heath","presence",0,0,1,0,0
