"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_peakSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_changeSSES","spectral_NDVI_annualRange","site_code","presence_absence"
1951.58640399388,2439.08178875044,2759.92972261442,1879.3389522102,4545.53931114303,6029.31664209105,-6333.705501124,-6397.2685947023,-6212.26522616115,-4149.05056948403,1.1047258079052,0,1912.59384721684,-25.3565246197275,1035.13158654881,"Finland.Javrresduottar.A-Salix","presence"
-47.0734647359988,382.512041596528,280.983644129878,819.026813397499,-192.09905731907,833.774823113537,1174.45881643207,817.073901863634,-545.671844728152,2271.62575027039,21.7526779174805,0,280.983644129878,-53.1313474968171,1586.1883825079,"nonveg_593","absence"
1651.92317714129,2181.89908454225,2290.79234758497,1207.43237873887,3749.03601507686,4270.84755064655,-4516.12306507039,-4759.65834263133,-5028.68114120473,-3583.93872890155,2.81205731630325,0,1732.40124998693,17.9617439451682,1669.29665016833,"Canada.BanksIsland.GreenCabin-C10","presence"
3519.73745355303,3834.57782051369,4100.20690070659,2514.25135898411,7055.20689524497,7873.18032947872,-6367.81858594095,-6966.1822682342,-6911.70103438902,-5471.20533910243,7.02257461547852,1,3340.39022876832,27.8867167373673,2487.3279811144,"Finland.Kevo.7","presence"
146.993192534491,116.136236439266,258.255186518351,430.886468100265,-1563.18586284101,-64.700471779281,4188.89351101509,3283.61444856467,2845.61792502539,4111.40555152753,0.148143708705902,0,146.993192534491,-52.2881504596586,1709.50972202888,"nonveg_1854","absence"
226.92449751758,-230.183932568522,-657.859598384293,-917.906857552476,2737.32602902541,2451.15535920698,-3288.99619550595,-4069.17079226557,-4558.39196920885,-2967.44318662917,20.4929790496826,0,-230.183932568522,26.9115759809296,1715.6850436272,"nonveg_730","absence"
439.85191992982,477.703674355465,759.516274851645,425.006630158584,796.923998521257,1222.47473688768,-2256.89037854679,-2277.7131855731,-1903.31949735497,-1765.21395099581,2.18370985984802,0,477.703674355465,2.46083684218794,522.785455136378,"nonveg_940","absence"
-114.937115781905,-233.705739126324,718.898922275004,592.621878749686,-921.279216346241,1549.16364391069,346.139675159876,-2999.3235711954,-2501.49631609085,-1366.02578832535,31.3636989593506,0,-114.937115781905,-68.4847753015928,2470.44286025693,"nonveg_623","absence"
3154.95128718385,3706.60691199901,3739.5569901759,2401.30739887894,6827.20270725697,7707.68684891902,-6811.82401850893,-6716.94812292512,-7072.33637023983,-5823.71878875707,3.99312143325806,1,3119.73902648549,7.25881619823144,1266.66555899559,"Finland.Kevo.6","presence"
1142.82939689886,1381.16245457555,1337.65181054793,1034.92118376128,2126.89524161394,2588.88231937777,-3215.45229961464,-3487.70216269312,-3981.26422275681,-1684.67097963172,2.68912893533707,0,1149.25317967666,-17.9792274556887,888.340236583281,"Canada.BanksIsland.GreenCabin-C07","absence"
369.560342384383,371.926462893343,-118.514811898279,339.266017509299,394.268457865681,-90.1195299085311,-1008.83355339038,-1007.33222380862,-1396.78711859951,25.7172223465667,3.09524202346802,0,339.266017509299,-1.35283733798617,602.9119494748,"nonveg_1416","absence"
198.345009147375,695.613527953599,678.988864851952,-48.9661504649054,1665.62734584207,1108.41367313662,-2651.1809728297,-2154.08045776032,-2426.14588271735,-2556.14792814172,1.70387876033783,0,678.988864851952,35.5394461598166,1739.25354946928,"nonveg_849","absence"
2599.84680580934,3642.53033459332,4190.36304777158,2132.13682107866,5380.23195443163,6601.68989845893,-5287.12093073338,-5803.67978095234,-6115.3901436759,-4651.7626688164,1.38718020915985,0,3451.8356850093,42.6767937580912,4357.85181749248,"USA.InteriorAlaska.24","presence"
3114.73285113886,3632.16661256783,3782.43466938918,2297.83655766104,5554.74681236854,6823.81302458509,-7016.57999475282,-6267.87786070738,-5976.63346601547,-3570.58538863453,5.18196646372477,0,3420.79556456204,29.0025070464954,2837.35616117438,"Sweden.Abisko.VJ-DryHeath","presence"
379.487469477075,212.471334299833,575.169772375573,93.4510897516495,1256.33263660766,1322.19489938745,-670.619814428105,-1669.65114281702,-1326.50093175154,-2186.91389310272,13.1733207702637,0,379.487469477075,24.5375103500084,865.547588711146,"nonveg_757","absence"
