"spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","topo_slope","trees_presence","spectral_EVI2b_annualMedian","site_code","presence_absence"
515.998046351731,542.067963754697,-2400.96332785653,-2463.40643893646,-2041.1747234639,1.70387876033783,0,542.067963754697,"nonveg_849","absence"
80.4583290510038,-472.685879227301,1558.46351509608,847.495548502897,607.866586528546,0.0454504862427712,0,-51.0109935873777,"nonveg_1509","absence"
3894.05278475822,2579.72065986281,-6157.518582469,-6344.77301860544,-6708.01559549241,1.67491626739502,0,3188.31537928515,"USA.YukonKuskokwimDelta.72B2","presence"
356.662688968132,-321.59112118112,-1834.93476540454,-1456.27786558389,-1647.00715601596,23.6059303283691,0,244.573424226501,"nonveg_956","absence"
3285.08624518906,1429.54591321302,-6607.67958165801,-6335.66842307195,-6333.90050600382,3.10856294631958,0,2417.83674636401,"Norway.Javrresduottar.EC-Salix","presence"
3814.41361770728,1715.67426840471,-5892.19796159512,-6944.28870698503,-6724.22454761753,3.05952874819438,0,3612.16475821428,"Sweden.Abisko.VJ-Wetland","presence"
3924.23518801383,2219.0390224777,-6568.22370626583,-5864.34869034753,-6533.001808336,2.78561186790466,0,3309.28718543144,"Finland.Kevo.5","presence"
578.793688569186,169.424007498897,-800.689728658857,-1089.83864539753,-1621.41685505472,0.0403236523270607,0,488.169263947439,"nonveg_1834","absence"
-352.520184355744,-291.715944417098,3262.07208358075,2769.8233977717,1742.25115927823,1.23961627483368,0,-291.715944417098,"nonveg_1646","absence"
795.970986336868,474.906513066691,-2059.69635063246,-2070.01460511498,-1719.29361180951,1.37796580791473,0,778.790937166721,"nonveg_899","absence"
445.598373972586,822.326533310681,-1719.1266126082,-2415.70927815136,-1828.23897599817,1.43398082256317,0,766.557425235942,"nonveg_801","absence"
3061.91815056158,1934.02878395107,-5376.69018018992,-5847.24049823738,-5556.30030079697,0.0931747853755951,0,2688.14120183965,"Russia.Yamal.Nadym-2-IH","presence"
3810.0972673682,2101.29576800186,-6206.88269817871,-6377.47066478405,-6681.97293629896,0.527396231889725,0,3371.4622504688,"Russia.Yamal.Laborovaya-1","presence"
881.210599466866,251.856138137862,-947.625157272903,-952.869149311614,-1608.48769026209,9.87068748474121,0,543.133159709654,"nonveg_874","absence"
3509.16441846959,2209.52970692315,-5928.02291467691,-6041.596436823,-6178.02446589645,7.58804191861834,0,3313.09866822546,"Sweden.Abisko.NT-DryHeath","presence"
738.391211758774,677.344012221037,-1774.36158395166,-2004.9991532949,-2105.67247631749,1.49521458148956,0,677.344012221037,"nonveg_576","absence"
2696.13885732351,2081.76354094169,-5146.41188869785,-6708.19168667327,-6396.71026261241,2.74700307846069,0,2563.42745766039,"USA.NorthSlope.10","presence"
2990.6415646878,2103.7535028743,-5576.85112820283,-5789.11390977981,-5941.50396988828,1.68309030665292,0,2929.16593868852,"Canada.DaringLake.Tower1-MixedTundra","presence"
2816.42606744138,1834.86232483258,-6093.90588749655,-6527.59464349607,-6387.63137676525,1.31293706595897,0,2589.48625962233,"Finland.Javrresduottar.A-Hummock","presence"
-23.5901349107696,450.205511543079,-1212.80674528189,-1581.00372656907,-1931.17772483909,13.8344068527222,0,257.190164499034,"nonveg_973","absence"
-292.441637408833,-2455.60556334901,9340.38222963129,7667.10772270152,7388.65355316124,0.277917146682739,0,-237.043345189196,"nonveg_1797","absence"
3977.33516120439,1851.38438122504,-6159.30758799317,-6345.18410848125,-6511.49951104116,0.232125562098291,0,3413.19919713991,"USA.YukonKuskokwimDelta.15B2","presence"
2373.48364630776,1640.76469974132,-4570.6675829406,-4667.28604045641,-4830.58851618853,4.25292767418756,0,2343.47358060178,"Canada.BonifaceRiver.LSA2","presence"
1101.47178916495,1175.8594902368,-3424.37371511568,-3604.28569191293,-3814.29552011804,0.0906719863414764,0,1101.47178916495,"nonveg_632","absence"
3169.6030847707,1591.08811270547,-5757.94551133916,-6278.74323025584,-6698.2680838077,1.02637516260147,1,2835.381220367,"Canada.DaringLake.Tower4-LowShrub-1","presence"
4012.46585502827,2244.4801430044,-6447.320281156,-6360.38133497987,-6444.45548956149,5.38747091293335,0,3666.35392268139,"Sweden.Abisko.VJ-BirchShrub","presence"
1154.37375940191,744.14479113258,-2658.25055460874,-1748.40409829939,-1884.16942037894,31.6032943725586,0,744.14479113258,"nonveg_666","absence"
3292.84637376025,2246.65190150054,-6074.97958895494,-6351.29913570499,-5953.43737047633,0.14092443883419,0,3795.57451923627,"USA.YukonKuskokwimDelta.B","absence"
1090.71967516375,358.834166508949,-2519.08386781611,-2398.76549375247,-2864.88053647897,1.89326377709707,0,1027.91899979158,"Canada.EllefRingnesIsland.Isachsen-C02","absence"
-198.659337799246,47.4707889974143,4033.67794923083,3007.06589758329,2467.69061015412,0.148143708705902,0,-70.5476849800999,"nonveg_1854","absence"
139.271285798223,331.313385230497,-1885.9099267977,-2328.77479956028,-1671.91812358705,2.24559330940247,0,515.757653974572,"nonveg_643","absence"
2585.46286472657,1750.31181036777,-5091.15680908352,-5211.18335839444,-5406.30524941015,1.61016494035721,0,2284.88458219772,"Canada.PayneLake.TD2","presence"
-136.42991147877,-74.6266965651487,-857.39414967976,-2030.79619832693,-1356.74105418747,5.99322652816773,0,209.037689992176,"nonveg_542","absence"
3045.71008144947,1665.97468717357,-5411.05307623998,-5830.70819350248,-6067.19118109581,1.73527336120605,0,2959.4009522937,"Canada.PayneLake.TDA2","presence"
