"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_green_peakSummer","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_changePSLS","spectral_NDMI_changePSLS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changePSLS","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NIR_changeESPS","spectral_NIR_changePSLS","spectral_NIR_changeLSES","spectral_green_changePSLS","spectral_red_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2896.30509637555,2532.45899254494,3291.88038058405,3693.36037284859,1683.7144400966,2079.92074024465,4845.31115016696,4152.90761649765,5349.58860082678,6004.17513890388,2791.44300285465,-4492.30327695409,-5404.71181518904,-6191.89973718909,-6422.00105794184,-3163.25945070048,639.462681123946,2.60791497760349,0,2687.60954568578,2596.39220889016,1289.18006074932,10.3646575636416,-23.093317900934,-17.0163761946585,4439.11247370843,4264.2003196468,2131.05653780303,-41.3812885740451,-5597.63413543248,-5592.08882191908,3.41141895875424,-12.3167793709015,20.7462765158797,-2.74011866661329,36.1447043324453,"Canada.DeceptionBay.TH8","presence",0,0,1,0,0
2781.87554422316,2337.01898227026,2630.05757417848,3083.88176247462,1770.87514579151,2048.88385296896,5103.7270790924,4610.60589851042,5234.03371894263,5750.93904360279,3531.01183124919,-5446.31650018422,-5554.74086252171,-5996.20079379528,-5979.89514810577,-4664.08773133666,646.835682126147,1.72879160775078,0,2358.60070192064,2488.68999070898,2996.58418161253,38.7595759786824,-100.975954470608,-76.5970082729029,4713.04768301443,4925.76047778121,4331.40742407613,-131.848829976422,-5761.67831796505,-5557.44304507056,38.3918786480401,-68.231148219063,-1.2274612502487,-31.4455603815278,5.92289097037178,"Canada.ChukotkaRiver.TH1","presence",0,0,1,0,0
2937.22554885756,2341.88128176928,2983.38315846152,3579.46361294623,1891.32428177972,1576.72392136225,5421.23961634026,4229.62883017345,5212.13092683713,6383.80673489296,3533.71783504731,-5478.47837268867,-5404.84335774703,-6185.0194898884,-5784.89330961546,-4437.4081532885,709.40543918057,2.27878202994665,1,3217.15211038364,2937.17230758471,1972.60666048514,32.434588219483,-43.5663019633433,-45.2884816205235,6157.03554657684,5487.55212346963,3429.52086392852,-51.3502450555875,-5256.48645365481,-5057.87557192876,10.7825658289316,-13.5556433867352,-34.6673223150669,-3.99353416684322,-8.91782371491974,"Russia.Tazovsky.Burned12","presence",0,0,0,1,0
1150.84285958987,993.027595401666,680.708980451147,470.856464278146,911.837230632974,-469.470157174694,1618.04639655277,1452.38667522991,1121.72530212872,902.382245692457,1301.3969840817,-1774.67066557335,-1680.59441557155,-2155.31209133482,-2490.18292267985,-1924.11411572647,1800.60309883742,25.4662761688232,0,911.837230632974,841.45462607076,679.986395311721,9.56022515827576,10.1919417559907,7.08857947234151,1301.3969840817,1279.18752073711,715.664150860312,12.9025327315451,-1924.11411572647,-2004.97484217721,-22.9218126341007,5.42740862968696,4.05476539143835,1.89557779132461,0.568356495589594,"nonveg_915","absence",0,0,0,1,0
230.900787466278,317.031690014071,521.928576747013,788.674229682671,700.180350088112,-1327.86758060274,999.945194975887,1252.78231408669,1678.10136292439,2214.35866145586,1887.41068777024,-2813.09054703608,-2662.12062623293,-2165.59309867814,-1505.60617766074,-1416.82450127021,889.397404380232,0.164485394954681,0,521.928576747013,511.743126799629,557.773442216393,-14.6649863319323,-107.380489309659,-87.9796444410771,1678.10136292439,1606.51964424261,1214.41346647997,-76.6081855044958,-2165.59309867814,-2112.64699017562,13.0791126598917,-29.4372114204616,-22.3626483332685,-24.1573063429657,-18.1828182381455,"nonveg_760","absence",1,0,0,0,0
379.500342321023,675.500871243617,1071.39465101408,731.272757151347,1061.91995688967,1345.66425987334,1033.60304940218,1528.79055394926,2270.73057299856,1686.95596223877,2103.49648634768,-3561.63382684388,-2556.11069759605,-2119.56088732532,-3035.8998374016,-1511.72793243048,781.480172278269,6.64162302017212,0,731.272757151347,783.917715723948,691.894308693061,-40.1423302687438,66.2463472258613,63.1789376894372,1686.95596223877,1724.71532498729,1237.12752359638,48.6478842299828,-2556.11069759605,-2556.98663631947,12.2364861875028,22.7209000792456,-21.2342775222221,17.3005994169826,-15.2788553116982,"nonveg_832","absence",1,0,0,0,0
433.761633153354,1039.99340241765,1690.75651583916,769.708208301085,914.936177588923,-1576.72026094977,1505.54778158409,2559.76125284445,3518.20691858688,2125.9992166832,1889.31636457239,-3530.25675013839,-2263.27612109095,-1503.39807106567,-3352.68089219753,-1884.71206842524,631.524788996984,12.3717584609985,0,914.936177588923,969.831187460034,1256.9948826858,-17.8212794235396,68.6059131761291,61.553037973495,2125.9992166832,2319.7663068542,2012.65913700279,58.008654245987,-2263.27612109095,-2506.86478058356,4.2209188320782,25.2640772081379,-17.7368644435628,17.1381565783623,-9.52185897055437,"nonveg_758","absence",0,0,1,0,0
-116.29741956643,405.52421328528,842.923485914468,850.934147693608,829.505975465521,-995.054354759878,-114.441927523548,708.944003976016,1364.38881993274,1370.22748882913,1263.98617787185,-3408.27274010949,-2294.38594587705,-1900.38964627301,-2130.02918470632,-1043.28138754115,1554.36808743824,1.70387876033783,0,829.505975465521,562.518080558489,967.231567260038,-30.5097869365145,7.69643789660054,5.31628176759038,1263.98617787185,918.620912617238,1484.66941635268,-0.32437049424363,-2130.02918470632,-2155.2717809014,17.0491940255222,-1.79700191304887,-18.1056957823914,-0.244891631850793,-9.32626833022655,"nonveg_849","absence",0,0,1,0,0
3645.88652270383,2956.97421523815,4041.79694225971,4684.77114022744,2545.87494367991,3003.20420217603,5688.62279878159,5053.57026076455,6209.32642673125,6888.83266891591,4379.89168116752,-6075.2665653158,-5976.83182636034,-6491.00767460578,-6599.95191411232,-5535.00059233961,700.546535513365,2.20690603587363,0,3205.03186908534,3507.47414470073,2721.75484627107,8.64006913437931,-54.1241134097961,-47.5985378429176,5000.51851765685,5528.47182952049,3285.20853097302,-72.0338882189135,-6558.61130316404,-6225.76978431862,31.5989840004789,-30.6252339361577,-39.816866933896,-8.60393588843124,-2.65046606704589,"USA.NorthSlope.Ivotuk1","presence",0,0,1,0,0
3345.81277846075,3091.83074983754,4269.18771951175,4701.4016311187,1898.14387564386,2425.18790114362,6183.12914715106,5921.51096850872,7424.52304186053,7901.59786479433,4062.63694061633,-6200.01675677164,-6367.01484758399,-6347.61170763663,-6536.75405080475,-5654.90897197303,663.825318426864,0.447153127193451,1,3421.21106792379,3088.30366882177,2296.81102012511,56.2051988906161,-36.2584687978394,-32.6890862893849,6108.61691580603,5725.92000500541,3215.69100824784,-40.6721345540992,-6463.46246147256,-6766.81377334574,4.26753116722149,-15.7367627054254,-10.6510037853387,-2.47104537068806,12.8379996574848,"Norway.Javrresduottar.A-Hummock","presence",0,1,0,0,0
