"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_green_earlySummer","spectral_NIR_changeSSES","site_code","presence_absence"
2815.56495377418,2776.68279367943,3513.86710813025,1939.70650564195,-5727.86162055052,-6435.12486273939,613.155226466336,5.61393554135797,"Canada.LeRoyLake.TDA3","presence"
702.156580870442,586.608519304975,1490.87920141729,801.659012878899,-2192.79993223329,-1653.76787873631,1601.36696880156,-11.1146460812515,"nonveg_998","absence"
2148.02144374598,2500.74008614862,2997.78569877447,1707.86099617435,-4998.94061160334,-5448.92813197597,738.523165850646,0.373991333056589,"USA.YukonKuskokwimDelta.4","absence"
3186.94358293511,3069.95392894507,4047.96484303331,2478.33492443109,-6155.00764134212,-5916.12780799862,740.708070947156,7.13024528202589,"Sweden.Abisko.NT-BirchShrub","presence"
89.7337632544446,-221.257852512791,-65.9420524951958,818.403320313733,-632.322818837158,-593.240066367636,625.88433784832,-16.4964168804592,"nonveg_689","absence"
54.187892029141,-18.5549652517558,-277.309955038215,1111.63206375893,-2078.57652910972,-1802.29280291585,958.225317186604,-38.4585877425096,"nonveg_1037","absence"
203.260367021908,1048.40780533,319.623119555201,17.7410392051327,-1410.37558649441,-2682.50324977052,716.379989207578,0.901975856284511,"nonveg_882","absence"
339.420670874268,278.612145510695,832.622213091595,551.875906672692,1597.2352678554,-517.053916336585,1012.07253549831,-20.9730091112237,"nonveg_594","absence"
831.458870394709,960.286701094545,907.975287745242,525.581229218344,-2415.61136552835,-2870.04651620099,948.870193506166,-11.5273415735713,"Canada.Ivujivik.TP10","presence"
3740.89435252239,3555.76632218833,4949.94619117595,2016.89925940648,-5471.23675578584,-6413.91629145181,714.214196441278,7.72027376725438,"Sweden.Abisko.KJ-SalixShrub","presence"
528.678219131946,2226.51448691849,1214.65325467031,1543.3755694359,-2644.44383003892,-4126.85273473144,668.412481805409,-23.1528124862218,"nonveg_662","absence"
2296.38377947069,2684.87128528235,3461.44514365497,1720.09200469031,-5667.29174219276,-5950.51135696156,546.726703742381,5.86647883825299,"Russia.Kytalyk.T3","presence"
2652.75701442927,2029.76139971626,3623.83191058338,1604.18213209234,-5953.18822934152,-6721.17696100832,577.970059746628,18.2206867245136,"Canada.DaringLake.Tower4-LowShrub-1","presence"
2569.81059871147,2406.96261688903,4392.42341731443,2088.46554982876,-5227.97922023591,-5887.8143017364,639.883269004076,-8.60599330187985,"USA.InteriorAlaska.24","presence"
2644.50181699561,2321.98997160883,3545.4249608507,2220.69170444937,-5751.06361673851,-6071.93650209654,641.43185148139,0.730934777315504,"Canada.DaringLake.Tower1-Shrub","presence"
2637.67542080664,2346.87869636539,3923.82129264964,1489.17655026004,-6053.61987210973,-6984.71906460237,455.145537449115,19.3318202633031,"USA.SewardPeninsula.19","presence"
1596.88323627577,2451.3126706058,1578.40779013573,1321.31717997703,-2123.63405863756,-4019.41838107536,796.271086532776,5.34983573676403,"nonveg_1069","absence"
3680.59134100592,3667.02909119062,4872.08300322651,2736.6284903456,-6336.86859145506,-6610.38707274863,563.584058319428,3.87019181746715,"Norway.Javrresduottar.A-Sphagnum","absence"
584.061734944271,402.937977733777,309.275268169787,21.8939280228227,-974.738135155171,-959.797453390651,1765.58193177584,3.06081510481707,"nonveg_1416","absence"
-83.6028693738398,-389.333536673692,317.682409416804,380.825888226544,5555.65560214162,-1144.34673793062,595.415446249526,-19.570494176359,"nonveg_851","absence"
2522.92506621897,2067.72342909908,3446.84732965497,1617.13502919788,-4699.23674467419,-5922.19700461883,669.829296324646,-3.73027997539377,"USA.NorthSlope.Oumalik1","presence"
3076.03286931681,3209.98409815217,3679.21650672229,1726.04542005586,-5612.92393440233,-6414.08128331291,890.393374448469,7.90978370092184,"Sweden.Abisko.KJ-Snowbed","presence"
59.3520945209692,-287.939822788524,6.80076975533821,-501.599890713977,4984.09512254255,1182.70213590193,162.540820774865,5.77150746791278,"nonveg_1880","absence"
1848.03178571211,1822.89053600138,2740.2580543926,2362.69605604466,-3828.32497016989,-2615.49921998652,1040.32257413187,-14.0764531826724,"nonveg_1177","absence"
3371.21153685017,1560.04896624327,4351.11024616722,1847.5316002164,-4150.71330238481,-6178.87931794186,864.524313172498,20.3428893019133,"Canada.KluaneLake.Outpost-MixedTundra","presence"
206.464184615589,-281.154065815447,339.146768275733,105.786712362074,-1511.52303553233,-1446.22159655784,1261.09124654899,6.7737168590841,"nonveg_682","absence"
529.496772053393,16.3772955238398,185.269980316168,685.058538422827,-1738.67307151164,-1516.44230332509,2336.26501348272,-8.36179730212602,"nonveg_912","absence"
1005.75477983836,1190.56442540592,949.599742592627,499.302679744657,-1600.64854522108,-2279.41821108731,1536.22643369118,18.3202239771268,"nonveg_863","absence"
-716.675461423058,628.06725713507,-304.204801731164,-286.987997205144,10000,10000,1871.05686252169,-20.9351399342364,"nonveg_1236","absence"
3122.35795315199,2363.56801797338,4120.28505836322,2254.44179133092,-5992.46874382996,-6284.67608425224,714.763867400845,21.6431258439813,"USA.Toolik.S1","presence"
2876.38697628404,3066.46303617998,3886.32508748435,2391.36520812097,-5509.18623130207,-6262.8667893367,807.280539650079,-3.27281313338778,"USA.YukonKuskokwimDelta.UB7","presence"
1988.80525912651,2183.81217304258,2915.40162077319,1206.67979616737,-4043.95960044523,-4669.09496043744,764.093968985878,5.65578039817544,"USA.NorthSlope.9","presence"
