"spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_peakSummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_green_lateSummer","spectral_EVI2b_annualMean","spectral_NDWI_annualMean","site_code","presence_absence"
-153.116156985083,388.803604257351,-1610.54997745328,-424.539133492885,-1342.52287208523,1201.12769015439,153.365635446891,-824.843806638162,"nonveg_703","absence"
3249.69838551187,1986.35916444807,4716.10083165786,-5830.07491773419,-6749.09857790022,546.683779188274,2689.92345022897,-6190.71463398078,"USA.InteriorAlaska.22","presence"
607.01243591456,-123.930961899187,-1242.66695607087,-1866.12979055851,-3418.77092805275,634.757499342269,503.572372982809,-2061.62175303309,"nonveg_804","absence"
3185.13072570191,1605.04308333948,3517.69027573621,-4739.45168616369,-5560.45003802203,807.42364450213,2615.70097620744,-4616.5537474063,"USA.NorthSlope.11","presence"
607.01243591456,-123.930961899187,-1242.66695607087,-1866.12979055851,-3418.77092805275,634.757499342269,503.572372982809,-2061.62175303309,"nonveg_804","absence"
3176.08217161913,2398.76817846542,3521.13189515835,-5452.04129928087,-5521.19773693678,699.36369134973,2706.77289667319,-5078.9622566265,"USA.YukonKuskokwimDelta.15B5","presence"
3508.18864848973,1573.22338438545,3734.05636595555,-5739.73691097434,-6357.65642566748,487.025121529664,2545.02296032539,-5367.87533038076,"Finland.Kilpisjarvi.20","presence"
3661.22499549653,2119.89096552224,4417.40404234274,-6102.06356478822,-6584.13159863956,646.097285172073,3326.86901833679,-6417.66632151515,"Sweden.Abisko.NF-BirchShrub","presence"
4679.1235004658,2262.59715816561,6414.61676811314,-6143.12958001029,-7095.47349279609,594.258121721926,3814.07477330381,-6334.6074801501,"Norway.Javrresduottar.A-Sedge","presence"
-351.187218331558,373.975822041151,269.45737899464,52.9200501382727,-607.327186591901,576.368296254792,-2.97979378515459,161.87164756562,"nonveg_536","absence"
1754.06739001899,-176.720396461909,-994.798881602939,-1855.35664710356,-1108.03890739421,1287.52781658394,583.352936829957,-1472.11250367765,"nonveg_637","absence"
2913.65802917056,2251.62626931585,3055.88114921174,-5339.71023628729,-5897.756389517,571.645413669822,2395.17962908364,-5448.27632021732,"Canada.DaringLake.LowBirch","presence"
3418.0608407013,2248.8380718434,3816.58929809382,-4927.81992567862,-6228.13300435375,567.486542723169,2906.84162833638,-5399.78206698259,"USA.NorthSlope.10","presence"
3809.95383364097,2269.32873652155,4239.51689476885,-5682.8238901835,-6516.44863589635,571.08969905227,2787.267001194,-6095.13124945311,"USA.NorthSlope.HappyValley-C19","presence"
