"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_earlySummer","trees_presence","spectral_EVI2b_changeESPS","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_blue_changePSLS","site_code","presence_absence"
1382.82502469046,998.400899460458,917.16350404252,472.410655439169,2011.40520160582,-2153.49568238746,-2452.35115192158,-3500.73768576777,-2445.71036071373,2974.11721716379,0,-17.9100584864591,-0.98789962903524,-2452.35115192158,5.55979383093579,"nonveg_507","absence"
2056.50095503812,2150.94927447014,2346.28242690733,1494.61794568956,3890.11617360564,-4498.75289915107,-4559.96021313544,-5147.80748861112,-3784.92178655523,2073.48162404143,0,-20.0201830783628,-37.9234907922952,-4185.33068044131,24.360144495289,"Canada.BonifaceRiver.LSA2","presence"
1137.17293324375,605.990513199948,758.258787078386,284.178151574881,1577.94226893944,-957.827877220701,-1600.75835297621,-1525.5319175918,-1889.41255359578,3068.25993980253,0,-18.9457073082682,-65.0443594981152,-1525.5319175918,10.8673720514557,"nonveg_894","absence"
50.6670003960095,256.911055097215,106.770365611286,587.174617833779,1017.20541711638,-3218.38529132644,-3156.20258681305,-3529.24642602121,-1602.76853063442,793.150755517877,0,1.65009897691991,-32.8147110140082,-3156.20258681305,11.2562574925165,"nonveg_600","absence"
2730.53306643001,2219.75545100175,3627.70563129013,1796.28868338338,6007.35815242889,-6250.58576638577,-5635.6837514565,-6983.62065196002,-5017.68179918165,1878.70684848294,1,33.8611397800597,-45.8826069149223,-5525.11133239046,7.18506817921155,"USA.InteriorAlaska.5","presence"
3856.2971826829,4421.28760347209,4783.03527880088,2995.68364735652,7107.38991193783,-6948.53151844768,-6968.71280619287,-7437.15070031456,-5720.00659640726,2471.41172643688,1,49.6286542508106,-75.6383421084756,-6983.68098576877,3.95537843546892,"Finland.Kevo.2","presence"
-188.783121548207,410.376650268177,275.176980232166,548.067101187934,183.311906200144,-1950.58457973774,-1015.11592032798,-1669.57548493399,-221.847479541743,1133.21546178367,0,15.9986241993232,38.4866289873088,-1669.57548493399,-5.38586320234568,"nonveg_542","absence"
181.009593823744,-476.251107189851,652.46059238639,1138.00292457009,137.347181702137,-1665.99242228816,645.846954050469,-1564.71598657439,-745.470776012001,1313.0327448923,0,27.7324116801556,15.5323286116762,-1564.71598657439,-11.9252634035372,"nonveg_571","absence"
2787.80697065914,2817.55610674428,3394.91824060803,1753.76478532554,5800.94053387867,-5554.86622566314,-5936.21618101777,-6663.78390328374,-5043.16575160359,2096.35702247232,0,6.5526884642527,-23.5880151360561,-6029.98507948014,5.19030089046123,"Norway.Javrresduottar.EC-Salix","presence"
2323.8513482748,2779.46597072376,3174.93785848021,1510.96772647614,3981.05835422014,-4877.21983663612,-6065.01704580555,-6670.16365712842,-5045.55793340081,2000.27926716175,0,34.6074242935344,-49.9244459811806,-5534.80268809977,22.2286854133863,"Russia.Kytalyk.T3","presence"
3176.24851577829,2418.31912206925,4111.08774028057,1934.45932673998,5277.8238019802,-5909.16339883991,-5593.37424228013,-6642.68882566534,-4230.73295880181,2638.17849267491,0,24.7740521753519,-35.422794363711,-5692.59314198414,-1.50261232352808,"USA.InteriorAlaska.LOWERQUARRY","presence"
2749.43849533862,2766.67197181535,3106.56913755047,2128.37315632303,5394.53457450567,-5021.50014087794,-5789.06422151811,-6099.43617872123,-4160.15016504785,2225.36215600035,0,-5.16788345479993,-47.073604042071,-5913.49543897271,5.21255537929155,"Norway.Javrresduottar.EC-Sedge","presence"
2385.82248034592,2273.01818327077,2929.51857726936,1796.96497258892,4405.52124427046,-4696.47077009467,-5181.26058698456,-4902.76941211912,-3755.51371098356,2262.00649599504,0,32.5441876497835,-22.3732180057241,-4896.48331838478,-16.1149730707307,"Finland.Kevo.12","presence"
309.786565857636,-152.138386576519,477.26038464676,-73.4919783632608,2744.84241207351,-332.845962423673,5989.20803996284,-852.66530955749,-536.253106840703,937.311483987857,0,7.97494375186306,90.4970376900576,-536.253106840703,-10.2906922532796,"nonveg_851","absence"
562.283382886993,273.935101850801,-255.302788417698,294.608763939072,893.901905178649,-638.0538408237,-962.37332523203,-1610.52860000774,-352.063126526657,1231.24521621226,0,-29.1995061180247,-38.7470818956069,-801.676985372897,28.791214344009,"nonveg_1499","absence"
945.040054630289,314.141869542869,242.757960327392,271.072681509723,1719.99349880036,-852.662567779357,-790.060469689223,-1934.09325147233,-1862.25179910606,1599.81562002147,0,-31.9219133774044,-21.5869619417322,-1058.06888157634,6.84195619802147,"nonveg_757","absence"
2431.58366734198,2698.90067335029,3643.40918798037,1488.95582191158,4492.27191344757,-5504.38625892972,-5142.14643104824,-5350.95326719479,-5137.41811720238,2197.324353832,0,30.4998902060043,-38.3494826510931,-5563.12735849432,-2.04565612064271,"Russia.Yamal.Nadym-2-IH","presence"
884.407250427216,78.5196820077201,1009.41879216396,596.966696690648,1336.79054931814,-1537.24626598789,-3024.68715189634,-1540.90244910672,-1675.56968944458,2865.66541501303,0,5.20881423903082,-78.3583985739138,-1652.79771076142,-4.13535418940934,"nonveg_767","absence"
640.433877865399,563.313105822439,275.48575726732,851.564325822335,1118.07660854286,-890.978090688847,-963.391324595327,-1314.178086641,-641.347446743959,1553.26043465665,0,-40.5497911775643,13.7461107595771,-963.391324595327,-0.294757011615843,"nonveg_900","absence"
