"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_EVI2b_changeSSES","spectral_NDWI_annualMean","site_code","presence_absence"
-93.3731599431206,561.551500815915,1422.9576587515,1628.29224185586,-196.775619511917,-986.197893099931,-33.459879540484,-383.019461008653,"nonveg_670","absence"
241.3271215906,751.288110571839,282.275568854179,455.845525729171,-2065.39669902889,-1253.36612449779,10.7376105631791,-1306.19193007614,"nonveg_779","absence"
2434.08486864393,3748.76903803296,2299.46875037261,4232.60758136607,-6137.35938753871,-6575.55376059797,25.0894635370571,-5973.49111159854,"USA.NorthSlope.HappyValley-C20","presence"
3194.31499933127,4489.15466265754,2112.13195448889,3729.32814861511,-6252.27034290711,-6347.08472253716,29.8533565531815,-6043.95160924397,"USA.YukonKuskokwimDelta.15B6","presence"
3197.82105621023,4371.05416443809,1716.17779439445,3157.55314702995,-6335.8929413796,-6521.49758936528,28.3750402375956,-6056.3169539042,"USA.YukonKuskokwimDelta.15B2","presence"
572.848599044609,794.448140045088,941.725843190805,1891.86381845498,-2409.07567844656,-2899.6395717835,-40.8467257550575,-2740.78095377516,"nonveg_832","absence"
-465.105272515638,-946.765598883684,660.86128505743,637.022867690185,-610.448301475368,-926.762875463353,-11.3536631961229,21.0777197099861,"nonveg_592","absence"
2750.31407311826,3450.68505565118,2330.98379769193,3803.15465762986,-5973.45896336493,-5615.60431282897,-4.74377234772499,-5596.38883493593,"USA.YukonKuskokwimDelta.6","presence"
2732.65496898191,3607.90940529419,2455.83939667208,3723.2973741486,-5608.23406906223,-5863.13564485331,15.4507648624196,-5452.96006231464,"USA.YukonKuskokwimDelta.UB6","presence"
2255.07947649822,2832.24497052153,1439.21076581849,3687.27417879089,-6166.06058600048,-5932.14870801105,23.0407963389121,-5216.8073055419,"Finland.Javrresduottar.EC-Hummock","presence"
25.6430583636847,428.178495622965,-219.231944026028,250.403932464773,-1448.10725391764,-1237.22695946828,8.30384437076749,-1445.76448026543,"nonveg_907","absence"
829.024606156615,454.196004024073,298.850599400956,977.855932517896,-2277.06822892846,-2561.05116699739,8.52327997004198,-2163.34192204772,"nonveg_867","absence"
74.386134261136,334.707354616363,-521.377338317526,-627.596528015408,-2284.8535651651,-1598.33192591484,70.2599221330572,-1607.98885089381,"nonveg_578","absence"
1051.45935225595,154.471912862525,1029.95133220151,1270.55440723025,-1928.19410585264,-2334.31067626278,-3.12851185961295,-1576.81731957984,"nonveg_643","absence"
