"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_endSnowfree","spectral_green_peakSummer","spectral_NDMI_changeESPS","spectral_NDWI_annualMean","site_code","presence_absence"
1844.60673736813,544.57629474953,1490.35055495011,3432.97112689354,-3071.83132441628,922.972695977308,26.0651612648645,-3447.38138180634,"nonveg_662","absence"
1335.99882965004,3188.2294664455,1249.31231954762,6594.05412891619,-4837.40944878446,563.128033500292,1.52094657781763,-5223.0519444235,"USA.InteriorAlaska.23","presence"
476.128438294246,754.579576551158,-102.488935902012,883.397425158953,-2477.44811583174,1319.15866025232,-111.109352388024,-2048.43986847043,"nonveg_1672","absence"
883.386664900274,760.051915615135,-309.50078001098,-153.276497543108,-1327.80895398463,1068.10417559453,-106.964786291176,-1684.62999077266,"nonveg_637","absence"
520.252616995971,776.710452394737,117.088086286705,2084.05490498926,-1703.53523306756,855.647384876211,4.45429640899231,-1523.94181958348,"nonveg_968","absence"
920.966739910172,1054.03272528928,-42.4996706689703,2342.32481968242,-1459.68303583253,1151.41414775787,30.6074659376249,-1824.62562304103,"nonveg_606","absence"
2480.56391207181,2631.12738536887,1754.54962013472,5119.29001180646,-5499.38423958049,683.288072110727,18.4773353691351,-5436.17685088612,"Canada.ChukotkaRiver.TPO2","presence"
2721.50890949468,3708.09978944425,2315.99185086184,7184.16029067374,-6276.85121770323,625.196943976588,42.7955097878771,-6315.60646170063,"Canada.ClearwaterLake.AB3","presence"
2339.37312409154,3610.68214795292,1946.29909676024,6640.700700933,-5494.36114999324,715.454430939309,13.4942318240181,-5349.9581707009,"Russia.Kolyma.WT1","presence"
1293.23429480369,674.617097097252,922.80878027824,2123.29878426592,-1609.19232040468,1026.11818736224,-10.9716994318355,-2343.270328594,"nonveg_807","absence"
-974.349547202424,779.484265885289,25.2163297345869,37.8393726348695,139.412898171974,656.500592954041,-12.7157297178722,-70.3452216066392,"nonveg_1145","absence"
208.249382381021,393.411082305697,288.361332797843,175.359360746059,-1433.63676743382,1038.92408459263,-60.5809878654948,-1359.58556735276,"nonveg_775","absence"
-463.475366128019,-287.803288770836,244.133142223253,121.474257018281,-1148.02714639266,1258.55516641539,-35.2772841498946,-516.014927825159,"nonveg_1172","absence"
3050.02454776792,3843.01553835122,2453.32810781388,6571.48492299093,-6359.20876003813,606.230924464179,30.5847938298211,-5315.52980042539,"Norway.Javrresduottar.A-Betula","presence"
2747.53465319876,3554.3792263245,2041.26719224741,6486.94493078534,-6073.32986132722,731.949700069967,-2.28832550261691,-5484.93411335134,"USA.SewardPeninsula.QuartzCreek3","presence"
666.606804845772,158.880096521265,198.213024259805,782.581666362759,-1246.29590823915,1573.1996461433,-21.3586720843878,-1464.4614300873,"nonveg_955","absence"
2820.5316546795,3082.67997517173,1996.07126232835,5325.17644595925,-5410.26308000495,653.052695204248,11.6849054227377,-5330.48506343414,"Russia.Yamal.Kharasavey-1","presence"
1583.72591161367,1483.01530356396,639.193090830001,2544.22734036687,-2467.00219827286,985.078143681319,22.5479402662573,-3313.4431575464,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
2416.81655339535,2566.07872182155,1363.59415585865,5938.02858391567,-5796.49110229092,481.784417279005,67.8969107984738,-5298.72782175936,"Finland.Javrresduottar.A-Salix","presence"
567.099920101446,1026.09326346526,268.238264923118,579.326680383643,-1746.77824895469,2115.71106148758,3.20842099518052,-1652.08295619929,"nonveg_1261","absence"
657.760805262282,-536.606134356241,-71.7926968115565,1015.25196099814,705.720636605563,771.601112616063,14.6400143875019,-1016.47231644224,"nonveg_931","absence"
2227.78581014713,3152.29772283106,1811.79315886711,6555.78321738925,-5765.74446788255,329.639241855565,13.1516832650468,-3971.31333224542,"Sweden.Abisko.NF-Wetland","presence"
3484.86941007149,3981.57280449745,1939.43271926621,6938.2427445366,-5854.13326013667,451.555709101836,-12.3981145201595,-4994.92501735211,"Sweden.Abisko.KJ-Snowbed","presence"
1449.2314772152,2943.35296738645,1428.06455972119,4891.90623770059,-5251.93697987386,646.038174702266,21.4745505111503,-4482.22371153404,"USA.NorthSlope.16","presence"
1320.12799882558,1668.80761987242,989.458798005394,3438.17159325951,-3858.01283321778,782.256984804609,9.188501789825,-3955.16219556608,"Canada.BanksIsland.GreenCabin-C00","presence"
409.080956665769,960.770967795788,-457.15894104442,1256.66295145516,-2743.51149785204,1610.84312840078,-2.69372808363217,-2399.62399909147,"nonveg_880","absence"
93.5797112364776,635.439907713413,471.285280695206,1845.90715769963,-1595.36521225478,983.686313186509,34.7591355039815,-1214.39258840798,"nonveg_681","absence"
3219.56784903135,3861.3743241333,1726.9658779068,8348.38854713256,-3787.19753830605,717.083686501682,496.770821497129,-2786.01590160494,"Sweden.Abisko.VJ-Wetland","presence"
2271.78033724873,357.677155003887,1511.2049917716,1602.58408301683,-1356.78599435107,1100.36643936824,-80.1577313418656,-2177.71025637843,"nonveg_680","absence"
51.2586181362421,187.965649060847,-354.297813307687,894.252181118218,-2047.44342679118,550.363530890335,-14.7703791550965,-2146.64877206605,"nonveg_684","absence"
548.086669540226,943.544786395262,168.019631263515,2816.9557011788,-2783.6303255877,920.846100651148,13.0675461611121,-2243.76482603676,"nonveg_957","absence"
2508.73424610057,3687.74564327699,2289.54696762404,6712.11460559632,-5680.25290423272,737.625270974376,38.4918832489192,-5600.99493145279,"USA.NorthSlope.Ivotuk3","presence"
