"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","texture_NDVI_peakSummer","topo_eastness","topo_slope","topo_tpi","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changePSLS","spectral_EVI2b_changeLSES","spectral_NDMI_changeESPS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NIR_changePSLS","spectral_SWIR2_annualMedian","spectral_SWIR2_changeSSES","spectral_blue_annualRange","spectral_green_annualMedian","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2317.90600551638,2132.39546520801,2067.57605793064,2073.23099193005,1398.61374232177,4042.40516653238,3565.52688847358,3805.13122478549,2134.32352023356,-3834.46981083721,-4880.57227797291,-5332.25176716048,-5825.65246999325,-2406.72636754645,-172.023088255062,-0.0680421232245862,4.32430046796799,-1.42141450941563,0,2046.24378465187,1978.14490453124,907.972956615406,23.0501825562618,-29.3501009050304,-35.4813623261549,7.25746709754228,3518.41817892021,3460.23094368426,2320.06632954452,-5008.57180443222,-4312.4882331176,-8.2324152895287,1121.30589760425,-7.84315857179298,581.644104598046,646.017752179756,"Canada.PrincePatrickIsland.MouldBay-C06","presence",1,0,0,0,0
2653.8748998539,2027.17016565189,3067.71986061736,3533.94017406503,1585.83069168045,5796.3470546456,4707.4729385326,6965.23037922596,3630.77621161615,-5511.09706460917,-5740.12844980728,-6108.28298198863,-6569.31984027023,-3789.77715358705,136.752575671899,0.010760221692423,1.43687528769175,-0.462230422761705,0,3135.25380317199,2533.47768388948,2401.97003094787,77.4829042241248,-0.227586072005579,-61.7922888808693,-34.0990291994285,6455.88009069699,5424.2549981915,4046.95884567662,-5895.94602645836,-5501.73732157334,4.0064082518577,1021.89569688896,11.0513582039952,379.764852395339,556.724714509729,"Canada.DaringLake.MediumBirch","presence",0,0,1,0,0
3359.65629523721,2795.11705007161,3595.28087887982,3997.98616469403,2139.80652691733,5503.96389959831,4864.5028280703,6418.3650383378,3417.61693770572,-5645.63302029497,-6091.24753133589,-6345.32485270367,-6464.8010940923,-4565.90542720926,30.5935277209015,0.075548653939256,4.60375414954292,0.674127950712487,0,3651.88524488707,3341.0885924228,2214.4192010098,50.1027576538769,-32.1731417614146,-38.3544663737541,16.15172576052,6024.52412969399,5501.96307462885,3332.02177430308,-6079.34313078645,-5914.29912227143,-17.5234503253692,1121.91244744707,2.02403003522614,289.962158738897,719.179869695503,"USA.SewardPeninsula.QuartzCreek3","presence",0,0,1,0,0
1792.67696962302,919.627282814732,1895.11330622829,2263.12116213935,896.047102321191,3569.94041697252,3004.61745099209,4751.11776360541,1916.89861227514,-4341.79015388646,-5750.22990553296,-5477.13139462768,-5634.7113875574,-2481.1508163647,147.070357689948,0.00169074628502131,0.252589126427968,-0.0642189582188927,0,1944.05400301159,2144.85318273429,1656.7357903777,20.7676827811686,10.38317355719,-88.9753127038597,27.8269825998079,3653.25876879948,4160.47017058536,3354.72167940357,-4471.02772156821,-4245.20311916108,9.10360310424016,1612.12741648218,-11.4103168612252,597.110026874447,834.742386645698,"USA.NorthSlope.13","presence",1,0,0,0,0
473.563575534168,664.149610568394,379.878448323651,296.186700533181,272.990304376085,1099.12044028861,1003.27169709178,947.319816322953,782.873771245515,-1247.8921638114,433.982233674296,-931.02041071879,-1464.36050367335,-1352.82798217343,-81.9479197835185,-0.344030499458313,25.4955310821533,13.1852922439575,0,379.878448323651,417.353727867096,391.159306192308,11.7984277151813,3.21891337655655,10.5285615646201,-9.30061419659905,947.319816322953,940.296062600858,316.246669043098,-1247.8921638114,-912.423765340534,10.8537631406224,1988.47444804278,15.2407629763386,271.154956323017,966.722837347355,"nonveg_988","absence",0,0,0,1,0
1895.7869384232,2112.34761952011,2252.4805449272,2077.75452737785,1496.37860949854,3659.1701179968,4024.04422160696,3921.93470719502,2600.27756149677,-4345.45766637926,-4578.11333015793,-4969.88115703905,-5182.08087358383,-2820.43685081073,243.095330820642,-0.0147218462079763,2.87759261661106,-0.790615095032587,0,2206.67182574139,2318.35876441265,1094.98678760988,-10.866828164996,10.8868595111157,-69.4577889138074,27.4169328548849,3888.81158457916,4124.1310186029,1735.33252651989,-4611.72223838649,-4258.52291769265,7.97960866498479,1843.72499580398,-12.3755037991467,879.918239930026,932.73027673268,"Canada.Ivujivik.TP13","presence",0,0,1,0,0
1149.42109373592,624.061902757782,1215.10445523529,1434.88236649537,674.629686650726,1964.80142233306,1494.15387275719,2450.0246097536,1291.21311768657,-2492.07691744047,-3116.71041090725,-2696.21434688571,-2544.82630657819,-2139.01163021204,-243.838649038982,-0.000548839918337762,0.140990272164345,-0.207245036959648,0,1149.42109373592,1019.61990097502,810.820463737587,18.261207964815,-19.9798101145527,-49.2535460397923,13.7243669560977,1964.80142233306,1883.87718520018,1158.81149206702,-2544.82630657819,-2597.76792240473,-21.6305089004795,1715.58434857579,29.6370437646188,277.334349341126,1201.92159458218,"nonveg_680","absence",0,0,1,0,0
776.521344639199,821.787408197873,354.095913696336,439.188025395219,255.97356945681,1607.87664798284,1672.06786474512,1268.48637792948,775.760178235173,-772.490802353975,-728.029000188115,-1477.60069017963,-1399.8517296278,-1136.29813662153,225.408609410034,0.0236762333661318,1.47925400733948,-0.256897956132889,0,439.188025395219,529.513252277087,565.813838741063,20.0210682762457,-6.54554705376023,35.9762688078105,-20.562207125873,1268.48637792948,1293.09871639367,896.30768650995,-1136.29813662153,-1102.85407179421,-5.28252639904695,2070.3461553838,7.92225491247751,200.521923299319,699.599074610668,"nonveg_715","absence",1,0,0,0,0
985.420147371629,577.069816857988,671.871937234288,1142.9815567796,1183.4111768309,2229.18022721686,1713.87346813527,2572.39896518617,2232.46532726806,-2192.95925090056,-2425.31691457706,-2609.39938294895,-2207.07813763946,-1169.19054789155,-254.089621277434,-0.00174444180447608,1.09585821628571,-0.708629786968231,0,985.420147371629,912.150927014881,606.341359972908,-6.18721967060211,-33.6506871103796,-6.32014135841995,5.70314409421318,2229.18022721686,2135.05545025516,858.525497050896,-2207.07813763946,-2120.78884679152,-26.9195540736535,2008.61222454465,-0.79155662056786,325.100833509599,818.982408314901,"nonveg_575","absence",0,0,1,0,0
378.902577279022,482.498376500765,610.707209996109,413.703415801457,-104.411982379769,635.048301544903,839.240569064746,722.11704626001,-261.313988041472,-998.963029472545,-695.119692034796,-696.295004557647,-1262.19333036616,-1263.2477146205,-25.8511109563791,-0.00405859341844916,1.25127553939819,-0.561375916004181,0,413.703415801457,356.279919439517,715.119192375877,23.014979031371,17.9094358358774,-11.6553484995767,-6.98314812013857,722.11704626001,601.605663803356,1334.25037823007,-998.963029472545,-983.16375421033,16.5444063187284,2047.84736723565,20.7821425119532,213.743440256456,1579.37518723676,"nonveg_806","absence",1,0,0,0,0
-190.882732913273,382.663980695108,773.518558457462,-193.532700144843,211.78238002245,-94.0566450556084,593.997627565384,218.620325664058,-1046.48756267554,-1296.81027735417,-1047.49563203824,-923.101685874979,-2103.04147845892,1385.58910330799,193.40225834498,-0.00057508988538757,0.0403236523270607,-0.000563409586902708,0,211.78238002245,196.709897223381,967.051258602305,-22.3702840519846,53.7250699223503,-20.5712935664397,-85.21631082597,218.620325664058,118.507852292181,1966.95307863815,-1047.49563203824,-796.971994083665,43.8940566325665,2326.70979859796,45.7515368588711,394.053514786994,1302.8716220027,"nonveg_1834","absence",1,0,0,0,0
1943.70361142086,2025.77893257312,2303.99451712737,2203.88801787456,1584.099440797,4093.42306219188,4081.05606171298,4598.23089030249,3262.51267605537,-4195.04141426282,-4946.82695793415,-4701.31818574043,-5253.30723743751,-3124.15043240141,-129.523508288114,0.00620292282352845,0.758946041266124,0.123021834426456,0,2286.47504065056,2277.71756630017,1094.21624596435,3.74994707771965,-3.17982088687288,-65.2086944858988,13.430027290893,4844.21822868741,4797.50165487772,2818.99202524614,-4293.02654946096,-4272.15053633079,-1.67567140261477,1690.69569619407,-7.18776906388254,566.405440767652,781.628307885036,"Canada.PayneLake.TD0","presence",0,0,1,0,0
2941.30311558542,3310.62315530456,3582.52268934,3772.94229124974,2130.305735148,5812.94770212026,6481.0639388805,6990.23633469956,4396.20404442943,-6081.93208047699,-5987.74177153999,-6291.13460379627,-6361.43957815853,-5019.57101934753,119.327402932942,-0.0467954471707344,2.7032479763031,1.63848230838776,0,3317.216778983,3103.16770471996,1820.40837572258,16.3755894445425,-18.96083406361,-15.3941000260494,69.9674659096207,6506.08416135433,6052.79574524363,2896.74290156559,-5973.17156456555,-5946.07416667949,-11.1950830697632,1045.33387813844,-12.4821442412072,336.878736823805,617.529110792755,"Finland.Kevo.5","presence",0,1,0,0,0
