"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_NIR_changePSLS","spectral_NIR_changeLSES","site_code","presence_absence"
982.808962350811,789.727802864245,756.296816393451,527.092753642249,-1877.00244905393,-1448.5102770026,-1813.15691872097,-1613.22330639526,2.18370985984802,0,756.296816393451,455.716208708562,-1813.15691872097,-14.5895631257387,2.02028412352099,"nonveg_940","absence"
2211.42365886129,3209.2326647642,3460.58125049413,2410.07061543239,-6145.65131308615,-6122.80343871997,-5896.35875889361,-5508.10042140191,0.481175988912582,1,2441.11984865579,1530.23735356653,-6972.70030604893,6.09768395137472,-30.2995382883102,"USA.InteriorAlaska.22","presence"
221.934907863149,319.469151454507,225.438441040084,5336.14820032891,-1365.74921088644,-3078.0099096124,-3031.58569117338,342.449342096474,36.3343353271484,0,225.438441040084,7031.46236008538,-2222.28606114797,-14.6477323439279,5.0769611689085,"nonveg_1353","absence"
710.623948958428,405.401737628838,829.598159508369,-53.6827906935331,-402.153720839548,-569.470188053934,-796.550514212836,-1067.43228317908,34.3466644287109,0,710.623948958428,996.676341277791,-796.550514212836,-87.0233667750724,6.85188220487686,"nonveg_572","absence"
1503.3929692632,3282.57911336294,3140.33413568199,2089.26457232217,-5333.29915244862,-5761.71685961931,-5234.81442754665,-3761.68277527649,1.89131704966227,0,2365.6319773502,1752.80885210953,-5571.95594952565,-5.21554350502483,-40.0954329068239,"USA.NorthSlope.12","presence"
40.0988067900282,374.59032339157,190.273968262513,244.34557237409,-1932.11447263408,-2284.84067881524,-1746.14314885533,-1584.53436001788,0.59255313873291,0,190.273968262513,334.491516601541,-1932.11447263408,7.52827993764399,-71.4991943428959,"nonveg_955","absence"
3184.12318739698,3951.85132308503,4325.28366093735,1861.41709358995,-4404.2992813997,-3209.70510119391,-5566.09783227169,-5223.86590750687,3.05952874819438,0,3313.08252259745,2980.40353302279,-1291.43071800854,-17.7358740553789,-12.4810837942999,"Sweden.Abisko.VJ-Wetland","presence"
-198.663087810158,132.07960032993,28.7257951961282,-463.46064924462,3543.11179675203,6067.98147681973,4804.90931120305,10000,0.138568818569183,0,-86.2962814012581,595.54024957455,4804.90931120305,5.87885290026945,-8.02959933535888,"nonveg_1720","absence"
3545.66974656092,3951.26744262973,4105.03713794789,2464.34791768571,-5890.44899801667,-5782.78356311423,-6820.33389425362,-4695.68824193312,3.69148163000743,0,3552.9840186261,1530.29776146689,-6465.27323065899,2.09945019065481,-5.30854575755211,"Sweden.Abisko.VJ-MesicHeath","presence"
2501.67611583783,3583.07786430734,4052.30849322339,2012.98549507426,-5635.95579355128,-5347.8341723751,-6104.35482114104,-4904.56944203278,1.19031478961309,0,3157.15596055882,2801.40489419371,-5940.75159863597,-6.50297038169399,3.59636181805325,"USA.NorthSlope.Oumalik2","presence"
2757.86071176783,3301.01819354219,3791.3155104175,1161.17999145625,-5605.57498572742,-5661.39539213909,-6378.9861079159,-2221.03090941954,7.81351478894551,1,2670.2989934913,2411.20169493604,-5959.94827650776,-28.7551058504385,-1.25103470363922,"Sweden.Abisko.KJ-BirchShrub","presence"
106.801579836348,554.691366023983,511.6431857535,405.861446575232,-1573.44719043229,-1704.09420605569,-1203.75716251004,-931.678218529009,1.47925400733948,0,405.861446575232,447.889786187635,-1300.93933415649,2.72172416061116,-27.5732337444556,"nonveg_715","absence"
3479.15328462506,4696.94058794663,5422.56352058689,2294.21325236443,-6471.64082391421,-6595.38337266276,-7197.36261537456,-4026.91463372032,9.67088222503662,0,3555.43862409605,3942.84884158384,-6294.99002786203,-23.7721317806863,-8.98182775031651,"Canada.ClearwaterLake.AB1","presence"
679.416762745233,869.947150347565,697.52307129631,462.107908384618,-2341.95774289293,-1822.70009317128,-1853.85066510505,-1675.9983814689,1.70387876033783,0,679.416762745233,407.839241962947,-1853.85066510505,5.05306383282196,-8.73350900028292,"nonveg_849","absence"
4252.97447340279,4794.65762088228,5088.16283411827,2544.43499620006,-6803.98261201776,-6593.78269057917,-7090.27378979401,-5874.82406831033,5.17547187805176,1,4504.14563829984,2393.84809297063,-6473.75147928429,-1.75967917704327,-9.27617913457481,"Finland.Kevo.4","presence"
1789.60163640219,2515.67728285607,2573.98063951267,845.196180573971,-4283.93448654713,-4717.74676962971,-4682.53410666718,-3123.22619287386,0.250886508822441,0,1955.92506347747,2185.69695362919,-4170.39007139187,-12.5801857662046,-20.5302019427392,"USA.NorthSlope.Deadhorse-C16","presence"
1970.72554573173,2494.67510361047,2640.90301136916,1805.08953471689,-4507.56458086449,-5004.5450478107,-4731.00003356458,-3463.13660681295,4.51475310325623,0,2482.29682985519,1588.02434181949,-5053.91529177934,-9.15875340684012,-19.206432786145,"Canada.BonifaceRiver.LSA4","presence"
471.328869124329,-273.563781940627,592.715933094279,334.564761887122,-963.534958708823,-1282.13296277654,-2330.37383125922,116.191365237414,6.91941452026367,0,471.328869124329,866.279715034907,-1282.13296277654,-67.9315806234013,70.936622434901,"nonveg_673","absence"
2808.87477998933,3770.13960230665,3874.09140568535,1780.71948422015,-5735.5978004267,-5664.14028763114,-6452.74368795275,-4467.64824874567,0.2944349249204,0,2749.2862372417,2515.06096270617,-6211.2280941439,-5.20777134101714,-13.2207777543373,"USA.SewardPeninsula.19","presence"
2151.04100823594,3084.46992851108,3269.92552141468,1761.96079988886,-5561.42785786328,-6463.96242902741,-6224.45221240177,-4864.01832388252,1.31293706595897,0,2724.83272045958,1742.01762883232,-6058.6878347693,-7.4604977824318,-46.3577960984491,"Finland.Javrresduottar.A-Hummock","presence"
2113.9871861453,2561.6193889717,2657.67436875528,1105.02379207454,-5369.54186612857,-5717.32530710138,-6012.07093629436,-4799.37062682829,3.18515729904175,0,2462.5901156262,1625.20654002192,-5330.62371534647,11.6745997078647,-5.12694668024617,"Finland.Javrresduottar.EC-Hummock","presence"
475.78722010183,670.704127845174,577.181170963514,240.439447556686,-1428.41511744049,-1845.16255495045,-1794.32642671544,-378.890495548419,4.65828005472819,0,447.648055445034,921.716480650147,-1182.78188774943,-15.0476094601852,33.3885402235265,"Canada.Ivujivik.RTP13","presence"
948.202775795386,1364.58782212961,967.945248588002,576.279669431729,-3416.17653619245,-3240.32328288175,-3092.24868934106,-3111.35517757212,2.10152578353882,0,948.202775795386,788.308152697881,-3240.32328288175,18.6951529943609,-13.3078004482999,"nonveg_996","absence"
2530.40144232438,3342.83642024161,4060.77296333048,2422.90263668346,-5861.39379496545,-5857.21427533983,-6346.06262325128,-4772.03583824449,4.06684494018555,0,2680.31144247537,1967.75614201329,-6170.73660877327,-25.3063890761331,-11.1322261394046,"USA.NorthSlope.HappyValley-C19","presence"
-227.344603005676,628.227590421317,545.582681404805,-68.4809873467788,660.828569234657,-414.105562529921,139.364830766478,2050.07117340374,0.472099512815476,0,438.326563270404,855.572193426993,139.364830766478,5.77732018466334,-29.3955636279699,"nonveg_1547","absence"
139.118681530958,517.038749152207,494.311075838544,-36.6793810583032,-408.495302468215,6521.57647944792,26.9801318885138,-468.965932977507,18.2353954315186,0,268.399054218233,553.718130210511,-408.495302468215,0.803291602608506,-24.133691947199,"nonveg_851","absence"
1537.86103486208,2759.82687567458,3968.09779450365,1638.92730287847,-5348.34763834281,-4577.3328110909,-5959.78105817249,-4466.75202253234,8.90053081512452,0,2683.53695393768,1945.06223910638,-6000.21443081314,-7.08440047063499,-24.5484426081874,"Canada.KluaneLake.Outpost-MixedTundra","presence"
885.594948989682,463.39862547391,708.880251805246,-172.131732846717,-2415.03666397025,-909.643490123621,-1752.3374572926,-1345.28901379705,15.3318748474121,0,463.39862547391,1057.7266818364,-1400.16749035888,-27.6223423947758,52.0775506026756,"nonveg_752","absence"
747.03212469344,1909.06017986055,1222.85087654432,678.158186165,-1802.89533095994,-2985.36618876122,-1955.00177184145,-2135.24284768283,0.140990272164345,0,1222.85087654432,1230.90199369555,-2135.24284768283,31.978476384636,-70.7217718339096,"nonveg_680","absence"
2925.71894113431,3814.32535622094,4191.39622135767,1742.37928348972,-5541.44240448404,-5847.10495905898,-6369.33703097651,-3194.17030018878,9.7817094590929,0,3466.17828011305,2885.10853478959,-5654.81745654015,-9.43943610847536,-30.8607911492931,"Canada.ClearwaterLake.LSA2","presence"
2517.6426835437,3110.37408763953,3307.37743320289,2205.35950865337,-4436.45833846232,-4551.7723361885,-5050.77213341289,-4072.25883090446,1.14239633083344,0,2890.13259074588,777.217185735673,-5070.7990150615,-0.0571459575269153,-15.3623896541805,"Russia.Tazovsky.Unburned28","presence"
