"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_startSnowfree","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
2945.1301966484,3839.84601832569,997.142765239604,-5810.77774226405,-1978.38940257471,3409.98328338373,3246.99048872744,-5274.65045442922,"Sweden.Abisko.KJ-MesicHeath","presence"
540.709268884728,-61.9949096588495,217.663002040533,178.192483158224,414.831925236892,540.709268884728,866.618390022759,-133.005359005931,"nonveg_921","absence"
286.887134637219,1202.88950614561,193.422737968253,503.498284571037,6820.97140524819,286.887134637219,1433.96517341258,1211.22930435473,"nonveg_1794","absence"
2482.57507550536,3351.74370184678,2135.09888232799,-5288.7768609872,-4811.41018584429,2646.31762583541,1096.29324248467,-5338.00353645018,"USA.YukonKuskokwimDelta.UB5","presence"
1176.64452089018,1664.00606598482,1058.99644844276,-3831.92775551389,-2676.03480727623,1099.63440747802,841.059270241594,-3838.17255277876,"Canada.BanksIsland.GreenCabin-C00","absence"
444.812824509666,636.845549858362,242.298593979212,-1218.5106757729,-572.090252634858,444.812824509666,850.98005940605,-924.099623276024,"nonveg_578","absence"
-314.615466021961,543.032164870369,-51.7522078959338,-2621.64818132692,-1414.09386927316,543.032164870369,1314.18793122382,-2106.78226662996,"nonveg_666","absence"
1089.93952291789,1061.31790305672,786.25337235514,-2780.54848350248,-3011.17055870396,1061.31790305672,410.795546417566,-2849.10230691954,"nonveg_764","absence"
-326.326612442899,217.510303590913,-402.454547669035,-572.511284527127,-1981.02616468134,217.510303590913,1403.88905098502,-831.721834405633,"nonveg_931","absence"
473.643513035059,852.439739975703,55.5252733356641,-2364.56665969881,-2026.38896031767,644.524750363456,796.914466640039,-2370.51453086842,"nonveg_998","absence"
694.599218187094,575.052389831248,221.905365021545,-2229.31369990986,-1060.26467155864,511.018946900276,472.693853165549,-2195.36714757011,"nonveg_954","absence"
2137.05535126067,3551.241601276,2128.87456859037,-5308.029368543,-4913.90410542485,2928.59717456466,1311.14888490998,-5308.82919822383,"USA.InteriorAlaska.4","presence"
2967.70337369347,3187.72746250363,1576.9591426643,-4922.24131379106,-3235.51632608919,2400.39956135501,2476.29717756104,-4610.77355612962,"Canada.BonifaceRiver.LSA6","presence"
1051.17425191331,1270.9491212676,601.170369377182,-2835.86083110114,-1404.27388109073,1209.92908305366,1240.66928479753,-2493.9184475312,"USA.NorthSlope.HoweIsland-C12","absence"
2076.99234792803,2012.49070807893,1418.24029473607,-4213.8708736222,-4161.36477435181,2529.61600119323,1207.18322754894,-4810.17531419866,"Canada.ChukotkaRiver.TPO5","presence"
2269.86514799653,3081.22586355808,1116.03387281933,-4490.039603451,-2503.65214044191,2429.0704511459,2731.78434708001,-4462.64186799631,"Canada.DeceptionBay.TH6","presence"
2984.08083935117,4218.26056387259,2539.21905939227,-6498.60450204447,-5487.9436427696,4287.28244142316,2074.64416961912,-5880.27201023515,"USA.YukonKuskokwimDelta.72B3","presence"
971.641381765583,541.881086809546,608.044053987625,-2074.90269422191,-1034.69443722798,971.641381765583,644.913031388267,-1950.58674340426,"nonveg_880","absence"
612.769616656992,17.927344428909,319.412859205511,-821.586339397427,-631.407054243671,319.412859205511,594.842272228083,-1340.93338710033,"nonveg_560","absence"
1674.74272038148,424.73263607089,467.81977204064,-1577.28654635905,-1857.49641873617,424.73263607089,1384.27401014191,-2572.36502662445,"nonveg_612","absence"
1777.80880467182,2697.77000810643,659.699900046231,-5362.99448270968,-4380.82594778826,2808.92305974583,2227.217641007,-5252.50490094196,"USA.YukonKuskokwimDelta.4","absence"
1176.64452089018,1664.00606598482,1058.99644844276,-3831.92775551389,-2676.03480727623,1099.63440747802,841.059270241594,-3838.17255277876,"Canada.BanksIsland.GreenCabin-C00","absence"
612.769616656992,17.927344428909,319.412859205511,-821.586339397427,-631.407054243671,319.412859205511,594.842272228083,-1340.93338710033,"nonveg_560","absence"
605.29423672902,1170.66248454428,970.307869865304,-3761.72614488556,-2512.22331583532,1170.66248454428,930.886593422115,-3104.62489572357,"nonveg_996","absence"
3267.48670589226,5011.30875530816,2187.19344673741,-6409.40605487957,-4489.04451856449,3773.46192349563,2400.55203798869,-6077.33070747997,"Canada.BonifaceRiver.AB8","presence"
2070.85716800078,3368.4849442382,2152.64980278882,-5392.43173256599,-4425.96606052653,1830.57633033344,1804.4583026059,-5225.85768080872,"USA.YukonKuskokwimDelta.15B5","presence"
2331.60689697888,3449.30691203517,1730.48903115367,-5222.19680366054,-4135.20217409531,1519.22868205491,544.613463857108,-3882.82872950875,"Sweden.Abisko.NF-Wetland","presence"
1176.64452089018,1664.00606598482,1058.99644844276,-3831.92775551389,-2676.03480727623,1099.63440747802,841.059270241594,-3838.17255277876,"Canada.BanksIsland.GreenCabin-C00","absence"
-326.326612442899,217.510303590913,-402.454547669035,-572.511284527127,-1981.02616468134,217.510303590913,1403.88905098502,-831.721834405633,"nonveg_931","absence"
3565.70006987671,4714.36248366802,1780.50368740054,-5885.71921246569,-3530.27412585219,4310.59058290866,3197.28487255719,-5720.95153609558,"Sweden.Abisko.KJ-SalixShrub","presence"
844.079957196624,872.238485141005,1457.41096434264,-3205.53263823355,-2390.15853927307,1108.47481935838,752.509200494974,-2867.03770579313,"nonveg_701","absence"
2716.03033670318,3464.32536693798,1644.35550902437,-5986.95047536153,-5021.94665280985,2695.69037660091,1903.48826562661,-6162.90528079071,"Finland.Javrresduottar.A-Sedge","presence"
2482.297368778,3780.21021807125,1943.04684691912,-6098.94604426845,-6242.27587148217,2886.38572341236,1365.52729813859,-6547.50813073,"USA.InteriorAlaska.20","presence"
439.632573925626,851.196404400459,58.7004433943507,-1673.45744462952,-2353.15376458422,236.16207983385,792.495961006108,-1995.8655598919,"nonveg_814","absence"
1880.0880931552,3337.14966000511,1563.98829646299,-4842.90400434076,-3289.36496873236,2180.99630365436,2526.66837185265,-4217.52134048312,"USA.NorthSlope.16","presence"
902.822245808744,467.482954439476,92.8601085439122,-1584.451601824,3628.78396502828,467.482954439476,809.962137264831,-371.615504566203,"nonveg_1626","absence"
-107.49620385904,287.670144737709,526.132804227414,-3001.35508833733,-2001.83256391931,403.539718578916,1529.13033434974,-2177.83512803831,"nonveg_745","absence"
56.2306991215327,-144.288414872585,523.470076911975,-807.410576492225,-74.4182705938185,100.99913940865,667.75849178456,-650.824320138612,"nonveg_995","absence"
2753.76363914046,4004.27070017575,2433.80294679499,-5607.68876006753,-4855.0583369602,2974.38225910201,2519.92537466913,-5519.33106055431,"USA.YukonKuskokwimDelta.UB7","presence"
-140.542965251867,1063.39396730793,-99.4336818373786,-1339.37550857226,-996.358175029667,274.018204770579,1289.14005473619,-1063.08517360147,"nonveg_547","absence"
2890.98265663251,3487.73700946618,2345.33828621873,-6074.46652523811,-4755.3271164663,2836.74431967639,1266.51988863607,-5879.26901269438,"Sweden.Abisko.NF-DryHeath","presence"
1995.53353828212,2870.49451561027,1981.63378835578,-5564.93150404127,-4249.55130713431,2485.4415822389,1092.558052301,-5285.37640592573,"Canada.ChukotkaRiver.TPO3","presence"
805.780665849456,157.217243164389,-466.577736287192,482.949586966019,1750.0425025242,25.9661711380552,1272.35840213665,289.989121273924,"nonveg_1642","absence"
2622.36737959119,3754.31787662816,2425.19993689056,-5427.44225826095,-4860.3215762363,3509.28709562581,1794.41538490435,-5184.60013418705,"Russia.Tazovsky.Burned44","presence"
694.599218187094,575.052389831248,221.905365021545,-2229.31369990986,-1060.26467155864,511.018946900276,472.693853165549,-2195.36714757011,"nonveg_954","absence"
910.407262483746,562.962417554931,-765.785729730706,-395.499445785188,-1296.50339830992,17.706026104864,1676.19299221445,-1020.85535629482,"nonveg_1499","absence"
2011.65212525309,2395.44949224594,1761.96214504144,-4702.72074664775,-4574.24636650835,2193.27663774129,738.232985135726,-5266.55003322432,"USA.InteriorAlaska.1","presence"
1205.45155320472,487.761546611294,2046.51337759176,-1166.6394892789,40.0640080541657,978.417987686681,1837.79403118968,-1333.57152070643,"nonveg_624","absence"
2945.1301966484,3839.84601832569,997.142765239604,-5810.77774226405,-1978.38940257471,3409.98328338373,3246.99048872744,-5274.65045442922,"Sweden.Abisko.KJ-MesicHeath","presence"
2269.86514799653,3081.22586355808,1116.03387281933,-4490.039603451,-2503.65214044191,2429.0704511459,2731.78434708001,-4462.64186799631,"Canada.DeceptionBay.TH6","presence"
-326.326612442899,217.510303590913,-402.454547669035,-572.511284527127,-1981.02616468134,217.510303590913,1403.88905098502,-831.721834405633,"nonveg_931","absence"
694.599218187094,575.052389831248,221.905365021545,-2229.31369990986,-1060.26467155864,511.018946900276,472.693853165549,-2195.36714757011,"nonveg_954","absence"
1170.20623942452,1186.98813567621,856.090172981711,-2859.8715660613,-1211.97490097673,1080.18457875531,676.377214255868,-3095.69613669138,"Canada.Ivujivik.TP12","presence"
-22.096484437709,384.88155350725,10000,-391.66303805179,265.502514686139,-22.096484437709,10387.1333741547,-242.990935135603,"nonveg_1477","absence"
3267.48670589226,5011.30875530816,2187.19344673741,-6409.40605487957,-4489.04451856449,3773.46192349563,2400.55203798869,-6077.33070747997,"Canada.BonifaceRiver.AB8","presence"
-290.687950135316,590.265109625071,-201.121550131205,-1836.82099429488,822.494795958205,99.9254326813227,880.953059760387,-760.138578818716,"nonveg_721","absence"
-59.5538084697257,-94.7142307424302,-84.5064882334242,10000,7348.82123276174,-59.5538084697257,785.110462608614,8358.44532883564,"nonveg_1695","absence"
160.327753928239,665.751682291332,-646.287168073625,-1327.98218404744,43.0038877270924,4.41167400556424,1312.03885036496,-1199.82911780511,"nonveg_903","absence"
1944.87193633118,2990.23723096825,1659.73949665664,-4898.35898059045,-3755.02966149345,1733.62511852052,1798.09639367226,-5163.12293974798,"USA.NorthSlope.Sagwon-C16","presence"
1722.54283584983,2260.69980350862,1114.94465155174,-4271.08789543616,-3439.98211939509,1790.84860564505,1105.46501082556,-4401.31163217732,"Canada.BanksIsland.GreenCabin-C09","presence"
511.931617249636,107.435242561407,533.771704063398,-1770.11312317973,-1914.75122495387,511.931617249636,1095.57738901756,-1863.04333198689,"nonveg_736","absence"
1115.49083225883,643.614240985406,848.084448154931,-1924.64782385628,-833.165928234362,806.764595995996,606.454027562739,-2230.88256486869,"nonveg_957","absence"
1944.87193633118,2990.23723096825,1659.73949665664,-4898.35898059045,-3755.02966149345,1733.62511852052,1798.09639367226,-5163.12293974798,"USA.NorthSlope.Sagwon-C16","presence"
2934.43831843757,3634.84392243524,2225.84892363686,-5896.99747182296,-4948.45382668447,2781.94615671704,2410.99527941745,-6273.21784258647,"USA.YukonKuskokwimDelta.3","presence"
2.2453278191231,18.386014336247,572.229161267286,-376.817496141652,839.623292544253,18.386014336247,1113.77316102929,-227.219985157614,"nonveg_689","absence"
1320.65519885539,1739.29910147633,-23.0639752885958,-3753.21000202482,4223.6964591096,979.690490225289,1762.36307676493,-2051.57779878481,"nonveg_1813","absence"
3333.86810902872,4111.27486155411,2400.78194089818,-6069.92721778039,-5072.35837869781,3462.09524027344,1546.07776573686,-6088.41126614188,"Sweden.Abisko.NF-SeasonallyFlooded","presence"
-1217.95515551888,929.68771452551,650.596111018094,-487.386463117458,-1322.21595367042,16.9691121770623,2147.64287004439,-1838.35348541162,"nonveg_623","absence"
5.00911027473126,721.974131306805,257.302722404661,-2466.37583840181,-1919.02105245695,437.543355081111,716.965021032074,-1686.9432004111,"nonveg_790","absence"
1874.55493367558,3146.7334502537,2300.31926057031,-6589.4099362848,-5378.21522173461,2529.26927019856,994.114475132119,-6169.90388606461,"USA.InteriorAlaska.22","presence"
2561.4234661684,3100.86056050304,1879.6412936949,-5473.35952668765,-5090.56856081849,2574.6304305786,1288.16201349883,-5763.02610195464,"USA.NorthSlope.Sagwon-C18","presence"
3380.15079512915,3792.19714020061,2253.08692310061,-5208.73400465559,-3905.18091730359,3449.61839099639,1397.36562931942,-5563.61112546192,"Russia.Yamal.VaskinyDachi-2","presence"
2683.73965226109,3489.45682275651,1799.91266800553,-5454.38694629795,-3777.79530416896,2983.21422984982,1391.95248467184,-4943.36850722122,"Canada.DeceptionBay.BEGL2","presence"
1170.20623942452,1186.98813567621,856.090172981711,-2859.8715660613,-1211.97490097673,1080.18457875531,676.377214255868,-3095.69613669138,"Canada.Ivujivik.TP12","presence"
1005.64106242044,424.904529220358,825.176739760856,-1591.67914614177,-1590.61949218553,825.176739760856,924.956599149574,-1838.75428176591,"nonveg_926","absence"
-674.341986995058,1080.10858506999,1164.54891533691,328.804333282406,-702.984163342739,868.448606043411,1838.89090233197,-854.929737352846,"nonveg_571","absence"
9.52900927546619,282.71854335261,19.8716345185146,7312.47247391618,8674.85816658678,9.52900927546619,469.055230605267,7917.30278210318,"nonveg_1994","absence"
2269.86514799653,3081.22586355808,1116.03387281933,-4490.039603451,-2503.65214044191,2429.0704511459,2731.78434708001,-4462.64186799631,"Canada.DeceptionBay.TH6","presence"
-1217.95515551888,929.68771452551,650.596111018094,-487.386463117458,-1322.21595367042,16.9691121770623,2147.64287004439,-1838.35348541162,"nonveg_623","absence"
-84.3622595565407,542.818431404808,125.369496356606,-1067.86939020738,-869.725837600478,125.369496356606,638.414380215545,-697.392948729245,"nonveg_870","absence"
2844.96382458027,4757.88479793049,1866.87480943126,-6008.19543585218,-4907.33844911444,3332.54595354951,4078.01521592533,-6297.545035186,"USA.YukonKuskokwimDelta.B","presence"
2378.4609503975,2701.45002291553,1475.54142389056,-5220.21392905826,-3505.33012299796,2439.13550528815,1251.05717278853,-4391.67244496586,"USA.NorthSlope.Barrow","presence"
1979.51185642612,2814.36622756618,1460.97481597097,-5925.2718108895,-4110.89398873231,1883.87004100227,1255.53055071195,-5417.53490468987,"Finland.Javrresduottar.EC-Hummock","presence"
431.371672890086,324.193133498428,495.451677741448,-2014.92843779367,-1235.50564446449,495.451677741448,672.371560859977,-1726.68973131284,"nonveg_866","absence"
1255.53987396563,2392.75809829283,1110.54942123227,-3132.04791072493,-1408.91698243553,1741.29201047261,1413.38330466865,-2026.41695109127,"nonveg_706","absence"
