"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_endSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_green_lateSummer","texture_NDVI_peakSummer","trees_presence","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_red_changeLSES","site_code","presence_absence"
1919.16453025194,2242.45045552697,2459.68907588844,1445.76552078359,4533.05447940611,-4526.95608499011,-5062.73226541713,-5012.56648264183,-3569.3502318066,689.475999559284,-117.51034084944,0,913.148312702739,-4728.37966092471,3.64935340143473,"Canada.PayneLake.TD0","presence"
2398.2113860055,2303.50693722294,3046.92318069436,1919.11321006773,4328.19194225624,-5018.7744003773,-5218.23354784161,-4927.78360843225,-4086.70166814644,726.664715318107,472.063678204103,0,1089.9956693501,-5045.6450709545,-14.1665869572397,"Russia.Yamal.VaskinyDachi-3","presence"
3984.56432863,3514.35613130304,4887.66155252553,2466.780356525,5749.93139285607,-6094.82282795775,-7380.71823780642,-6883.29678740533,-5727.50326389166,501.685216072228,-389.188010168142,0,1501.49917895067,-6666.84676173699,-15.5997136920825,"Norway.Javrresduottar.A-Sphagnum","presence"
501.553765299765,517.953393414751,31.6565139682221,770.513320703603,869.847732056588,-1294.92685004864,-1202.09166218548,-2207.82429583119,-734.997966861253,1478.19959888282,637.320875562045,0,738.856806735381,-1277.86286632982,-8.60849025635878,"nonveg_768","absence"
3212.29746287102,1884.56474014354,4143.60893045441,1874.99016567488,3278.29766765858,-5663.65277177203,-5560.13979258202,-6679.39062806951,-4599.02869393626,798.688927927016,166.240200456637,0,3232.02901264494,-5513.0989657695,9.28114405417742,"Canada.KluaneLake.Outpost-MixedTundra","presence"
310.910058838302,665.357711234637,416.48628195939,830.338040812854,1341.85742435271,-2219.0175995605,-624.437793025729,-1854.38744842802,-815.520372037172,796.146724540324,474.002216179602,0,519.427981974552,-815.520372037172,1.6196952308007,"nonveg_919","absence"
2557.645511571,1913.76226214223,3537.73321781207,1444.78963171439,4556.54453651692,-5663.62476942663,-6362.72514541008,-6638.22657130171,-3836.82611044131,490.4164900304,70.7455466068935,0,2619.00904630859,-5639.86912401752,9.77916895968241,"Canada.DaringLake.MediumBirch","presence"
2846.11667294275,2832.04452661089,3944.55567707865,2474.46030806387,4824.49662611477,-5517.85847080191,-5795.31744218765,-5997.29839554571,-4784.57814912549,835.992427565914,306.447363717147,0,2160.08976311646,-5364.47366022467,11.3956629587355,"USA.YukonKuskokwimDelta.UB7","presence"
3066.60863855583,2801.31622248447,4784.58427133671,1568.85050173643,6114.0965682673,-5897.63962370211,-7458.24815518686,-7924.20034355138,-4365.85775087289,410.357666769703,38.7806697704974,1,3978.2665114816,-5659.83504483387,16.3952292754238,"Finland.Kilpisjarvi.17","presence"
31.3743847491137,246.963138132752,-343.757066091663,357.18012860976,945.056581545216,-1977.87260622514,-2326.20064526989,-2842.88401051705,-254.216941100848,694.839851654461,296.805054541454,0,700.937194701423,-1977.87260622514,22.3835035000711,"nonveg_946","absence"
