"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
630.146837350965,355.688459183935,719.773818221866,174.117669658089,-2036.62779321751,-1211.25943349064,-1527.07563661116,"nonveg_984","absence",1,0,0,0,0
1102.79369856028,1712.31075479484,956.886021020913,388.741467588821,-789.069153593392,-1242.79957396055,-843.006079733911,"nonveg_568","absence",1,0,0,0,0
-346.394317679127,169.192988541598,358.784813985785,-1.29806271381865,-1449.45141313429,-1256.51560868801,-1312.08851043079,"nonveg_596","absence",0,0,0,1,0
1572.37150730756,1621.18160738669,1896.02007275577,1432.73853072173,-4460.09396883124,-2883.8821291657,-4236.32785584066,"Canada.ClearwaterLake.LS1","presence",0,1,0,0,0
192.825073132509,84.6668306891273,380.788208484243,833.305645296477,-1004.66061806421,-1247.38081110438,-1167.72841189635,"nonveg_1442","absence",0,0,0,1,0
870.713582988822,1012.56141485694,446.599299443928,878.58775246563,-1493.3220287939,-941.17945106433,-1246.22593729573,"nonveg_814","absence",0,0,0,1,0
499.886402104724,317.947948384731,494.77129869605,-400.770262999594,-538.865199256802,-2003.2095296302,-1214.50443945852,"nonveg_775","absence",1,0,0,0,0
725.650863171065,97.9841849182051,527.742236295373,-12.7093648666309,-648.040697190998,-169.909813183618,-175.56719383561,"nonveg_1089","absence",0,0,1,0,0
2672.9700021591,2525.97760016565,3234.07532368996,1837.86069073767,-5751.79670772388,-4302.26287152406,-4773.95487605938,"Russia.Yamal.Nadym-2-H","presence",0,1,0,0,0
1172.17143621816,715.63416631921,701.063233711366,1568.91756291187,-2990.63748491441,-1609.0274987139,-2810.10590630164,"nonveg_764","absence",1,0,0,0,0
216.196863144731,384.71751555247,310.132984206312,671.183958476478,-1539.51314366066,-203.173163811568,-1365.15285629464,"nonveg_936","absence",1,0,0,0,0
-78.1809542482743,-222.945124003219,166.654290199117,-82.8003154796143,2408.0148572256,3660.13066940461,3230.61225486848,"nonveg_1854","absence",0,0,0,1,0
3448.35333443923,2566.9323654849,4042.53315188051,2177.19576890915,-7448.19517230133,-4496.60446162424,-6326.3538252998,"Canada.ClearwaterLake.AB2","presence",0,1,0,0,0
150.546073982921,554.837977918324,624.767437500751,229.381967091723,-1841.27850554507,-1215.10788470238,-1723.70070284153,"nonveg_935","absence",0,0,0,1,0
2332.94971084068,2442.12113926659,2944.16989481913,1507.01282235339,-6367.39515665934,-5026.07952687325,-6348.93273476762,"Finland.Javrresduottar.A-Sedge","presence",0,1,0,0,0
-46.108321902035,-61.7617627198331,248.412534003744,-2509.48469047708,6439.55354701376,10000,8442.4841399213,"nonveg_1797","absence",1,0,0,0,0
3792.05563655751,3335.15161353505,3814.01953230259,1723.12774253451,-6674.48085957512,-4106.46222003817,-6148.4547137421,"USA.YukonKuskokwimDelta.3","presence",0,0,1,0,0
4055.96759135222,3467.9283242551,3922.07911616689,1995.86341593064,-7432.4557945938,-5886.85460952468,-7032.42526920346,"Finland.Kilpisjarvi.15","presence",0,1,0,0,0
3485.16778483307,2685.82025260329,3219.5487468296,2372.6854805498,-7058.14407887893,-5460.67290404273,-6294.82129278344,"USA.InteriorAlaska.20","presence",0,1,0,0,0
2727.26344450796,2949.25224242311,3283.37113204876,1992.37397409032,-5715.68261837786,-4935.14115640833,-5457.13583391472,"Finland.Kevo.8","presence",0,0,0,1,0
288.302377377137,-610.587611399694,102.5925441439,-233.093875287395,-1176.38010740746,-655.427429720458,-1102.55248675267,"nonveg_710","absence",0,0,1,0,0
216.196863144731,384.71751555247,310.132984206312,671.183958476478,-1539.51314366066,-203.173163811568,-1365.15285629464,"nonveg_936","absence",1,0,0,0,0
1268.80357688181,1801.99709317981,1460.44615252958,845.225364301164,-4126.33684890919,-3141.68254019181,-3439.04452034254,"nonveg_898","absence",1,0,0,0,0
3056.8766396793,3069.58602968066,3809.7861008182,2268.206566182,-6468.86443854077,-4443.07795003567,-5955.2766056387,"Russia.Yamal.VaskinyDachi-1","presence",0,0,1,0,0
2441.81154917803,2418.27375488228,2488.33211078097,1902.21205189026,-5181.05870787129,-3659.93826153432,-4671.76725921623,"Finland.Kevo.12","presence",0,0,0,1,0
665.577630380833,493.796889345296,913.909832619549,-84.2052474646693,-1650.03360861659,-1193.86583958282,-1303.93500627489,"nonveg_752","absence",1,0,0,0,0
2985.23040955922,3130.22026767269,3628.38641507589,2013.55073122528,-6647.17790022316,-4564.30963265708,-6064.48317756907,"Canada.BonifaceRiver.AB1","presence",0,1,0,0,0
3792.05563655751,3335.15161353505,3814.01953230259,1723.12774253451,-6674.48085957512,-4106.46222003817,-6148.4547137421,"USA.YukonKuskokwimDelta.3","presence",0,0,1,0,0
3514.09915439538,2814.43967466878,3962.81451281194,2483.86849525951,-6563.04089624725,-4721.13530019085,-5917.97816295699,"USA.SewardPeninsula.QuartzCreek2","presence",0,0,1,0,0
363.90830562723,639.61589751522,54.2534855578535,929.034520053742,-1349.61296924009,-449.544657906087,-1397.54884315405,"nonveg_955","absence",1,0,0,0,0
2975.77880829184,3188.7414821472,3589.39876402931,2396.64281987809,-6755.88287892904,-4758.65198329396,-6105.2172710646,"Norway.Javrresduottar.A-Betula","presence",0,1,0,0,0
216.196863144731,384.71751555247,310.132984206312,671.183958476478,-1539.51314366066,-203.173163811568,-1365.15285629464,"nonveg_936","absence",1,0,0,0,0
98.0403166588529,434.430438197037,-143.003960692308,694.107896156263,-414.98197447323,1228.55452045904,238.91806375971,"nonveg_1161","absence",1,0,0,0,0
302.873772769561,-544.957286694068,-429.178190208066,-424.108269192916,-1262.01611444955,-103.772272598111,-862.443859258745,"nonveg_1213","absence",1,0,0,0,0
676.031981451852,335.913149665411,765.297571618819,-154.59204804182,-2093.31557891223,-1945.97332386991,-2198.13369209539,"nonveg_719","absence",1,0,0,0,0
2505.87710274587,2494.2321463245,3166.06269428631,1952.81424001611,-6444.69051034147,-3680.35194869015,-6487.60997961004,"Canada.PayneLake.TDA2","presence",0,0,1,0,0
1384.56584680049,366.528907792369,1285.31099618501,541.388560151009,-1243.33669237746,-861.091471568965,-1283.23734209327,"nonveg_627","absence",0,0,1,0,0
870.713582988822,1012.56141485694,446.599299443928,878.58775246563,-1493.3220287939,-941.17945106433,-1246.22593729573,"nonveg_814","absence",0,0,0,1,0
2548.69614582439,1452.00370007336,2703.5135614305,680.585842358877,-6272.47405143726,-4411.09595322046,-5078.45808721376,"Canada.KluaneLake.Quill-ShrubTundra","presence",0,0,0,1,0
3986.65425998198,1385.3395010535,3232.66895500813,1574.17700664389,-7210.1850866921,-3400.01369539937,-5053.41843250373,"Canada.KluaneLake.Outpost-ShrubTundra","presence",0,0,0,1,0
1025.95771657513,1289.18321420489,1208.26534941585,611.310248097361,-3129.01704723768,-1492.63568737293,-2388.85820980943,"USA.NorthSlope.HoweIsland-C12","absence",1,0,0,0,0
1194.96456789505,933.047009968619,775.619150453441,892.815995840657,-4858.68839383541,-1576.57614661773,-3680.92838868401,"nonveg_856","absence",0,0,0,1,0
-197.605994931364,301.924234191707,686.39659144692,-124.222981234327,-2199.68330034366,-1488.57020208438,-2161.45584133799,"nonveg_666","absence",0,0,1,0,0
2705.02399024943,2444.29600051704,3278.72358186308,1769.19649821093,-6225.4792690824,-3948.9339618515,-3808.41071549024,"Sweden.Abisko.NF-Wetland","presence",0,0,0,1,0
965.096131900782,1061.17536629423,1165.57339780482,523.107883230987,-2797.6697540172,-1794.39794345999,-2785.30887839286,"Canada.PrincePatrickIsland.MouldBay-C00","presence",1,0,0,0,0
150.546073982921,554.837977918324,624.767437500751,229.381967091723,-1841.27850554507,-1215.10788470238,-1723.70070284153,"nonveg_935","absence",0,0,0,1,0
-619.219520451996,252.142370169024,549.151926072953,36.8332498495245,-1160.3290972526,-701.258485655907,-861.076079449574,"nonveg_995","absence",1,0,0,0,0
3043.58283949926,2487.2773355532,3627.75202230031,1985.28791514335,-6296.34583696248,-4940.94766477317,-5565.35493774224,"USA.NorthSlope.Oumalik2","presence",0,0,1,0,0
2798.97070297152,2694.97155889536,3241.95809963237,1435.15605270984,-5298.3059549204,-3998.20460162539,-5857.3361534902,"USA.Kougaork.LowShrub","presence",0,0,1,0,0
1511.03659444974,2627.8575964438,1851.64616454086,821.731218689534,-3449.97681876159,-2814.90607251142,-3162.21196758526,"nonveg_1177","absence",0,0,0,1,0
2775.8209510944,2870.80590466701,3471.45820997067,2400.06779984696,-6364.32413011947,-4108.22004613782,-5936.92975982,"USA.YukonKuskokwimDelta.15B6","presence",0,0,1,0,0
2849.51415975216,2026.87273185021,3411.21870440722,2352.90145764477,-6010.70569975222,-5526.33559613367,-5436.91545604399,"USA.InteriorAlaska.22","presence",0,1,0,0,0
601.707055245452,837.503157088523,943.547022009959,754.682926826639,-1395.0668314751,-912.694189008877,-1168.85049625198,"nonveg_714","absence",0,0,0,1,0
404.650414379695,-217.793690273215,52.1025694786947,207.218812790946,-1316.99038333487,-308.64179654257,-1315.07796323052,"nonveg_794","absence",0,0,0,1,0
2126.06123460525,2198.69936884013,2386.49595646594,1326.04039063899,-5987.67989418384,-4247.26645117902,-5815.05765771847,"Finland.Javrresduottar.EC-Hummock","presence",0,1,0,0,0
779.503416359491,1020.32734533652,683.207682248489,386.095537428301,-2246.5240385772,-2065.32188921467,-1913.54004207887,"nonveg_902","absence",0,0,1,0,0
2910.53692164199,2810.54307415285,3168.89843217396,2032.66206799718,-5972.78900963267,-3666.45474085655,-5427.41292766896,"Russia.Yamal.Kharasavey-1","presence",1,0,0,0,0
1119.04368081876,83.1335479348448,165.86738964487,593.047816104833,-1913.0341717809,-28.2662905633032,-1039.08165996046,"nonveg_547","absence",0,0,1,0,0
952.264412286558,1435.38062653544,802.070726152047,418.354066892188,-3373.50000041882,-1791.69319202524,-2377.14761900559,"nonveg_600","absence",0,0,1,0,0
57.5453128217756,118.556568201871,94.0118459625181,-687.600896290118,-798.234278314168,615.474669420687,-809.086762807509,"nonveg_1834","absence",1,0,0,0,0
2195.31189409084,1614.25890956557,2337.78044414864,1048.16174086482,-5765.35606604777,-4018.93865964195,-4866.20725005345,"USA.YukonKuskokwimDelta.1","presence",0,0,1,0,0
677.326047416054,861.020869063199,766.496679866959,447.478304504423,-3179.96253226978,-2689.74771435518,-2929.42480063516,"nonveg_758","absence",0,0,1,0,0
