"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_SWIR1_changePSLS","site_code","presence_absence"
2584.16528594258,3110.25506643158,1900.95327130235,-6394.17499729188,0,2277.95175527542,-5885.32511325292,-8.90227405544818,"Canada.DaringLake.Tower3-DwarfShrub-2","presence"
72.9618543443414,431.249593421289,866.196837567125,-1142.74006037448,0,793.234983222784,-1072.79057110159,-15.626748064509,"nonveg_682","absence"
2575.62250915582,3116.8934606253,1978.05534935104,-6007.16783931817,1,2154.70100817016,-5870.25398162386,-34.5248790431169,"Sweden.Abisko.NF-Wetland","presence"
186.54582200984,-338.9357384822,165.974498902321,7128.95531934256,0,574.516419743863,7632.36448807757,0,"nonveg_1695","absence"
2220.51688176888,3260.03790879943,1700.84438247161,-6692.7743900658,1,1667.83351869701,-6084.11436662312,7.19916405561881,"USA.InteriorAlaska.2","presence"
-276.011510337576,-158.106482456993,384.660857640936,-192.544665705647,0,835.598947093934,218.337847840705,-23.4313085703742,"nonveg_1145","absence"
1204.15297698512,1191.10730467777,788.73277535592,-3079.91141626033,0,1181.10802842123,-3284.08992171952,-75.4251940757767,"USA.NorthSlope.HoweIsland-C13","presence"
1832.64256038675,2485.61095203393,345.203168667521,-5507.64968337005,0,1969.23245095683,-4777.14647256141,6.42390004318883,"USA.NorthSlope.16","presence"
479.426845695049,274.24965591731,-211.133750965419,-2228.03474684289,0,768.634930036989,-1829.73457654488,2.56524503406375,"nonveg_684","absence"
1526.15340355733,2078.99287105796,1583.75243006366,-4845.93365404313,0,1756.24559732271,-3963.94780985616,-5.568418807717,"Canada.Yukon.WHEATEAR","presence"
2919.11647733914,3589.53278953799,2134.78028153427,-6527.06224672453,0,2196.70540319798,-6283.87186130606,-16.2626184718506,"USA.SewardPeninsula.QuartzCreek3","presence"
2616.20589528735,3488.1251030738,2405.45332217041,-6307.232485229,0,1580.52695424921,-5672.08818997381,11.4928890071114,"USA.InteriorAlaska.FRYINGPAN","absence"
986.955813019925,518.152575279041,754.75972039285,-2999.11719496819,0,497.865365594587,-2824.99796320909,-1.12024657007422,"nonveg_746","absence"
2160.8382412846,2243.67881228833,1634.60521436027,-4469.54534736417,0,691.149850388403,-2736.029404227,29.2684483726558,"Russia.Tiksi.LichenTundra","presence"
2333.05906229925,2857.58619101561,1878.57436408166,-5733.48955495758,0,740.160776791799,-5455.81909624608,3.08933563923509,"USA.YukonKuskokwimDelta.5","presence"
2584.16528594258,3110.25506643158,1900.95327130235,-6394.17499729188,0,2277.95175527542,-5885.32511325292,-8.90227405544818,"Canada.DaringLake.Tower3-DwarfShrub-2","presence"
2732.94416309534,3350.30530409971,2100.76132668881,-6377.88546067731,0,1291.90969706435,-5580.2467587935,5.22729954078232,"USA.NorthSlope.HappyValley-C20","presence"
234.62619336651,681.487575934992,-59.7971663210976,-2376.80456300134,0,1153.54892701992,-2376.80456300134,7.38921383003693,"nonveg_940","absence"
556.362846258177,714.440739577328,814.563809153631,-1336.79695874624,0,490.352416349486,-1037.3187208909,10.2133689623474,"nonveg_1473","absence"
513.901958652216,946.235387107347,469.075367489083,-2569.78266653376,0,563.396146258865,-1713.62022584128,37.8261509855635,"nonveg_769","absence"
2879.25630579283,4076.94480990804,2495.88993687042,-6545.6000875658,0,2135.76040739221,-6893.93667048054,-14.7237669616741,"USA.NorthSlope.Ivotuk1","presence"
2666.68140567478,3478.2796701733,2279.00556729333,-6246.11332649891,0,1910.66713953986,-6113.59995138218,-3.65065764942435,"USA.NorthSlope.HappyValley-C18","presence"
1155.34036892149,2766.94266612502,1296.50410464299,-6545.11334856837,1,2276.64673393294,-4746.09464053255,12.7755533262119,"USA.InteriorAlaska.23","presence"
-215.108379859242,1367.46421342016,-1271.49547868893,-972.944905175192,0,2638.95969210909,-926.254993219184,12.7342146588454,"nonveg_670","absence"
250.449877891858,610.173421348633,-79.8052089050474,-1253.94623328043,0,873.591362926182,-1253.94623328043,-41.1211510730013,"nonveg_752","absence"
842.997638790673,668.819637551542,624.523656575236,-2330.42193562982,0,296.606245868039,-2496.63696554451,-27.5722690517885,"nonveg_863","absence"
181.937949432893,316.02198499598,54.737345906215,-1357.02163355963,0,414.940690848267,-519.09670764164,12.5828056834004,"nonveg_921","absence"
3553.82480478043,5059.61245912892,2267.25573788467,-7216.92984884991,0,3839.87293364874,-5534.91827771124,33.6852266357357,"Canada.ClearwaterLake.AB1","presence"
523.296911724681,214.191839534399,-303.800169339777,-671.00814569969,0,853.343646122207,-671.00814569969,-31.8598212014044,"nonveg_582","absence"
4265.04570102019,4923.55207346113,2523.26170258471,-7088.35297571008,1,2631.37050490666,-7151.79943213927,-18.2297893516242,"Finland.Kevo.9","presence"
1387.93430442239,1703.06144810642,615.835328278574,-6196.69256573975,0,1087.22611982785,-4966.47398821911,11.2660099459703,"nonveg_1607","absence"
2685.60993477485,3746.44080089604,2161.48132283369,-6772.7917531356,0,2772.65423677202,-6599.43754043027,-10.748748621568,"Canada.ClearwaterLake.AB3","presence"
881.599641654345,1237.31993358615,1029.08859289852,-1407.85743477532,0,801.680610857311,-1407.85743477532,-25.4609331910169,"nonveg_540","absence"
3508.03742715881,3820.54543381638,2219.18525245453,-6517.12781810463,0,2710.16004033401,-6319.87793274452,-4.1386290666013,"Sweden.Abisko.NT-MesicHeath","presence"
