"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_blue_endSnowfree","spectral_green_lateSummer","topo_eastness","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeLSES","spectral_NBR_changePSLS","spectral_NBR_changeLSES","spectral_NDMI_changeESPS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_changePSLS","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeSSES","spectral_NDWI_changeESPS","spectral_NIR_annualMean","spectral_SWIR2_annualRange","spectral_blue_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
253.418970169202,-235.168565630597,-262.221471275992,-290.893178339082,299.395991750345,-453.997246563167,-510.05892824583,-487.154171342905,212.08579151098,561.381857680279,2.52230143067587,-131.168217340846,-170.385276418373,1203.46211385728,1133.25804126768,1061.0551609474,-0.492608666419983,31.0020389556885,0,-235.168565630597,590.289170089427,2.25440880378288,7.0990017740611,27.1163209830952,-12.6007209072939,-453.997246563167,-224.946439778008,-2.08225062753869,4.67180680688864,2.52230143067587,293.162555841804,-11.2645658978422,-12.8380198964676,1408.07980681087,833.314585291713,-2.7777562544883,"nonveg_592","absence",0,0,0,1,0
2821.08113853727,2489.40420370095,3197.57102828287,3546.20413405064,2057.16579811903,4501.21082975856,5224.94739569018,5520.75706954469,3609.87489613462,-5251.69661565324,-5449.01003264652,-5792.92547007592,-5957.46748301101,-4815.70493558621,571.759828928537,773.682901544268,-4.45159126280065e-05,0.491324451234605,0,2508.79368442636,1159.79468367145,-0.88938040227874,-21.9938754015487,5.64638021884603,-3.88618854951696,4401.77213625553,4509.91143538716,-25.4610981169105,3.06586334180624,-5328.72170204435,-5373.87833811543,-1.47232538476229,-30.039651443244,2645.97421703365,500.095177344144,-2.78877046196682,"USA.YukonKuskokwimDelta.UB3","presence",0,0,1,0,0
-61.1905653024469,-492.763943372526,113.968818595128,-109.849263967167,-355.516318335984,-369.554232605269,350.452351985474,65.8278962846626,-757.582151329828,19.6239215879993,-1193.56554601822,-489.890878779273,-662.885836484009,547.394216797024,623.850685277948,1021.61012526314,0.0176965203136206,1.0543657541275,0,-109.849263967167,606.732761967654,-101.122126994609,46.8630270490598,-145.582648051872,-21.8572426441803,-86.2306152314795,-159.417350179288,56.9248911401622,-120.00109743179,-489.890878779273,-355.864824579296,-18.848939114608,-23.5348192438623,921.939228973843,233.926545685792,19.3649542843249,"nonveg_1927","absence",1,0,0,0,0
-389.26780661873,1090.74592998845,217.789990658102,675.46966112023,168.980198370012,1480.13691080035,669.297149769039,1273.27777199221,164.363707803633,-1762.71536557026,-885.174803678106,-1735.61222912951,-1128.88021649804,327.105104267548,1055.85789667289,1251.05058267454,-0.0850434228777885,10.1982593536377,0,217.789990658102,1480.01373660718,218.238984832588,-132.593821072797,247.417649934567,-19.604242958328,669.297149769039,660.967346528173,-150.995155555792,202.709940257828,-1128.88021649804,-1037.05550212167,-80.3777103783773,23.4753758915638,1927.44222497564,841.303794768243,-23.5858820523482,"nonveg_897","absence",1,0,0,0,0
780.646700633054,990.814898155818,-155.257551244978,466.263036418755,341.862353923703,1191.78958517168,-53.5761437334365,702.21667261825,413.531584427326,-1506.07273971122,-1313.95132044223,-2489.22450111422,-1843.38595450524,-1790.07062902655,1649.75148284086,1913.36738164691,-0.0240835752338171,1.52118134498596,0,466.263036418755,1146.0724494008,104.188404490981,-98.1939648482463,114.747943180859,10.2990959624864,702.21667261825,635.651200557794,-68.7084378501533,113.215066264101,-1790.07062902655,-1788.54102895989,9.1612222359782,-10.5410379623132,3064.009677786,488.562008827888,-30.1508313492453,"nonveg_1261","absence",1,0,0,0,0
-227.368966031384,235.9363837407,490.658259164154,152.484483404551,633.30016002618,733.749554894933,1028.27502821794,612.189802059766,1204.80670223929,-2162.54364558404,-1426.38683301527,-1097.96132308866,-1605.49032352823,-896.055620397066,636.988002646845,873.58084644988,-0.305826425552368,28.9488277435303,0,235.9363837407,860.669126057564,-6.88437501144471,9.18717350906108,-8.34614988651099,59.525168345705,733.749554894933,745.104839638543,11.5579229488382,-7.96014792764884,-1426.38683301527,-1437.68754912265,-211.081337531163,79.5790460079735,1032.95769843721,417.384534239042,3.68588512327463,"nonveg_972","absence",0,0,0,1,0
2049.53810242457,2017.45133388238,2381.60495085247,2468.46605784008,1687.08471200001,3772.45861525558,4475.67757372997,4613.64441503957,3048.30954339135,-3927.92666766977,-4536.95509896107,-4219.15713389043,-4306.13257349126,-2802.88910831554,670.333740532525,964.161735353095,-0.0359159745275974,4.47286743587918,0,2322.98165035403,1259.29355069357,-39.2912661803811,-11.6451412301333,-57.6440313652158,28.125889746468,4061.19803247094,4426.26450104239,-12.3664208348707,-67.9351087147542,-5114.14429748872,-4930.2837301681,-46.9295237271843,4.78168679508496,2389.36998984829,146.830731847629,1.07172989331855,"Canada.BonifaceRiver.LSA2","presence",0,1,0,0,0
316.513344701005,1115.16459953238,1151.01239030549,1037.77705029095,617.896803871244,1769.0177424458,1833.32807510735,1693.64475680285,1019.18407586047,-2889.34019467689,-1808.66802310813,-2002.06324389396,-2245.92342201687,-1822.49149287834,1355.53216938952,1569.76430038617,-0.00441957311704755,0.340886503458023,0,1037.77705029095,834.499045604488,-2.75752236716238,21.1412832251204,6.52509266434311,39.3515719410504,1693.64475680285,1417.12398210589,10.7448706388078,-4.94694866627289,-2002.06324389396,-2153.69727531484,-44.4520292416064,26.8090321941675,2297.19710545741,204.645934656195,4.33440349286416,"nonveg_540","absence",1,0,0,0,0
253.418970169202,-235.168565630597,-262.221471275992,-290.893178339082,299.395991750345,-453.997246563167,-510.05892824583,-487.154171342905,212.08579151098,561.381857680279,2.52230143067587,-131.168217340846,-170.385276418373,1203.46211385728,1133.25804126768,1061.0551609474,-0.492608666419983,31.0020389556885,0,-235.168565630597,590.289170089427,2.25440880378288,7.0990017740611,27.1163209830952,-12.6007209072939,-453.997246563167,-224.946439778008,-2.08225062753869,4.67180680688864,2.52230143067587,293.162555841804,-11.2645658978422,-12.8380198964676,1408.07980681087,833.314585291713,-2.7777562544883,"nonveg_592","absence",0,0,0,1,0
2887.59716841161,2926.69349958877,3413.52852892707,3895.99192874454,2319.69728178803,4991.83319731291,5412.56033350412,6184.77757555852,3683.36680527292,-6105.35922783763,-5905.77404563134,-6387.06669536435,-6075.38642634994,-5095.88322763383,573.421948763071,617.010327809653,0.00458047538995742,1.9348593155543,0,3128.70944469078,2132.58620387086,-17.711931388896,-40.041230044679,-12.2524924009636,89.2262293909482,5445.38595112598,4954.73714834399,-52.0287568429525,-11.5469559289168,-5656.672400329,-6144.84966944377,-76.5019613499369,67.1943803799236,2618.9257866981,410.541560516061,-7.78520142676023,"Canada.DaringLake.Tower1-DwarfShrub","presence",0,0,1,0,0
