"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_peakSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_endSnowfree","topo_eastness","trees_presence","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_NDVI_changeLSES","site_code","presence_absence"
1675.25186205402,2063.14987761936,1602.15140881794,3704.86625306026,4870.37432397989,-4342.89960243588,-4488.88231853964,-4373.43126581007,-3087.76380326583,1702.17295751179,0.00935770987739993,1,2015.75738366852,2089.81368631687,-58.9702600780695,"Canada.LeRoyLake.TD4","presence"
1275.65778583089,172.707015118912,40.7329639819434,2031.48259545988,2001.49176974963,-987.365635275524,-2757.23753264886,-3072.67332605026,-1319.04925854825,1710.74460052747,-0.416269689798355,0,485.442009747375,1234.92482184895,44.9096301000233,"nonveg_666","absence"
2926.2626852844,3846.33064939761,2981.35099256819,5939.7105089871,6487.46569397185,-5864.03114065209,-6098.61576964631,-6504.28400929927,-4477.48802781313,2583.83836475966,0.0193632543087006,0,3589.83355199106,2212.52982403279,-64.3762150166081,"USA.BrooksRange.7","presence"
2609.09928841699,3110.03133704485,1688.30166398225,5818.71282703318,6722.23891748652,-6166.58536125415,-6450.36091860971,-6555.51776306439,-4973.70420897835,1951.72111168672,0.0526757083833218,0,2526.6223884085,1578.89390051703,-52.2764301916037,"Finland.Javrresduottar.EC-Spring","presence"
137.040018228773,-208.462728789943,-91.6549119359291,34.8012943111093,-27.6285037082081,1349.18369203627,-397.957559102684,-658.540063111651,192.777563005656,956.237859539495,-0.38668555021286,0,-1.54013697647571,345.502747018716,9.30977694991238,"nonveg_1145","absence"
3087.41806842747,3554.17509303149,2101.77849993394,6305.45992537267,6937.88974095089,-6245.11587696432,-5333.81705702655,-5533.26013163435,-3942.97422356328,2325.20296974179,-0.0625322788953781,0,3104.70362988315,1940.10880388226,-46.5496986718666,"Sweden.Abisko.NT-SparseVeg","presence"
2870.91021445276,3183.89258672337,1422.59719054882,4653.70893810819,6127.66498716981,-6036.6351082567,-6325.31479602105,-6369.51437475446,-4019.40514075931,2256.11676637191,0.00696236089182397,0,2711.73822513757,1823.86586452558,-43.7881306463354,"Russia.Tiksi.WetFen","presence"
1675.25186205402,2063.14987761936,1602.15140881794,3704.86625306026,4870.37432397989,-4342.89960243588,-4488.88231853964,-4373.43126581007,-3087.76380326583,1702.17295751179,0.00935770987739993,1,2015.75738366852,2089.81368631687,-58.9702600780695,"Canada.LeRoyLake.TD4","presence"
2585.33036915706,3032.30708853459,1835.73786668791,4942.24173020325,5928.41624972631,-5075.36422179196,-5633.50700335077,-5824.30466082712,-4428.32238376652,2248.05898767617,-0.00112830540941407,1,2592.5827771211,1818.26351851823,-28.3674782168095,"Russia.Yamal.Nadym-2-H","presence"
845.062428765154,191.747292873188,-278.580924903397,1528.68881258684,1928.77649344559,-1537.68792633159,-2581.72423828086,-1800.89725922402,-2904.1248881188,1529.92050077977,-0.00168263993691653,0,570.246566361497,1471.54411156926,27.5917155413931,"nonveg_606","absence"
2598.84528732456,2960.39741393591,2234.08954427562,5236.41252502627,6171.16872433566,-5914.16453958569,-6262.42502634314,-6028.84385447342,-4845.84946894453,2130.89517650992,-0.00168377710118269,0,3085.38535271132,1285.09568162196,-30.7480839708484,"Canada.CoutureLake.TD7","presence"
-251.657441166058,628.26385607119,941.434530678942,2145.09266413886,3498.3277658185,-4052.06430582091,-3323.01749327063,-1650.22859653607,-1854.03796624634,1043.64054030179,-0.000548839918337762,0,976.790623262333,2524.10142361662,-90.550289545822,"nonveg_680","absence"
320.772106702626,574.610089341481,606.044615677663,1600.42250889998,1747.52011674695,-2653.51695185862,-2044.41553541471,-2053.68558040531,-1633.35470987835,919.042069848167,0.00241452804766595,0,517.842278237299,285.272508975037,-74.4580436686441,"nonveg_760","absence"
3322.80998580149,4671.1276392362,2057.47065947352,5911.17259196732,7417.96123698531,-6519.07995546486,-6508.39180121516,-7204.81910870113,-5463.99141476259,2621.20681278141,-0.00891300374642015,0,3792.88120397479,3318.20465870697,-55.4359688498925,"Finland.Kilpisjarvi.16","presence"
2722.38619689799,3991.85813336113,1799.26710401571,6254.01444464107,7265.47907564525,-5965.48534369316,-6388.86930192069,-6520.5107585864,-4882.13918866507,2382.89745308721,0.0499658873304725,0,2999.41326861199,3137.17994013723,-34.5231528025028,"USA.Kougaork.GraminoidShrub","presence"
