"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
-230.513944932755,1199.44484695848,-358.563924254685,2844.31683164746,-1988.90592274759,-1880.10826640158,1721.70018420856,-1880.10826640158,"nonveg_532","absence"
4446.83641860688,4778.1010030729,2428.12404113556,7969.11493960008,-6681.99411593189,-7097.4927611941,2234.43176936872,-6546.21072631819,"Finland.Kevo.11","presence"
11.5676352733052,-82.5158165005063,56.6615268429691,7.06620934442059,-864.941373569286,-1008.35953420948,178.482701136657,-864.941373569286,"nonveg_995","absence"
2547.45780535329,1997.03451836288,1399.80712469275,3571.52425680513,-3058.12582557599,-3068.01725088496,1147.65068066054,-3068.01725088496,"nonveg_1177","absence"
317.189813619916,51.2186854238129,-503.640240254407,942.65363640532,-1304.71039970859,-1651.63357624638,1030.31462337331,-1651.63357624638,"nonveg_907","absence"
1861.43020336531,1926.97392666902,1433.27130331087,3722.57615481482,-4013.24916039506,-4005.24616814736,874.5188926832,-4086.06720323923,"Finland.Kevo.3","presence"
2050.61311221641,3475.53262702191,2111.93829686507,7518.50751870886,-6046.29635108211,-6564.23184061512,2432.67042168337,-5531.46041706161,"USA.InteriorAlaska.2","presence"
1023.12933404401,1190.913787766,260.254201062899,2868.28944500135,-1735.7734751468,-1607.43118725966,1524.25057004371,-1607.43118725966,"nonveg_725","absence"
2470.53382258263,2734.87355906598,1823.00671395576,5214.92594431315,-5463.37282560617,-5755.49188029334,811.922282631404,-6022.32078197731,"Canada.ChukotkaRiver.TPO2","presence"
2050.61311221641,3475.53262702191,2111.93829686507,7518.50751870886,-6046.29635108211,-6564.23184061512,2432.67042168337,-5531.46041706161,"USA.InteriorAlaska.2","presence"
2788.29673080774,2934.10813515109,2032.60893372198,4969.55887582892,-5514.43696472067,-5785.95559401244,1468.43818161685,-5429.2366112111,"Russia.Yamal.OstrovBelyy-1","presence"
974.392542509332,1287.41070659401,279.906513390458,1491.3147165922,-1821.25098778988,-1470.93198405613,1007.50419320355,-1827.749845177,"nonveg_899","absence"
