"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDMI_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_earlySummer","spectral_NIR_startSnowfree","spectral_SWIR2_endSnowfree","spectral_blue_peakSummer","texture_NDVI_peakSummer","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NDMI_changeLSES","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_annualRange","spectral_NIR_changeLSES","spectral_SWIR2_changePSLS","spectral_SWIR2_changeLSES","spectral_green_changeLSES","site_code","presence_absence"
3153.03078009957,2856.34865729119,3316.55610034185,3767.06909759187,2165.43759896031,1170.75393966835,6117.58529757284,6372.7253057258,7052.52442132535,4524.01666213839,-5628.40465323614,-6028.36654541207,-6587.55540488601,-6413.79225502646,-5165.95867652571,2304.19429492001,1876.51816037741,1122.800940707,444.891950830702,-125.302440481013,-0.00917312032025722,1,2982.38549395272,1530.30529592545,20.6971692803384,-23.2654296427,31.7474572546143,-27.531765971469,2448.89245599913,-36.5351646722346,-5957.48598659594,-5820.57708640269,1115.53149317234,-10.2752834416536,-5.96766307576711,-1.36830273560185,-0.542532885491408,"Canada.LeRoyLake.TDA6","presence"
2657.99052914128,1990.75325962148,2986.68490235454,3456.0413134772,1546.0006078464,616.280944757761,5785.73696069306,6200.73079408408,6811.3364333735,3539.4112204622,-5528.6530097667,-5743.68497772368,-6234.25393757789,-6711.17694601006,-3869.57654176566,1995.17506236119,1737.0512689672,1025.1038504557,347.852945030411,42.9414007160128,0.010760221692423,0,3477.13251737434,2647.54856588873,75.1409642837015,-58.1016760824651,-7.71605546203679,-63.5503681612485,4279.61071697428,-87.943344995968,-5307.87286857731,-5202.56895389379,1996.48092171452,-26.5016260780485,12.0870360953819,-7.40813124348597,-3.60732523352011,"Canada.DaringLake.MediumBirch","presence"
2425.88393483134,1996.27508858617,2377.41705677134,2942.49732296661,2318.28390030911,118.282841409287,4684.67886693793,4667.2317125562,5442.02030028776,4289.60813627369,-5482.84746061101,-5933.23886015571,-6597.59295373411,-6361.05124686264,-4286.39815343626,2104.04766854371,2263.2756719255,977.608541467571,393.303776680556,518.202955309609,0.0273149888962507,0,1978.06535755175,1900.58683131871,18.7596325919568,-21.4253278758284,74.7660243220929,-14.6293057655358,2829.33056506417,-34.1239790016545,-5933.77627092553,-5933.13251609451,1222.68343326673,-2.64782395267185,-14.1181043752766,5.99156204022895,2.38125035837465,"USA.NorthSlope.12","presence"
3068.77503024061,3253.0040309795,4070.92871625775,4212.85789356673,1630.34026884233,2642.37829268712,5924.54023540806,7280.52853335617,7370.9505309913,3681.8682832679,-6124.75528939402,-5734.39163623072,-6360.92086001775,-6986.9092922556,-5036.30978626332,2269.9816184391,1609.18179459342,950.730688473308,356.442673235454,176.486725918576,0.000723462862273067,0,3334.40703214034,3140.35289117949,58.9365689848226,-24.632622606421,78.6457269349746,23.2830312501236,4640.71251973524,-11.002593365219,-6010.15649059275,-6159.80261305896,1934.84393376423,0.716187561133615,-25.3992092451349,29.6768243590082,22.8092189535047,"Sweden.Abisko.VJ-Wetland","presence"
39.6108895812075,281.174794552703,519.547812636972,179.327093283678,-184.013632477921,-5661.14118194799,414.8839208445,1252.50395624265,991.817339753844,-606.989320470514,-1019.4154645934,-1184.83302961602,-1299.93366510112,-2013.24561001442,590.589210417664,997.086362951026,1774.08091219823,2081.08903369748,379.369318865842,-6.49415353532221,0.0552541948854923,0,179.327093283678,703.561445114893,6.77650066845845,-10.8351371856486,-41.8128745480798,-10.3154757687494,1859.49327671316,-18.1501620604329,-1184.83302961602,-985.367711781456,2603.83482043208,-2.7760363977399,10.3669345651702,-10.2627339458617,-0.85789555259785,"nonveg_903","absence"
2399.78806982378,2648.90780122423,3160.6481234355,3596.73522750262,1772.43803543253,662.657397043466,4593.72000387442,5906.19276361055,6508.5504934339,3248.50264721431,-5632.51667173399,-5398.11873837058,-6161.45226787284,-6229.94050891866,-3759.77091345954,2138.23486433389,2109.01448218398,1099.378328016,458.784536808069,254.794066492392,-0.0554382167756557,0,2754.96765833597,1997.76104129903,17.640442525981,-19.2924515669633,46.4016273431489,15.333402264091,3396.637905828,-31.8245944412176,-5466.86776015629,-5351.18712361808,2418.45072483508,-1.89190118163331,-13.2700192921505,2.05667065536335,5.05056747937074,"Canada.DeceptionBay.BEGL2","presence"
114.738221322588,890.519026775804,417.341387242494,156.560813817816,287.202049736907,-2493.81458597996,388.869925181223,828.011934958896,451.274385603582,471.134893509418,-1561.18783878557,-595.411634784261,-1405.30696714715,-1847.38149749953,-509.315043141611,1731.33782478704,1916.69380586214,2528.15530731157,967.076307082971,-846.59264867447,0.219207182526588,0,287.202049736907,775.780805453216,-10.1449310831953,59.1472049416638,-13.8021810957152,104.870819154393,1099.25276304167,82.5138441579994,-1405.30696714715,-1183.72059627162,1338.06645435792,40.966053712235,-7.81377829942369,10.264993787541,23.7460962113913,"nonveg_578","absence"
1127.82127577679,218.015027441982,1168.48414560101,284.165497117929,-267.734939687474,-2257.0100053549,1502.08915184326,1575.79800496423,470.713347167132,-264.353628907922,-1316.1494548635,-2221.31825909321,-1177.639614331,-2080.25356188301,-2431.77950252239,3022.06870802091,2166.14290699093,3149.17040746899,1408.25356619424,577.673090423377,0.0421751588582993,0,284.165497117929,1436.21908528848,42.289582286796,-316.823039386343,-39.8773568322656,-488.3873356063,1840.15163387216,-397.116010156751,-2080.25356188301,-1845.42807853862,1254.13988819139,-207.914540154678,84.5351430997158,-101.762348014749,-97.5278660115354,"nonveg_624","absence"
485.511177757971,437.352164596328,460.275348407725,1271.82919731503,196.192193709726,-913.79590903471,925.337626131138,862.814012322541,2083.64580714916,-769.431878255364,-2213.5745379226,-2511.98420092896,-2865.55211785341,-2633.39828845312,706.458074690208,1948.30452191367,1305.6158866672,2610.16722940579,1094.95923580005,-137.091873481809,0.000872678123414516,0,460.275348407725,1075.63700360531,15.2273149499076,-1.14615919056987,-67.8741801283805,19.1028918074161,2853.07768540452,2.12357103115715,-2511.98420092896,-1903.61021409358,3572.01019254361,-18.0084841464004,3.6629218012392,-36.1432872046109,-7.03155628727769,"nonveg_1672","absence"
212.354434345159,270.970151375636,-55.3301291094351,-256.251101986425,155.935822743461,-1991.74212026337,356.922266716446,29.0785722517647,-187.244426166388,215.546508272266,-781.372159776392,-578.575927883431,-1129.62601698673,-1470.30207096719,-708.427187015259,1650.6049891727,1729.93429698704,1899.47609004468,825.517478120451,-479.972137539415,0.244417130947113,0,155.935822743461,527.221253362061,1.56718365560272,17.1736989728985,-25.3576079336306,24.1506538488925,615.474883556265,21.0079939546375,-781.372159776392,-933.660672525801,891.726143083763,12.409919271618,12.4253996824373,0.569669887512311,6.07007380939252,"nonveg_703","absence"
