"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_lateSummer","spectral_NBR_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_endSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NDMI_changeESPS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeESPS","spectral_NIR_annualMean","spectral_green_changeESPS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
-315.590582293218,327.504753315234,745.834625981055,442.50479847408,628.016135682609,-1801.41764658483,-2130.98609165982,-81.6156637723202,718.453295163965,1340.59223340659,1012.4896873608,860.54286076186,-1594.55988445674,-880.046244244414,-649.829851292534,-1119.14299475963,136.888678781365,909.621245652464,28.9719467163086,0,442.50479847408,365.653946231952,1061.42520827427,-31.4535572658609,24.4546897021709,-19.9204701269439,16.1134877089247,15.2400411783638,860.54286076186,770.092482584179,1422.20789717891,-880.046244244414,-821.338059194389,15.3360286999069,1002.36242703499,-1.48533135570195,"nonveg_932","absence",0,0,0,1,0
3278.17248488237,3655.54640548076,3764.58135460806,3822.42249684679,2347.25542563979,4674.07945963831,4351.86852162672,6004.3931426305,5900.32327423737,6387.09797463702,6521.93781170658,3882.73092644468,-6144.13964866205,-6310.54690450904,-6186.2148758064,-6484.41395467017,-4682.68665318779,2732.16589868937,4.67127385139466,0,3655.94107500326,3339.70083119052,1435.07091032175,22.2263734280854,15.2781233902412,10.8192055783709,20.8160664963013,18.8712964608867,6067.07466343785,5547.98896724542,2280.52929851154,-6407.911580478,-6150.68840464825,-6.36912886993733,2580.77854215274,-1.98768230434338,"Sweden.Abisko.VJ-BirchShrub","presence",0,0,0,1,0
876.661866122025,651.195687666643,882.634389689319,1400.81767060587,798.674993974274,-1201.40870714543,-531.485435227904,1397.49521385654,1083.01757582167,1424.85493490879,2207.51189082507,1217.04114528725,-1698.24138549406,-1871.30120294577,-1832.0012525555,-1183.04366463598,-1096.37716478346,2238.96016099358,1.70387876033783,0,876.661866122025,921.996921611626,749.621982939227,2.51570555315325,16.3798688901202,-12.8577056679265,21.1197029846148,18.6150651384715,1397.49521385654,1465.98415213986,1124.4943150034,-1698.24138549406,-1536.19293408295,16.099928776815,2513.31497828528,3.45530424037889,"nonveg_849","absence",0,0,1,0,0
3268.34256161301,3253.49656937882,3967.05277907348,4471.9496862837,1890.43482846785,5147.19927694951,6014.19068137158,6201.4259679463,6244.46316302038,7073.8600014141,7852.54786687013,4099.6469398059,-6539.19687264351,-5866.68635984894,-6962.49241205355,-6959.99421034237,-5643.41636942252,2513.65970884845,3.71982701619466,1,3358.59196345478,3251.86251764168,3109.22144527996,60.247845494665,41.9930993690325,-25.3282207756617,87.4189678963676,83.0267666615243,6512.81258797942,6116.09907842797,4737.00009415707,-6147.39261159278,-6066.75770881911,-24.8962185847419,2270.50205060102,16.175567776063,"Sweden.Abisko.VJ-SalixShrub","presence",0,0,0,1,0
3151.22389626495,3544.42186742493,3736.78686525929,4507.49073981651,2360.87307602061,4218.20095048551,5081.77075574254,5553.96053077063,6096.06654744751,6266.76174242707,7283.11079891067,4013.14206097583,-7066.02339856057,-6213.4211185854,-7543.17068509741,-7247.70378076653,-5247.36744774772,2689.43148919652,0.478866600990295,0,3296.7540858409,3336.7687588094,3298.14875064898,49.8324111410737,41.7828319325091,31.7800913529228,64.6633658686366,56.9321124873599,5724.46973257445,5686.6632462854,5209.56525470758,-6877.36933894179,-6817.02003062509,1.28606021214882,2506.71990228712,3.28626538716507,"Finland.Kilpisjarvi.16","presence",0,1,0,0,0
3185.18163319968,2538.9284461911,3439.32046620126,3723.26692118935,2607.53613153409,4430.49449008864,4555.52359051563,5862.7484485569,4842.62634484466,6186.43055337721,6660.40181623817,4912.24739407485,-5752.87289941037,-5826.59429516864,-6053.67736643421,-6321.48158935713,-5267.05243978675,2175.0309391797,0.945201595624287,0,3180.88925067218,3133.7692230913,1528.66039479177,31.673627022206,16.0970103150369,-27.6456879698098,25.4001490699969,20.5138306745946,5951.45479984659,5852.4978558556,2276.24395808258,-5221.81659228526,-5315.17212836277,-7.55433018421994,2423.15574572088,0.733896817208276,"Russia.Tazovsky.Burned28","presence",0,0,0,1,0
2114.31985083231,2212.45715622803,2227.71068189781,2516.97679847405,1631.08904069879,1437.71623387195,1682.04351483206,4319.53238165322,4546.5001337768,4687.44814794862,5143.85941263124,3419.15399482378,-4496.66456447342,-4857.5742416028,-5456.95435860536,-5235.65526064723,-3478.72856175858,1976.35308094202,0.724423984686534,0,1835.51897158901,1928.03969247584,400.504150712787,-10.0933935792499,7.17319458894279,3.8554543026268,13.7738979369849,9.79318035585733,3807.27220507534,4076.09824404723,1112.36994707647,-5275.02769749492,-4831.36193478477,-22.712962447572,1852.14685897092,-1.69261000295243,"Canada.PayneLake.TD0","presence",0,0,1,0,0
2852.93792308052,2724.29669354346,2981.0413833654,3099.5164873418,1793.6482898691,2966.20371842067,2886.29466024529,5106.46490559557,4931.38303448579,5386.8112077786,5596.70270952221,3249.82198312743,-4849.53483997916,-5454.12536265155,-5917.53657909199,-6144.90815834214,-3432.49499617942,2356.92508901193,3.05490933524238,0,2889.51799077015,2894.28896553553,2173.13299616107,40.3768660374773,16.8108443878139,3.81521625160208,23.9952097729659,18.9144160324944,5349.77268174577,5322.29568839948,3405.20392718264,-5963.49410458787,-5811.91605457358,-29.8847545035828,2290.64223376211,-4.12109349750213,"Canada.BonifaceRiver.LSA6","presence",0,1,0,0,0
19.5187771005413,586.447248232771,298.148315749465,618.19040503903,767.901488325086,-2672.12623268042,-2455.42046381513,674.822796914629,1289.92440401934,1184.01186643704,1565.873607475,1159.5905500456,-1639.08736806997,-1013.335540393,-1613.81023472774,-1315.31278832286,-318.748503610203,1282.07499960832,9.87068748474121,0,586.447248232771,458.041246889379,748.382711224545,-32.5383787488933,26.0292012147169,14.4149466241653,9.22053927553199,6.81526818255323,1184.01186643704,1174.84464497832,891.05081056037,-1315.31278832286,-1180.05888702476,14.0771556411788,1248.77012114639,3.97140085930156,"nonveg_874","absence",0,0,1,0,0
1177.91032157895,1231.2515692941,1000.06026863137,1325.56512938386,716.678939111931,-1304.55510493905,-873.362150669843,2238.48624075019,2360.86006120369,1857.52245805118,2490.89125313313,1122.3963400204,-2409.89349321431,-2698.39444451698,-3703.34591964405,-3301.89797261718,-1295.31862801997,1951.4855380065,5.74790903925896,0,1353.00980775828,1197.20495744328,781.531757625628,16.6831315477412,2.85516239289949,-23.8297266462086,-10.337030579626,-8.83205809003935,2569.10249327206,2187.35572308734,1847.8266999783,-3754.62825965847,-3304.76696812468,-21.0071183280853,1809.33777059999,-5.66025848244275,"Canada.Ivujivik.TP12","presence",0,0,1,0,0
-271.134801035592,-163.45403115252,141.477992220889,318.881607068287,-6.96124513702362,57.359425578724,537.681902950189,-191.359315869179,-60.1515095949298,404.211939009702,564.819678843399,135.926884996589,-1152.77510282592,-956.136375560124,-639.82820379345,-497.026757979453,-857.83776352342,746.747195170859,18.6197967529297,0,-6.96124513702362,3.76190439280805,590.016408103879,-20.3210427614284,45.3858775464522,-8.96858892274731,51.0429456368943,41.1490201414339,135.926884996589,170.689535477116,756.178994712578,-857.83776352342,-820.720840736473,50.4421803728048,983.768247162838,12.7044802679988,"nonveg_1268","absence",0,0,1,0,0
377.878434322054,796.024898748093,-44.8731562777684,644.753945045007,616.065690091017,-3935.39331973218,-3050.27951728859,1198.78128567213,1719.03608852605,777.127381388202,1667.40139676165,1294.25961946041,-1922.30467667691,-1292.95242870456,-2752.94330442101,-1762.37327621187,-1202.91349702683,1228.98867816968,0.798784077167511,0,616.065690091017,477.969962385681,840.898055025862,-8.82175021366531,9.88427817492416,40.042764525041,14.8984254328105,12.3484033612847,1294.25961946041,1331.32115436169,941.908707137852,-1762.37327621187,-1786.69743660824,5.92338520240879,993.531264119295,2.92798447184242,"nonveg_968","absence",0,0,1,0,0
247.279929028137,25.5763729521697,124.129104011819,-365.294286670141,143.582860028339,1902.87064793675,463.096928808401,2651.88137244964,4231.66182794459,1937.65172987,1514.97311509466,1728.34628608881,-447.097475434512,6314.04042881612,-691.191948882536,-2392.71210898595,-139.477180622267,315.931702771026,18.2353954315186,0,124.129104011819,35.0547958700649,612.574215698278,4.93795566665706,-29.170200747537,-3.94210924238599,-35.7573982030989,-44.0003309879068,1937.65172987,2412.90286628954,2716.68871284994,-447.097475434512,528.712342978171,-92.6483158834018,651.210171042372,-18.1624723787467,"nonveg_851","absence",0,0,0,1,0
-70.8306741244438,705.467454771718,449.526090166403,697.332482347964,568.93267639306,-2838.06940087253,-2628.07055480099,724.136676091732,1819.32161719786,1591.2298133147,1914.56392717831,1290.20754401915,-2954.23152723143,-1946.77883100672,-2571.95269157823,-2325.31702609729,-1495.81650520866,1172.05394526937,1.75999760627747,0,568.93267639306,470.08560591094,776.298128896162,-26.6568062715627,30.7265262588963,15.0553743885479,28.4422509457373,26.183342913059,1591.2298133147,1467.89191556035,1190.42725108658,-2325.31702609729,-2258.81931622447,25.1565800453656,1077.99205423536,3.47042962548662,"nonveg_913","absence",1,0,0,0,0
