"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_lateSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_earlySummer","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_annualMedian","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDWI_annualMedian","spectral_NDWI_annualRange","spectral_NDWI_changeESPS","spectral_NIR_changeSSES","spectral_NIR_changeESPS","spectral_SWIR1_changeESPS","spectral_SWIR2_changeESPS","spectral_SWIR2_changeLSES","spectral_blue_changePSLS","spectral_green_changeESPS","spectral_red_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
259.50355229476,589.910532004387,318.494923864489,-134.110297105633,585.124757871334,-2279.10398681922,510.18409479737,905.967343901805,87.4672849177468,832.782348535124,-1763.06480117447,-1533.47986587259,-1887.91749001694,-2415.3574562968,-1016.46054724249,2426.30791180179,1.57385766506195,0,318.494923864489,323.784693785867,724.02082911002,-11.6293287705919,-2279.10398681922,602.287925076203,587.73779944565,-1763.06480117447,1398.8969090543,-23.2961662543689,-11.0603392371318,-14.2152083415808,-13.1063537592978,-10.0953421014462,9.74239687716358,17.0430704774883,-9.81848199959564,8.93314928604173,"nonveg_568","absence",1,0,0,0,0
143.484827921185,143.062077813218,-154.13026377225,-57.1086401973663,366.910089180093,-4498.49272895794,927.383691954596,869.504048662711,802.758176465678,937.874356342032,-1960.33948897912,-1922.76174162434,-2621.22983195379,-2554.1237617,-1044.67178759062,836.824210550351,1.21331322193146,0,143.062077813218,88.4436181889759,521.040352952342,-10.6392981551861,-3956.51256409803,869.504048662711,834.068967463422,-1960.33948897912,1576.55804436317,-28.2754415581369,-14.8138379896062,-11.2317426941873,-9.62582757374165,-6.84217610549786,7.29533453037202,-0.279855085465457,-7.58346311569812,11.4785870451255,"nonveg_684","absence",1,0,0,0,0
3182.65839150313,2334.54602998927,3284.87521751398,4226.59144585461,2183.39563846309,3523.4088038547,4884.94600380537,4019.87275714008,6646.77164903006,2972.88294691277,-5871.13495186208,-5522.85384352408,-6231.20142819056,-6823.03376402685,-3893.57277656434,2910.38139060698,10.4376626756456,0,3212.03228123443,3171.52064568063,1788.85879229649,41.4673264091282,3520.28730274954,5735.83292466594,5129.36260964219,-6072.24447317464,3173.3373499225,-63.8259939638,19.5186914448812,-8.90377075571396,-14.9942984740032,-16.0874410081321,2.50568575199372,2.61957043571751,-6.5965083977279,-2.64121659178828,"USA.InteriorAlaska.AMSUMMIT","presence",0,0,0,1,0
2295.74690479445,2354.86234612782,2717.79938448411,2629.17280286401,1467.80192744064,3228.96307159201,4046.20262023694,4432.77738347895,4724.72314702019,2721.44215792314,-4624.6926886769,-5244.8158427926,-5136.33866023158,-5434.29145694192,-3432.15273856838,2337.0829103208,0.355103363924556,0,2264.70413699714,2149.08024754026,1031.57651227181,20.2972509527856,2287.83002483986,4145.64282194838,3925.30610959596,-4892.87936506581,2262.09729974375,-23.9033290918843,1.06227290111549,-0.149825978278715,-9.65205448895819,-6.59261308301177,3.43379954833476,20.4999798155426,-4.13990293486745,6.88028513010155,"USA.NorthSlope.Barrow","absence",1,0,0,0,0
2324.10781471455,1431.320199838,2511.91228710573,2266.81563466205,599.291642007981,2141.60340338635,4363.02845755462,3275.47759059759,4508.37931005927,1762.58170854081,-4379.82407509215,-5085.66724082474,-5283.40262860291,-6106.86466473533,-4579.44920718057,2187.28911239945,0.676737904548645,0,1675.92365278496,1729.71360624219,1783.30731768197,30.9187091382849,588.503741692201,3477.12307346128,3630.569410193,-5289.29885056635,1476.04034901995,-24.1499623338744,14.9195407683413,10.363326475122,-0.401558470280648,-4.10038548736596,2.75516753979415,0.442726718191121,-0.383556250185162,1.06567062059365,"USA.NorthSlope.15","presence",0,0,1,0,0
-124.740777714698,92.0030524648344,113.450664358897,193.08118989602,-161.494252583912,-2466.37589800427,111.758966541169,585.384132647963,837.346833844246,-610.039623068558,-1110.59381910449,-1302.89797024229,-1356.77406491237,-1620.56390481711,877.78202873276,983.431479928439,29.5847072601318,0,92.0030524648344,22.4599752842282,354.575442479932,1.2251158289738,-2466.37589800427,585.384132647963,319.267263299331,-1302.89797024229,2498.34593354987,-16.9990028570874,-35.8966238040414,-9.84727814548918,4.96339166434589,3.03224349906561,-0.921165722275882,6.43677164698552,-17.5346062315023,-7.9043693710095,"nonveg_721","absence",0,0,1,0,0
52.7029303134488,478.371500978098,687.47142600912,1101.49808231393,-86.5713243530537,6876.85425369485,295.17229020447,954.896831716377,3208.85900110843,-2418.64438177268,689.59336522165,673.352442549401,-727.710767740404,-787.37144933797,6572.60566864354,487.674013654481,0.0862445905804634,0,478.371500978098,446.694523052308,1188.06940666698,3.3969330406464,7048.64588050094,954.896831716377,862.309643677397,673.352442549401,7359.97711798151,-35.1658289180862,-2.07150014047998,15.5543624234305,9.14767714153657,4.8673110450853,2.08328243434912,-3.98592173484819,3.96373937930821,1.85031590098704,"nonveg_1794","absence",0,0,0,1,0
3103.55651206198,2673.07168230883,3362.04618561223,4044.39655086772,2272.01671948985,4014.47086458567,5433.76157834527,4976.26553747833,6656.86601148142,4160.4963421216,-5882.31343085964,-5735.66608732225,-6254.93196109902,-6105.17446368884,-5078.40608800793,2522.43773498207,3.53450492620468,0,3256.13341669477,2761.02053146108,2883.77898114793,87.6381030951527,3615.08927043266,5554.02132525823,4903.3303997196,-6594.86816730617,1464.34156552498,-43.4193974819243,45.0771669584516,0.194846232464382,-13.1989095449111,-12.4248198294592,9.11731186406305,0.788609411962932,-5.96705480487029,8.65073007067551,"USA.NorthSlope.HappyValley-C18","presence",0,0,1,0,0
2309.08948097246,1827.62375148748,2678.22670956832,3209.8521555587,1472.95121564192,2641.12976790935,4255.89936330268,3728.70324353439,5498.45559118017,2886.2482412366,-4981.67949661557,-4994.56119844518,-5439.29319897221,-5563.43511381894,-3946.0311131118,2244.07542813312,1.43252470493317,0,2319.07590024771,2363.99679153867,2226.05849470372,39.6213417178219,1992.81528497871,4278.12178366012,4363.38543557627,-4961.24617804662,1040.14610590694,-16.6309019089996,21.3634774716413,15.7867061921914,2.06928269703745,-2.90455677490941,8.59059495008485,-1.77168678574696,1.17581611260332,6.91562268288081,"USA.NorthSlope.Sagwon-C15","presence",0,0,1,0,0
996.633411092598,1125.39391664293,1245.27529431662,1239.23941700679,536.829305634398,44.7862236060227,1765.170956798,2024.21160685702,2222.0649338507,948.340973471925,-2332.70433330241,-2403.76124493117,-2481.28724255994,-2618.9010094561,-1694.53030956919,2170.37743033028,1.86813396612803,0,1109.61109317324,1081.69880320162,1459.00942854609,36.714051816062,-301.11095732661,1945.174664535,1832.88996782359,-2043.56392351394,838.338902520941,-19.7352335503666,15.2525156593514,-3.91371821435508,-3.98480941353469,-2.9928391717888,-23.9659938524188,24.1976199942179,-6.32706715370477,-9.82887158042584,"Canada.PrincePatrickIsland.MouldBay-C00","presence",1,0,0,0,0
