"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","texture_NDVI_peakSummer","topo_slope","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeLSES","site_code","presence_absence"
3249.79412691846,3386.36504422823,3710.30673360007,2145.08976703455,5750.10683546175,-5135.37437558571,-6033.78568274876,-6854.55519431053,-6006.49444583031,-3359.53340174669,140.85352250023,5.53901608784994,3094.80611029666,1729.49684734736,-31.68131681816,"Sweden.Abisko.VJ-DryHeath","presence"
2139.22948991216,3324.0988073003,4018.26820671236,2168.40755336839,5592.95795609282,-5803.64430104359,-5686.45598354138,-6086.80406585022,-6415.80750688887,-4360.23263296763,175.217893854526,1.41992700099945,3428.03741783311,1804.1112190896,-31.6514266059606,"USA.InteriorAlaska.24","presence"
883.184375289378,839.135444458672,1199.30929528458,-59.1474229869347,1101.80829097758,-671.763528332537,-1494.41789435877,-1583.07170827535,-1221.03968456996,-2088.44933438887,-785.442633516732,2.24559330940247,883.184375289378,1655.35367527961,6.29270440438665,"nonveg_643","absence"
2477.89946605232,2356.32824715856,2665.80513134141,1899.39432156893,4961.84908099686,-4673.28300150432,-5035.37584985942,-5568.05992808448,-5488.57217699342,-3648.93448202266,257.307450463091,1.47370205322901,1826.58303269259,1623.08187002234,38.1852789315449,"Canada.PayneLake.TD2","presence"
4073.41360292326,4541.7201564624,4908.13194995209,2650.40200335637,8262.80892828148,-6752.13655665183,-6545.45371080673,-7254.84138682039,-7440.59558753465,-5802.42944454936,-21.2590782810604,2.06159687042236,4390.72499460672,2310.47253233515,-3.5168875419202,"Finland.Kevo.14","presence"
-414.142558265493,276.184482742648,144.878922291416,-372.900645307351,511.51169268794,-621.725392587496,-1241.32730640424,-786.674986096945,-907.735354219043,-58.1642064410651,662.694448373849,5.54349136352539,-200.17248781614,690.327041008141,-69.0327041008141,"nonveg_1213","absence"
1203.21273540304,416.377902193672,295.480538194632,1044.02631358197,836.725650281956,-2749.99275291349,-848.03055481782,-1839.25914146345,-2093.53615212308,-662.789803506621,458.962207244556,6.09246301651001,416.377902193672,1598.22954216418,157.366966641875,"nonveg_674","absence"
4385.55609528943,4697.0695036925,4900.03116315882,2458.12594952106,8037.79853608344,-6953.65952479885,-6431.64028444834,-7267.39258219179,-7664.70349881839,-5976.89435388312,-318.533854917507,5.17547187805176,4264.70637354786,2722.36676887474,-19.7993481825784,"Finland.Kevo.4","presence"
2346.84568066051,3696.56379387663,4030.6240865561,1837.1393672187,6132.61890526063,-5348.58128890272,-5425.54049891084,-5631.3471321121,-6542.57599512869,-4234.46258601254,363.200061692041,1.35831093788147,2802.53012588947,1977.68196444177,-48.5429325799691,"Russia.Kolyma.WT1","presence"
2570.87475904147,2799.3317422135,3586.34870194591,1506.58877940856,5723.34541904721,-5764.68274541827,-5899.95306543323,-6780.71255527793,-6279.52584423429,-4983.03549427919,-343.779780007796,1.56544415156047,3137.34476732039,2244.86255454222,26.676730182196,"Canada.LeRoyLake.TDA3","presence"
3147.87678922154,3646.04604038865,3587.54828228079,2412.46339135348,7681.21327168522,-6293.02021881685,-6753.92064843379,-6738.24990701253,-7209.28673788547,-5734.57170285195,36.9246825800758,4.07104172706604,3217.49743199224,1300.88919348717,6.64790202140196,"Finland.Kevo.6","presence"
13.3707643202578,431.042260862333,484.24006482312,489.412609437789,1091.15377888685,-1501.02306938297,-1522.1810252708,-1306.00760751491,-1402.55527520922,-296.762353772491,-60.1617817928847,5.99322652816773,431.042260862333,476.041845117532,-32.1285766570827,"nonveg_542","absence"
3221.66296707766,3964.96100918013,4053.76748935598,2337.94764062319,7177.20464527018,-5989.8370192755,-6115.99608163324,-6521.67238607743,-7123.98514583394,-4574.47225243647,133.725674517983,6.60867436726888,3608.01178559423,2123.78659522749,-52.4425714204193,"Canada.BonifaceRiver.AB2","presence"
626.727589735904,710.243443574123,578.996755513399,325.746820839672,972.663537022137,-1376.78159286928,-945.888594138797,-836.271528933658,-1005.030285239,-1175.47338510368,-504.184327087607,1.80528426170349,578.996755513399,466.903053607717,-27.838617946073,"nonveg_912","absence"
476.869316836004,364.773793127577,1179.82406738063,-173.644912037481,757.127846888972,-2105.77196744146,-2476.78825241721,-2950.6105704981,-2715.34265014062,377.062685754702,353.436327205306,0.182796254754066,476.869316836004,1353.46897941811,5.60477618542138,"nonveg_1672","absence"
90.2950728727785,428.681540029543,700.485184495738,365.832779332257,834.567515876481,-1108.20075455073,-1388.57672646183,-1523.47003241137,-1333.77710587743,23.3405656225607,-499.104586025847,21.2400760650635,428.681540029543,610.190111622959,-19.9050863033391,"nonveg_923","absence"
