"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
1500.6514834496,1631.56019810766,4602.24335103009,3169.04037083998,-3750.05038392373,-5017.92016548688,-3429.19049083145,-3474.6134600694,"Canada.KluaneLake.Gladstone-MixedTundra","presence"
-185.199952000898,-226.880904120542,2974.52948356877,-2569.99091378012,84.7384864440719,-1043.90583339996,84.7384864440719,1034.83287196162,"nonveg_1794","absence"
886.514678321184,1459.57373037351,1181.47244820626,1067.28618245239,-1995.97105412648,-1264.76180626138,-1691.57395180168,-1606.37237349665,"nonveg_647","absence"
3251.12937342847,1941.8783515058,8090.91001317691,4157.17586761389,-6202.19995762158,-6977.11431566913,-6162.19866087176,-6308.31079579589,"Canada.BonifaceRiver.AB8","presence"
2521.05897489494,1910.46318441378,5521.62424409117,3111.08780774162,-4526.98045224193,-5179.70519651867,-4176.35254519306,-4386.67184385583,"Russia.Tazovsky.Unburned28","presence"
2682.96726293072,2212.74340658329,6232.76934956293,4675.0695957249,-5974.35939240319,-6666.29952340107,-6472.94127001864,-6461.20878417056,"Canada.LeRoyLake.TDA6","presence"
616.348666572043,-53.507921898721,-99.8571955541063,-604.997418948213,951.777040824197,-55.0409125156103,-55.0409125156103,198.501949942568,"nonveg_1161","absence"
2055.89342854574,1429.98756345366,4515.91177797211,2847.17024487517,-4854.58887297941,-4853.47407597476,-4199.64992361869,-4377.37381196326,"USA.NorthSlope.Atqasuk","presence"
-393.828708800952,1151.68912522637,881.880017465937,1649.0785942644,-660.18981059694,-1085.20869020049,-863.838045455075,-759.554883739176,"nonveg_931","absence"
-266.365341063044,222.668176978437,741.008163413539,415.376854431583,-2330.15755989273,-1448.65861431011,-1381.81656728242,-1560.85108893398,"nonveg_956","absence"
1500.6514834496,1631.56019810766,4602.24335103009,3169.04037083998,-3750.05038392373,-5017.92016548688,-3429.19049083145,-3474.6134600694,"Canada.KluaneLake.Gladstone-MixedTundra","presence"
3054.78923794455,2272.04987410108,5465.83744960583,3910.60561230179,-5109.60223379494,-5499.07076384105,-5262.7471846731,-4988.93954787786,"Finland.Kevo.8","presence"
1843.18545050943,230.676490441692,1444.20107506753,654.534285946935,-1361.3166926781,-2496.3798077387,-2496.3798077387,-2318.09770231977,"nonveg_561","absence"
2643.91057128681,2130.72677563859,6028.78428214806,3970.37116075438,-5375.2444917154,-5958.64137546215,-5435.44010893638,-5349.04226042357,"USA.NorthSlope.Sagwon-C18","presence"
2631.06609591615,1931.29421055345,5865.22933067389,3711.50291967631,-5593.40582635413,-5635.144838136,-5626.60268592714,-5439.67161941705,"Russia.Yamal.Laborovaya-2","presence"
528.845165799627,114.268967321002,170.681193210554,-1393.53526693124,1991.02287836842,2336.58061457131,1991.02287836842,2041.46615642598,"nonveg_1677","absence"
-90.863697261968,383.380426691167,1168.16614846778,507.803320279068,-1144.5958483667,-1047.17321575339,-1047.17321575339,-977.564435972037,"nonveg_1340","absence"
185.930606962368,-171.548777364521,1369.66119670698,-1176.38999523728,-2735.9127913182,-2495.19621727663,-2495.19621727663,-1972.056291845,"nonveg_1672","absence"
1145.64608879869,849.105446501072,2179.52191913631,1364.38666576145,-2429.50635359489,-2551.0081009897,-2530.58822416893,-2258.62697209956,"Canada.PrincePatrickIsland.MouldBay-C00","presence"
2619.05587251539,1233.0559499007,6097.09701192931,2061.59843010086,-4785.99971408333,-5549.19530359855,-5351.38266802028,-4990.91602891287,"Canada.DeceptionBay.TH8","presence"
2544.71615418786,2251.43087659486,6696.75944582293,3883.22308414134,-5588.49995681664,-6282.35204985112,-6066.03923229621,-6090.91049482544,"USA.NorthSlope.Ivotuk3","presence"
708.713740807028,1143.55375199639,1799.7422202706,961.045152960987,-1228.53552349772,-1168.86821352707,-845.228883941168,-930.432866117377,"nonveg_700","absence"
2313.61872320853,1791.81954256261,6698.73045909527,4162.94592681936,-5455.46672926701,-6411.17090227778,-5376.17632977066,-5078.27022091409,"Canada.PayneLake.TDA3","presence"
2147.43075361797,1873.0203759247,5144.1518585182,3246.17671963908,-5849.15580811882,-5760.97958591397,-5498.87557176919,-5431.73211898822,"USA.YukonKuskokwimDelta.6","presence"
3159.06775098346,1362.73998191949,6217.48744274306,2452.86876053219,-6015.92222597856,-6217.19099450602,-5085.7130600498,-5222.99310315225,"Russia.Tiksi.FloodMeadow","presence"
-190.530947223995,182.042080432557,1314.44828119239,-521.035758078055,-372.432683802573,-89.3627233015444,-230.761301112391,273.835883758896,"nonveg_1547","absence"
560.52087043192,468.818171877681,1630.88030014547,1053.70394874771,-1610.0258834758,-1877.73545860695,-1610.0258834758,-1632.75856999334,"nonveg_769","absence"
136.497576752724,343.93127084111,722.49017751977,459.912243538751,-745.180931228195,-367.066068089625,-603.188350063272,-640.072554203884,"nonveg_703","absence"
2402.47287263741,1922.3686475012,6706.88348476882,4150.97987459023,-5867.52331530427,-5934.054522132,-4993.06693546214,-4867.49522095836,"Canada.LeRoyLake.TDA3","presence"
2204.49837585144,2387.2814429853,5862.89606070934,4091.30618134239,-6095.89120371993,-5485.16802435392,-5399.83058013547,-5403.09156395858,"USA.YukonKuskokwimDelta.UB6","presence"
3235.16642785502,1611.80611331902,6208.26566611204,2563.71141740959,-5680.98334784888,-6047.58199032537,-5616.0066976221,-5466.82253500474,"Russia.Tiksi.GraminoidTundra","presence"
2331.29434118226,1034.23201124412,4694.78001581525,2028.1781345166,-4052.39096809424,-5580.84959510424,-4095.45896566408,-4435.00303393469,"USA.NorthSlope.13","presence"
