"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NBR_changeESPS","spectral_NDMI_changeSSES","spectral_NDVI_annualMedian","site_code","presence_absence"
2724.73929185173,3834.8978849705,2086.14393240088,-5966.8105933354,-6015.83970988095,-6312.34406196256,-6443.44034469151,-5460.04380972741,-0.0249352292157709,0,2905.38086562271,2911.10296446111,37.0023054500754,10.2856944032907,4914.20619680275,"USA.YukonKuskokwimDelta.72B2","presence"
612.781297922007,384.031974526947,738.650908684413,-1600.60688058372,-1623.65382163334,-2371.06775118788,-2786.50232440093,-710.959685445222,-0.0403756946325302,0,612.781297922007,495.341298672399,-50.7180158402229,-66.3865364670594,1025.01587771789,"nonveg_866","absence"
2660.60782992208,3067.02796073336,1840.42011276461,-5560.37404707035,-6236.80503255871,-6812.68094142205,-6443.95031650068,-5033.20874620335,0.049623598344624,0,3010.10049830081,1917.93336757144,-21.7569192018534,98.8169437612623,6480.98283469763,"Norway.Javrresduottar.EC-Hummock","presence"
2382.09829885372,3285.8060065351,1973.13174972125,-5551.22765215326,-5726.24320000428,-5682.94558003438,-6039.3518418064,-3999.88814602825,0.0440408289432525,0,3234.35152290495,1719.35229202346,43.6379197453478,38.2688938193893,5802.34291434123,"USA.Kougaork.LowShrub","presence"
66.0375411267753,-38.7606478975872,377.43987605422,-429.0822060071,-1730.62486790945,-1837.95530617166,-1481.50712761813,691.670480064831,-0.0677944645285606,0,225.697610382827,416.200523951807,-41.9344233995863,-122.038568432048,450.726327399639,"nonveg_1473","absence"
1270.6622573996,2139.16831088949,1197.15252940062,-3848.65621111214,-5264.80782383206,-5152.46697827431,-5984.11394972297,-2193.36924155286,0.00051474804058671,0,1995.06633555012,874.110327073847,-20.2385792978142,0.0581126164977634,4009.86860958546,"USA.NorthSlope.13","presence"
2527.40086968326,2971.0848270596,1449.08299644209,-4741.37091987687,-5116.5974130539,-5464.67083758573,-5742.46493814671,-1827.20922899794,0.00503883153821032,0,2469.29585025391,2063.59212986584,-24.123893578125,12.5355634239048,4306.23200862817,"Russia.Yamal.Kharasavey-2b","presence"
427.983280300183,123.335478974877,134.286255284934,-1669.88017549405,-301.607686801806,-1243.07276770523,-932.060038058623,-300.478655360451,0.13860584795475,0,134.286255284934,633.388234424341,22.0214065367509,-75.6237950117899,50.9187063065055,"nonveg_848","absence"
1120.87682038454,688.113255127487,423.366767553847,-2234.67745782626,-1730.75402502835,-2588.65559588327,-1791.32649782161,-2139.93685617632,-0.00174444180447608,0,952.756937974559,1045.12693054891,24.5089055358694,15.9999090548608,2186.44125678484,"nonveg_575","absence"
-56.2967128827202,-312.389206349041,10000,-858.227785984075,-428.017132153811,-742.025778867234,-332.909035024584,663.251032463658,-0.0588624775409699,0,-56.2967128827202,10713.7065400497,26.7684659897755,-133.138267857143,-283.971553360347,"nonveg_1477","absence"
1250.58402918355,1524.08304427428,702.114819314821,-2588.4614062323,-2890.71987122375,-3256.82110449775,-3659.63765529446,-2340.54309935949,0.0480653656646609,0,1282.01708980423,291.171083881073,-35.8772387623715,-20.49433042165,2718.61885509145,"Canada.BanksIsland.GreenCabin-C08","presence"
460.466004318375,475.711980219077,685.939336093268,-702.201798862041,-1418.73779853396,-1479.84400952831,-1092.87277852635,-933.074791344271,0.491915643215179,0,667.238437623556,348.492241876225,-13.5687042984069,2.4447447464402,1208.56678271528,"nonveg_790","absence"
1584.6537325086,2299.3815871999,1099.91306664305,-4627.486967171,-4389.67935263485,-5020.83709772671,-5444.29488588609,-3562.5221525437,0.00837064553052187,0,2187.14165686031,2000.6069804934,37.4262956263718,73.0982513931158,4308.01030549578,"USA.NorthSlope.FranklinBluffs-C16","presence"
3451.8920553279,4222.06242472984,2280.83366898674,-6669.64315681411,-6308.16484425655,-6785.2662182019,-6664.34670573192,-5392.96755737766,-0.0233328826725483,1,4231.01616306554,2224.64328598397,54.0760642964976,48.6481795429683,7619.72130392542,"Finland.Kilpisjarvi.15","presence"
2349.13745696974,2381.03221877723,1529.54570413838,-4641.09223348565,-4549.27998271428,-5300.09226571366,-4593.53531984079,-2883.07131851642,-0.0116382636543777,0,3016.57701494493,1778.83165398009,6.35976022293645,-12.4828571550797,5425.13779569508,"Canada.Ivujivik.TP13","presence"
1584.6537325086,2299.3815871999,1099.91306664305,-4627.486967171,-4389.67935263485,-5020.83709772671,-5444.29488588609,-3562.5221525437,0.00837064553052187,0,2187.14165686031,2000.6069804934,37.4262956263718,73.0982513931158,4308.01030549578,"USA.NorthSlope.FranklinBluffs-C16","presence"
1366.93567078746,1648.17920275684,1200.58085987591,-3566.9069740395,-4232.30792178851,-4198.01736068236,-4224.75940900849,-3236.2020047874,0.00457496102899313,0,1630.0970565278,494.328076724649,0.283917834902006,2.7091534348789,3562.10737892843,"nonveg_529","absence"
46.4158616836219,375.812594571027,-550.261357575684,630.729236747694,290.190815318918,-1004.1643989272,-1228.01251670272,6161.29438688708,0.000945008476264775,0,46.4158616836219,1155.00459695632,-15.0155372034716,67.6685650157695,488.962943976063,"nonveg_1794","absence"
610.182895337322,682.286382565072,1068.03262647844,-2373.859441545,-2078.46545270099,-2270.44234805892,-1805.09323136267,-1195.51942535416,0.0358423516154289,0,682.286382565072,626.699801151871,34.088941522379,-44.1622224839267,1169.82900191187,"nonveg_975","absence"
2349.13745696974,2381.03221877723,1529.54570413838,-4641.09223348565,-4549.27998271428,-5300.09226571366,-4593.53531984079,-2883.07131851642,-0.0116382636543777,0,3016.57701494493,1778.83165398009,6.35976022293645,-12.4828571550797,5425.13779569508,"Canada.Ivujivik.TP13","presence"
3230.56471990484,3883.5872848222,1816.12229605772,-6162.57809947687,-5641.03493690587,-6765.68525041752,-7293.6672599984,-3636.50110465428,0.0167875952190823,0,3377.97853736296,2469.03419375493,31.3861064539627,30.265133956207,6445.57682892501,"Canada.DeceptionBay.BEGL3","presence"
-590.835648578766,1039.66998114883,944.855790450967,-1510.12694342653,462.455455475817,-925.254875642245,-1292.09775946252,-1054.60097753963,-0.156711935997009,0,822.794739665069,1630.5056297276,9.17087125129655,-25.8924413272052,335.275639503919,"nonveg_571","absence"
1402.47457775161,863.760729689779,674.52408753713,-2502.09394544134,-1869.56162167327,-2526.14249910998,-3224.40785413054,-2513.82045916114,-0.0357767827808857,0,824.271935654201,1134.21107270754,-46.5533526485772,10.9215468488823,1438.21504794168,"nonveg_561","absence"
983.888249660887,543.426654206052,509.590615587262,-1432.76463648005,-1115.17113236701,-1769.67874307243,-2267.56762065617,-1599.76431988174,-0.000421104254201055,0,543.426654206052,803.102675756093,-35.0581796908696,11.8225927388162,808.051616611939,"nonveg_894","absence"
1240.28659821954,274.554613694913,134.770957643679,-1992.49027016652,-1259.55232410156,-2796.78577404487,-2170.31314040366,-2053.70125010502,0.00196254509501159,0,677.623627555837,1105.51564057586,-1.4389410477061,8.2320257345519,1705.96760916336,"nonveg_913","absence"
34.2299976051268,-494.831622473897,608.077405574928,-2154.64263270942,-1678.16877534721,-2616.33501714993,-1804.10533777862,-912.996977341422,0.131720691919327,0,34.2299976051268,1102.90902804882,19.8949346262491,-54.3101248049671,679.453487104323,"nonveg_681","absence"
1080.79594184004,1172.31633577105,548.61235161938,-2559.98186563402,-2779.65429742103,-2749.20955943762,-2941.27898100577,-1331.23719322833,-0.0288760280236602,0,968.913702657351,441.395489964792,13.1566531020215,-5.01837440119824,2053.96739117138,"USA.NorthSlope.HoweIsland-C12","absence"
-222.593422392892,-154.932990950486,-43.9694529751291,-472.807474491513,-1741.81683708543,-1731.21770710794,-1893.20759642329,1041.75033732103,0.171974048018456,0,-43.9694529751291,554.988008146958,-91.5200614149829,-150.895703296298,333.294152141609,"nonveg_721","absence"
2553.86095685816,3051.71369250893,1390.29258443961,-5473.75921268509,-5979.00737749859,-6442.79386643899,-6840.6029143563,-4827.2995042069,0.053189667314291,0,2508.18833853562,1732.32672275666,31.7858856596274,26.2942786472202,5802.48145763025,"Finland.Javrresduottar.EC-Spring","presence"
2167.98646015281,2390.34246545733,773.349859542046,-4118.27569316651,-4493.48894978297,-5496.26563728449,-5952.95687688925,-4121.69261055886,0.0030463479924947,0,2259.9678127567,2010.04576284506,29.4304029284846,65.9418936980304,4456.02856544726,"USA.NorthSlope.16","presence"
-185.775098894456,-456.562855352721,-131.553212113778,-354.545018823633,-1265.06544996726,-2198.49125914738,-1575.29584470225,656.979027665092,-0.0874345228075981,0,-131.553212113778,612.893444615882,-26.3741542240383,-80.2482850477301,-106.121167898313,"nonveg_842","absence"
29.3034038944311,352.562160544176,344.963584634719,-1279.24792586488,-2369.5631894059,-1967.35953318562,-759.758594873068,-759.835177146239,0.143409952521324,0,352.562160544176,1305.4672835113,39.6593267862716,-29.1692952547692,705.232955582924,"nonveg_645","absence"
938.271689505847,943.719232111159,267.366652392265,-140.714507525783,-41.6449288026236,-54.2246882707319,-745.724788875818,-659.576607038159,-0.321381032466888,0,809.940012268934,676.352579718894,-23.6360207226583,19.0748101718703,1190.91426821479,"nonveg_1316","absence"
2642.73495598584,3206.19608471471,1773.83490584426,-4313.96539749957,-4285.39081669033,-4814.05724243596,-4876.21731034781,-3836.62696966612,-0.00152871431782843,0,2932.71038658787,2609.21648763841,42.9345378212202,55.2318164534876,4558.28624675566,"Russia.Tazovsky.Unburned28","presence"
166.088565716291,26.376364415257,423.579483526449,-2466.79802299736,-2715.41566578847,-2981.37508562354,-2513.95877884365,-1285.51324967409,0.0147309368476272,0,423.579483526449,497.224681855903,14.3369608616703,-59.6247189019087,1634.5844354835,"nonveg_719","absence"
-170.527875993091,-2.34173729558455,568.125862492349,-562.870154133773,-1183.04752781704,-1002.3225286555,-509.117186522442,-277.890535129349,0.392096161842346,0,366.604345675429,738.65373848544,-0.0178975842858241,-10.675320452298,830.808946240619,"nonveg_870","absence"
1742.07526361152,2980.1846166036,1133.04545283203,-4403.37768072312,-5427.09938724966,-5365.60287003774,-5751.76928160981,-2459.3029612086,0.0188751011672947,0,2135.57828077189,2474.13959401775,44.4898701025729,1.92138124591198,4006.12651939932,"Canada.DeceptionBay.TH6","presence"
-442.179511331461,589.113670618148,151.412505275749,-1638.43149071088,-3084.29994637711,-1390.53380129706,-1216.76788293216,-1738.58690387701,-0.00417868373915553,0,353.025911801154,1138.10913422377,38.0988369523351,-17.9965872673118,589.17193185747,"nonveg_955","absence"
2438.84181874117,3138.11997842013,1993.74709476788,-5438.32973035553,-5594.88014808576,-5866.35326108296,-6227.2395412389,-4865.59279967468,0.0298529911786318,0,2238.40278897562,1396.14860145224,42.8425782463137,9.53130830089545,4543.59466916292,"USA.NorthSlope.Sagwon-C19","presence"
852.863887969728,181.356720565079,477.727889717406,-1348.99562854153,-961.808423456998,-2371.18644249895,-1287.96134142106,-1631.52289614429,-0.0234156139194965,0,781.552761556604,724.078614208655,4.76555055575783,11.6668375732899,1361.9867304318,"nonveg_814","absence"
191.338545084148,256.419221694653,-808.603115113606,-307.786427730307,-1019.24677769875,-1085.35010189473,-1516.00231890259,-866.412415031356,0.161001041531563,0,191.338545084148,1150.57901476456,-22.7745321593587,-0.536945762480614,368.36134054573,"nonveg_1234","absence"
910.825875374112,-451.590323712154,-107.264731494372,-1415.36228499634,-1109.47733399839,-2413.64142618415,-1040.40983841794,-422.297864425086,0.135578602552414,0,479.519759747709,1574.04940998786,35.4890690831513,-36.6125904780956,977.780641169049,"nonveg_659","absence"
2516.77783241024,2554.70582123579,1535.81083505493,-4769.49276643721,-5064.95097552338,-5491.91020667881,-5609.50330059523,-3901.19304380612,0.0092570081146227,0,2595.36077283841,1762.92114565064,-13.429498881133,22.4066012930338,5257.16565896425,"Canada.PayneLake.TD2","presence"
2555.85395206089,2923.54400718358,1316.50444483889,-5126.92769137724,-5392.02228115269,-5846.89413651885,-5971.79530456725,-4501.63253448503,0.0566957704722881,0,2889.68717776618,1934.35844129915,44.2478966766521,55.9244431399834,5854.16638052458,"Finland.Javrresduottar.EC-Salix","presence"
537.099114843571,647.89597604782,330.703613404692,-2002.98593748635,-2273.63723462327,-2141.65292899529,-2111.72355505246,-2325.40780352357,0.00231041084043682,0,647.89597604782,385.580593131825,-0.899480881759549,15.4970027784874,1107.14965585729,"nonveg_543","absence"
-24.6606779530264,149.689951053502,105.090240908871,-67.253082506142,82.3232274174797,-457.562796729355,-37.5880454276511,728.729427335516,9.97915922198445e-05,0,139.959741929406,1061.02844737836,49.6670435248334,30.310038346818,838.167808965066,"nonveg_1889","absence"
1953.70625414493,2337.17179465538,917.350075212235,-4246.07434584353,-4782.93651408054,-5064.9403265821,-4891.41371155117,-3120.94359978498,0.00207993471930321,0,1914.90212034021,1870.57011093539,72.0286541547554,17.6711350857579,3818.84240191614,"USA.NorthSlope.Deadhorse-C15","presence"
1472.08995087772,1602.37198125428,1402.11776624755,-4194.67586813512,-4585.07628402627,-4695.76216935367,-4210.35286373996,-3570.62728354143,0.00497025693766773,0,1207.62959434972,1335.79209703335,4.21404289326911,67.6080140366506,2910.05604665441,"Canada.ChukotkaRiver.TPO5","presence"
1187.82919218433,1096.83201943701,468.345819492871,-2539.52848151637,-2507.77815395674,-3249.61408050423,-3379.87322046734,-1628.08705877383,-0.0771002895198761,0,1347.29970186728,989.940079326821,20.0221114402595,-6.58296623336315,2511.04454103909,"Canada.Ivujivik.TP12","presence"
97.4930075069559,504.791344575801,418.713501673058,-1983.37668358196,-2285.63751672085,-1832.04716055184,-1197.4172958882,-2057.87329083967,0.116400212049484,0,462.018611655422,953.099402562947,62.5088755550097,-9.26471501478403,1446.67693760769,"nonveg_736","absence"
2382.09829885372,3285.8060065351,1973.13174972125,-5551.22765215326,-5726.24320000428,-5682.94558003438,-6039.3518418064,-3999.88814602825,0.0440408289432525,0,3234.35152290495,1719.35229202346,43.6379197453478,38.2688938193893,5802.34291434123,"USA.Kougaork.LowShrub","presence"
-72.7816669791462,114.230158070626,-1556.38394598944,6302.21862147826,5103.95050588665,4420.02859706373,4446.49533086586,7321.64591731718,-0.000134873494971544,0,114.230158070626,2022.80399526087,-22.179715139607,2.17164012316389,-2020.00513298088,"nonveg_1810","absence"
2792.44380593756,3433.35975494326,2366.46376277639,-5758.88469127266,-6029.71956484146,-6242.40760368951,-6201.09897152194,-4784.32921328253,0.00272715457582048,0,2690.96523339553,2126.57540189778,73.9226833406733,10.5184147076186,4955.37710910151,"Russia.Kytalyk.T2","presence"
2181.95494191515,2304.10634659259,1411.85455668102,-4159.10617597925,-4446.87084115297,-4835.48242667979,-5078.11514460451,-2327.20427071683,-0.0586325530894101,0,2065.37850029787,1314.78399345124,29.8602192289402,24.68819801815,3966.54121644024,"Canada.PrincePatrickIsland.MouldBay-C06","presence"
2186.13317446982,2987.02886619254,1897.20126315271,-5294.90337918036,-5827.29121588852,-5917.8488416994,-6056.62754239671,-4751.99618456509,-0.00283582943181197,0,2063.28371741052,2200.79788270425,49.3891859053607,5.90939620525793,4920.79890029568,"USA.YukonKuskokwimDelta.UB6","presence"
66.0375411267753,-38.7606478975872,377.43987605422,-429.0822060071,-1730.62486790945,-1837.95530617166,-1481.50712761813,691.670480064831,-0.0677944645285606,0,225.697610382827,416.200523951807,-41.9344233995863,-122.038568432048,450.726327399639,"nonveg_1473","absence"
314.308008250477,-138.871817289125,-310.231587408382,-1593.57175043249,-1447.22607313028,-2209.75315228176,-1981.94576011721,-2074.66251631903,-0.0957289859652519,0,24.2959463317811,624.539595658859,-8.86890339069606,1.01987546223621,223.221722917966,"nonveg_956","absence"
451.0512348846,870.956143468626,384.270060390431,-1818.50921227877,-3040.21646264708,-2551.87808157451,-3311.95167653903,-2973.32184233007,0.113934069871902,0,603.284744234165,803.408399425946,-87.4892442241124,34.1369973108501,1461.60012909197,"nonveg_832","absence"
2446.29358199527,2715.32010941053,1659.06334518372,-4739.03828129884,-5063.85855859536,-5006.98160840227,-5173.52472606365,-3868.13240643568,0.0105151672550063,0,1935.19795134755,602.78442272249,5.44511321694513,-2.20062681817058,3694.26144540098,"Russia.Tiksi.ShrubTundra","presence"
1561.33860246043,1510.70574391616,723.114218434591,-3201.27389753022,-2501.92174263571,-3183.72657811142,-4041.97399195893,-2614.04449139953,0.000741572817787528,0,1276.38361796719,838.22438402584,-26.1892772248964,-43.6739099526032,2481.25554258708,"nonveg_632","absence"
1366.93567078746,1648.17920275684,1200.58085987591,-3566.9069740395,-4232.30792178851,-4198.01736068236,-4224.75940900849,-3236.2020047874,0.00457496102899313,0,1630.0970565278,494.328076724649,0.283917834902006,2.7091534348789,3562.10737892843,"nonveg_529","absence"
1558.38455460688,2985.79765576094,954.955199920809,-4661.80101114125,-5777.29351480154,-4893.63700397078,-5516.59120570575,-3682.189176397,9.22600229387172e-05,0,2145.89548326141,1616.8241644639,19.10445901684,33.0211772960063,4097.81204329238,"USA.NorthSlope.14","presence"
1725.53579828026,2264.51951847103,1223.44612859765,-4706.94543396605,-4364.88668309863,-4568.76859511039,-4734.0230680947,-3489.01480287949,0.0253350573281447,0,1687.71263928764,987.895091819711,-12.7364370253507,-19.5922962995341,3335.13395821494,"Canada.BanksIsland.GreenCabin-C11","presence"
1441.85991827505,1829.4221566786,367.654970529659,-3838.84492405907,-4183.64094646727,-4821.99801059786,-4629.28390488641,-2525.2479978701,0.00534393759444356,0,2253.38348432447,3056.2346048612,54.0873064067447,49.8496084210916,4159.25009029403,"USA.NorthSlope.WestDock-C14","presence"
938.271689505847,943.719232111159,267.366652392265,-140.714507525783,-41.6449288026236,-54.2246882707319,-745.724788875818,-659.576607038159,-0.321381032466888,0,809.940012268934,676.352579718894,-23.6360207226583,19.0748101718703,1190.91426821479,"nonveg_1316","absence"
1623.77862700473,3129.02287719332,1981.20770222678,-5371.3005621773,-4131.0379286459,-5502.05102423442,-6233.06811281072,-3600.65748393026,0.032276864349842,0,2428.21051314575,1938.94719150689,74.6983140491797,-20.4292030232065,4310.98264088324,"Canada.KluaneLake.Outpost-MixedTundra","presence"
1093.52617632342,716.933730118726,91.1792352901107,-1478.6960583573,-920.06767033161,-1613.77259294218,-1852.13351094246,-1560.49741732881,0.0654439181089401,0,573.766426998255,1002.34694103331,-18.70667098552,-4.66335392763247,1389.20931159815,"nonveg_693","absence"
456.389844941444,516.790120760126,-125.631215846911,-1906.72708624928,-1238.08428728445,-1118.36102738915,-1585.33954564336,-1678.57811797113,0.284952610731125,0,456.389844941444,1105.86419804351,0.208913705441966,-69.2716072455337,923.759152104837,"nonveg_785","absence"
