"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_lateSummer","spectral_red_peakSummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeESPS","spectral_NDVI_changeESPS","site_code","presence_absence"
2935.41142115942,3949.82342189532,2483.10422879433,5172.54937866667,-5109.23491502116,-5447.57556131206,-6107.53052484408,-4807.18766018593,2715.66053961532,855.368281359997,0,3607.63840758065,1221.84000782197,-1.16141573072298,1.83523618510783,"USA.YukonKuskokwimDelta.UB7","presence"
363.927128180088,179.54968487431,184.348509257855,219.849278654885,-2279.69762603301,-1353.07843578081,-1754.29784623462,-1234.07731818738,865.555255654961,643.16839829695,0,184.348509257855,691.462677344866,18.7809345940403,26.7488193118149,"nonveg_715","absence"
2672.30157627501,4251.2663441646,2693.20343632093,5231.83223404456,-5761.00217382405,-5682.47942502947,-5847.50183414306,-5257.90329457278,3028.30257712369,869.717270295591,0,3274.19407324534,1664.05148283158,27.9925211002363,40.5703578327524,"USA.BrooksRange.6","presence"
839.751824674684,181.976332816496,-25.8227276303931,386.807831672523,-1100.1583031649,-1163.53865805962,-1676.18671521624,111.059818030723,1605.72507824705,1306.82600771228,0,208.144229750883,865.574552305077,-0.969181367940262,12.3630634966078,"nonveg_897","absence"
1339.74872280495,1653.83694213441,1463.17238439069,3274.93469956081,-4039.70243217707,-4285.43301800836,-4342.27187087186,-2786.81171588513,1724.30187729349,732.803179960219,0,1311.40863149736,488.724131842026,-1.31241636113169,0.405586765698635,"Canada.ChukotkaRiver.TPO5","presence"
2587.85758635276,3493.27832228736,2197.05674177682,5313.48510098664,-5236.19088149328,-5357.90022683408,-5828.84404931876,-4163.98848730943,2443.49323137101,709.321017918223,0,2792.11392554594,2266.34361950347,22.95957754492,35.1693491085357,"Canada.DaringLake.LowBirch","presence"
694.906213450718,456.463543122995,-176.440316050192,691.150304823133,-1580.0014771489,-1412.46844828215,-1734.69919861001,-1894.19254453154,2500.60676121698,2092.82999309671,0,456.463543122995,871.346529500911,1.36160388141596,2.47063706391039,"nonveg_568","absence"
784.865746896022,575.987636292058,452.715724910491,608.173020359195,-1717.11990936772,-1327.32833654676,-1692.43005084976,-1136.5402252169,3311.76684860663,2277.82273815156,0,575.987636292058,1009.45184785058,6.9198494210864,10.2595360823453,"nonveg_916","absence"
2745.47541069184,3564.27520898357,1495.80502525771,4682.41347516618,-4472.22147054195,-4822.22520055117,-6211.25695747033,-3135.96693011854,2725.02890098583,737.71116183636,0,3180.95439658274,2661.79817000738,48.6626335302297,77.0011679171869,"Canada.DeceptionBay.TH8","presence"
3316.88679627491,4679.57770895077,2194.5388480926,5715.65878709961,-6243.01617442931,-5951.12892335909,-6000.88710802308,-4198.6118506001,2702.72303958054,684.859829636354,0,3419.66441922294,2287.25140659861,25.5450166209621,37.8925865077478,"Sweden.Abisko.KJ-Snowbed","presence"
1523.65673545831,2688.57435046359,1172.62825344371,4572.16600528761,-4939.82990921132,-4927.26936344167,-5652.67140740545,-3082.99783081836,1883.13139341737,660.812680225946,0,1665.91577246786,1250.29896697792,39.8608934372376,51.312121796894,"Canada.DaringLake.Tower2-SedgeFen","presence"
601.771575557681,910.450337115406,664.074429275056,1694.27237741648,-2054.42945020276,-2655.47105805282,-2349.5543791335,-2436.33887886494,2095.07998241097,1644.97179446249,0,727.67862591766,467.032627892243,-6.09053332055839,-7.26567970130695,"nonveg_863","absence"
-71.9588925193194,359.984438432346,-171.010431471411,1639.10318979301,-929.141139437765,-2561.45318706646,-1968.60275945839,-1034.50312950798,1073.32421624894,767.910659739789,0,301.143936722273,909.603487068322,-9.96338466222538,-12.2197037353428,"nonveg_779","absence"
2756.01034433908,4094.8382621749,2492.39000252618,5243.92982521361,-5971.78919614993,-6173.2040078545,-6516.74257548384,-5443.46043615345,2751.19160156214,669.527243758727,0,2647.22341397921,1661.02572513486,34.6047026069762,43.5417264743649,"USA.YukonKuskokwimDelta.72B1","presence"
2050.68021957732,1842.21148815283,1369.67316047077,3345.49674026049,-3855.33623513124,-3550.01163122224,-3974.90217568428,-2968.72076361982,1794.8774840663,904.544552119071,0,1354.67841109947,1291.50857247733,-13.8345635206272,-18.8188854680301,"Finland.Kevo.3","presence"
2810.69828524062,4075.9020970104,2199.65957814112,5733.8348411284,-5475.05255466712,-5946.56535890523,-6699.39928917908,-5360.85620881128,2740.56865107035,741.627658930541,0,2791.07420087303,1587.65911966794,10.7599241050597,15.9018957113246,"USA.YukonKuskokwimDelta.72B2","presence"
1584.5367012071,2250.30960325183,1038.86526408506,4130.79551969337,-4775.91187940067,-5422.71289944308,-6068.14678575453,-4254.24830334717,1989.39352126112,618.042681040678,0,2125.98324642037,1507.01648364645,12.5270907914651,19.2511335560194,"USA.YukonKuskokwimDelta.1","presence"
-1203.55712181636,576.103509725886,2155.68829396699,1239.77623353864,-901.138798587861,-2702.58614931516,-1596.52575861316,625.482465660961,1167.37052951893,2119.54360175053,0,576.103509725886,3532.76039448982,-17.5853540596449,-13.4484139424551,"nonveg_677","absence"
2145.83586560616,2826.01839611693,1515.75311529555,4381.19668526969,-4866.48821690902,-5012.44755468454,-4952.0867675228,-4275.49862914572,2284.05821873919,820.604054128824,0,2711.02212708638,1415.08832020525,2.23580136790075,2.68918128981832,"Canada.LeRoyLake.TD7","presence"
