"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_EVI2b_annualMedian","spectral_NDVI_changeESPS","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
2852.25436705927,1906.16246062891,2786.00944120814,3608.47723991431,2180.15911974229,3817.71152056246,5106.93783797394,-6202.05258969102,-6457.68327166156,-6130.56331928959,-4809.09991947822,2799.83816892022,-12.4502228795128,-6509.23055336927,-5798.73433510751,"USA.NorthSlope.10","presence"
3046.20186280985,1629.48284818885,2729.17721448624,3030.83464099727,2118.94387095577,4835.83133666919,6265.80926680544,-6085.4253938366,-6304.84733982042,-6749.57358528478,-4875.53311568922,2284.62017038915,-2.96301622689725,-6132.8586766768,-6121.28799730398,"USA.InteriorAlaska.4","presence"
1992.72468565396,1991.98203228977,2356.37317341646,2307.31469944307,1099.62036971198,3750.53268784661,4348.05741016782,-4233.4127036384,-4791.03073605414,-5313.65545839703,-3880.2450877245,2073.8199896504,-27.7453933048703,-4256.92398679964,-4371.89601199639,"Canada.BanksIsland.GreenCabin-C10","presence"
3418.45875346842,3168.1862765724,4363.59174922763,4711.34699337363,2023.42762407375,5945.04588525691,7406.00013067646,-6380.10715605234,-6473.10032521557,-6812.0959610361,-5318.60561105971,3339.3375318337,40.834164055099,-6165.30368167047,-6275.33859343417,"Norway.Javrresduottar.A-Salix","presence"
537.988836784965,1470.3840697728,728.578871204401,523.197674515748,661.210505254937,1949.99146454226,814.882804641934,-602.019792455876,-2215.00362481906,-2724.00238260248,-1105.02004126433,661.210505254937,-2.10320633974372,-2198.18633593725,-1768.8464354158,"nonveg_855","absence"
2163.83680159541,2441.12635544236,2983.22767481291,3184.27218995113,1326.45427853585,5276.12476122566,6196.42174911372,-5660.14986505783,-6038.09205897173,-6060.27946228483,-4596.43598300043,2351.72275022424,58.241163707866,-5775.43971762183,-5613.0622929505,"Finland.Javrresduottar.EC-Salix","presence"
1034.13531322486,1145.49585601698,1135.96205065633,1290.24705644831,666.106085170253,2479.31025042749,2446.87251464294,-2710.96802294826,-2792.30867074508,-2655.11082637047,-1259.67686144059,1290.9184592062,19.6152155994358,-2156.73522804298,-2190.92093254487,"USA.NorthSlope.HoweIsland-C12","absence"
646.088335861573,657.397622917225,641.968344976585,407.171652294596,52.2684730230399,929.135532379301,1101.36762972575,705.248898771818,-327.507693652807,-1072.14974188758,-1390.38607533044,641.968344976585,-8.03665906856994,-840.439817870015,-585.046885993803,"nonveg_931","absence"
340.978532548825,768.864678755028,1165.19673752972,-330.313496417793,613.552002450027,1017.92200616765,1414.63990628323,-1212.07097435362,-1077.13668016733,-2281.48487948121,-539.875544324069,613.552002450027,-20.2193387768232,-1212.07097435362,-1309.63695966693,"nonveg_677","absence"
1193.58580614987,1248.43206040244,1992.17385882493,1578.13595465367,1272.90018523388,2975.66425359391,4221.89401036404,-4456.62984180045,-3546.85119391049,-4445.80532845972,-3099.30482616509,1272.90018523388,22.3258547601871,-4393.20282674347,-3988.35880341584,"nonveg_529","absence"
2722.27269757848,2691.56678535322,3383.02184680802,3318.45586252247,1899.33623866761,4237.43500138701,5230.74622773375,-4410.42022660345,-4863.84314326991,-5417.42118904382,-4147.96653582951,2419.76051444474,35.7883807516237,-4784.96166066842,-4903.2762556578,"Russia.Tazovsky.Unburned28","presence"
2771.19947495529,3206.04013337886,3341.89621274549,3636.3281949386,1460.73403283471,5487.64504467582,5702.05245240984,-5593.23845295533,-6205.68763942756,-6052.74313335911,-3652.15333527996,3957.09133961537,59.1144024283215,-5334.72850225926,-5187.60456714577,"Russia.Tiksi.FloodMeadow","presence"
3075.82493100245,2891.47255893443,3581.06459441314,4567.24706045526,2608.34931002125,6002.1357896234,6514.88506312299,-6508.33353956524,-7067.4988708056,-6671.56212917428,-5796.62410948826,3554.12520654316,49.3625306393596,-7207.51229541686,-6653.7740181147,"USA.InteriorAlaska.21","presence"
2664.12762768671,1196.71689239906,2943.78251103577,3693.74599318193,1720.55166185377,2842.12655496035,5538.8983496383,-3887.60170190357,-5244.44858143563,-5936.66113306003,-4036.07267802044,2600.44558636203,31.7846024272014,-5206.41265941807,-4997.59335475963,"Canada.KluaneLake.Quill-MixedTundra","presence"
