"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
348.461597561714,251.235650453818,536.193866579709,187.935036938672,-3070.68028144994,-1320.31826654358,541.717857287047,-2534.14594564295,"nonveg_855","absence"
2732.8056341152,4020.91146746306,2535.63155210211,6892.59520588276,-6620.36399015818,-4653.16532803465,2346.46616669597,-6183.34540102849,"USA.SewardPeninsula.QuartzCreek2","presence"
223.836427149956,546.901177151655,-669.580599599037,782.659832370899,5848.77752969283,4222.15647346065,1216.48177675069,5848.77752969283,"nonveg_1344","absence"
1014.65086864808,2258.30366089138,25.1648755308926,3563.01340633067,-2961.25458723084,-3331.30891611809,2233.13878536048,-3063.73853762296,"nonveg_632","absence"
702.691172108867,881.26523768717,774.644684945189,780.045637322705,-1936.75316662128,-723.485384982387,883.904759025986,-1295.17000431417,"nonveg_922","absence"
164.653334419774,-323.205755169097,-409.170989719241,749.54191352481,4927.02251877023,3436.61861935646,1154.52201735279,4924.80356969913,"nonveg_1637","absence"
131.029201994394,642.848579168328,537.467350776091,2168.93850770143,-2445.4905888403,-2642.89719710023,873.979483768785,-3043.87347404148,"nonveg_832","absence"
516.805922227324,1291.37563516342,210.913534181146,1713.00211770696,-1708.47964421661,-1806.12317172762,1080.46210098227,-1708.47964421661,"nonveg_968","absence"
-164.690825253113,-297.202046714913,-178.272589318819,3985.54126839752,1007.35124073251,1959.4481015777,472.253205820455,1959.4481015777,"nonveg_1880","absence"
571.764950817967,548.016777714811,178.419049450983,630.250125854363,-1510.1882790189,-1331.65436238925,542.123164960192,-1331.65436238925,"nonveg_956","absence"
2549.69590979543,2983.66315893226,2166.9920675189,5548.91818126856,-5923.55922015424,-4353.53071656557,1520.81999471765,-4609.92035436741,"Russia.Tazovsky.Burned12","presence"
2770.155665742,2789.62651905298,1597.86198134301,6086.3832816245,-6620.66697803246,-5020.38294705604,1273.48984477717,-6076.49397555026,"Finland.Javrresduottar.A-Betula","presence"
2229.7527146201,3457.51812769716,1835.15489413725,6408.31644947314,-6505.6547108154,-4221.41846815061,1428.59391311771,-5597.10441680738,"Russia.Kolyma.OW1","presence"
4460.13956486229,4951.14943568804,2690.26002626922,8074.98376485192,-7173.8672689542,-5492.21853298856,2374.2237229424,-6607.12844242231,"Finland.Kevo.11","presence"
1578.66578399834,2227.92885064022,1768.45224434272,4804.82714582789,-5009.59706198946,-3802.22603336059,729.51401263199,-3837.83548775343,"Canada.Yukon.WHEATEAR","presence"
304.162922716345,179.197493048182,290.662233691191,1892.76029658882,-973.285346440445,-159.152890663432,1492.81968671443,-1061.9860832245,"nonveg_794","absence"
3262.9285735625,4767.40468722708,1120.57760184953,7326.23217736445,-6716.39625287104,-3939.10807047928,4104.34867171864,-6559.5207373464,"USA.InteriorAlaska.BABBAGE","presence"
753.152217246119,1281.83963423144,-201.418077904995,957.072072194019,-1535.67531605263,-1922.98034159756,1483.25771213643,-1535.67531605263,"nonveg_568","absence"
-13.9081130216796,159.179687297322,-406.102754015666,571.473823590714,302.304189791158,-739.160520045573,649.170776468766,92.9695807112672,"nonveg_822","absence"
3129.042699788,3846.67610404456,2362.52947862127,7576.16297497134,-6721.58833368264,-5256.64607927592,2358.22627027233,-6602.27180102073,"Sweden.Abisko.VJ-MesicHeath","presence"
