"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_endSnowfree","spectral_NBR_peakSummer","spectral_NBR_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_lateSummer","spectral_SWIR2_startSnowfree","spectral_green_endSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeLSES","spectral_NDMI_changeESPS","spectral_NDMI_changeLSES","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_SWIR1_changeLSES","spectral_blue_changeESPS","spectral_green_changeLSES","site_code","presence_absence"
1206.50277367805,806.812289868893,950.659660399044,1240.02054852124,529.564846456661,1968.09348189349,2140.92041738559,1439.13240538549,3666.08303151388,2879.70442750044,3567.20430468035,4077.18770528985,-3940.5447882174,-3184.36224580308,-4705.66762795119,-5137.42935371264,-2412.12332374296,1013.38186000796,832.674593562403,525.745510372266,31.2691631317139,1,950.659660399044,946.712023784778,710.455702064577,-7.57091423842902,-8.91750642095684,12.0188820504805,3567.20430468035,3151.35000615163,2510.61714351623,-36.1842040621006,-3940.5447882174,-3876.02546788545,0.937586066845142,-11.5350087749161,9.01534966091405,"nonveg_856","absence"
635.716405863789,1003.33814599517,218.396802166657,1008.20212855058,375.217478832652,-2390.24786344467,-2307.29916057999,-3069.21782296631,1207.47263044578,1677.0975776999,693.590747079398,1664.10235729853,-893.385184498029,-297.930168897609,-1498.31908957152,-347.166031398304,-1275.56363798436,992.339050648188,2139.39325760255,1020.39478182943,28.9488277435303,0,635.716405863789,648.17419228177,789.805326383926,21.2146309142841,58.376766823818,22.9386310142786,1207.47263044578,1225.96307046869,983.506830620499,26.5812656924459,-893.385184498029,-862.472822469964,10.7153063677725,21.6669683656877,6.71987778184165,"nonveg_972","absence"
149.695544840415,-153.54296233739,427.771704227149,456.418648776307,-245.429759726453,-1511.57397960771,-523.398166204622,-128.620885295147,385.951398256015,39.4438684240072,776.401500191875,841.655341306084,-777.510201019827,-1461.7577748775,-705.914109556948,-663.64391510972,-669.529618913717,1463.07340583629,1334.33410069172,943.297764218423,24.4069366455078,0,149.695544840415,126.982635156006,701.84840850276,-25.2745507201973,1.80722523396356,-39.5900134793498,385.951398256015,328.733986207223,1241.43751844795,-32.0416361638203,-705.914109556948,-855.671123895542,-22.8905233300323,-1.78537460457204,-8.26896847738134,"nonveg_710","absence"
391.667711020966,104.737530631829,-521.092976422476,218.027506680817,761.606452637367,-3289.97501705386,-3183.53767128473,-2139.05838679775,861.426367448228,532.247803090131,-237.547458196525,688.531870083353,-1819.82833131986,-1965.08676581528,-2920.29796193925,-2039.71437475716,-1164.0008036546,705.676299696481,3111.23500549549,882.074872648729,29.0866165161133,0,218.027506680817,190.989244909701,1282.69942905984,28.4468412297411,-8.78442804885557,40.7254243014355,688.531870083353,622.105141755846,1503.41458455057,34.990693694848,-1965.08676581528,-1981.78564749723,4.73655559490732,-2.56529896648152,7.7087684446522,"nonveg_695","absence"
3486.95804391606,2799.14346830038,3928.45869558152,4559.765109887,2456.10818854545,3695.22692755484,5459.43836883465,2291.87021102482,5665.48548149283,4614.04015384249,6163.32275588284,6978.96113943382,-5834.63100263347,-5914.01052187691,-6406.25325097997,-6545.36531834605,-4708.208277749,3110.49940583229,1410.68487975728,675.520099412851,6.16244384014246,0,3504.09155143723,3287.76161198405,1755.1004020402,-54.8475531270054,21.1119519951896,-52.0905048412481,5679.71858236619,5213.86970293969,3010.27216302982,-71.3776774296879,-6071.98277077593,-5929.64470938626,-8.78921318770997,-5.05113667526991,-3.43416335872354,"USA.SewardPeninsula.QuartzCreek2","presence"
2297.77203901747,2460.77935862801,3031.05808557787,3357.46676492278,1209.30420893151,2274.72171735773,3556.15771838003,1608.1958319506,4268.73608196998,4557.09321825401,5559.77042944311,6117.50493037326,-4047.16264637978,-5235.46079331539,-6081.91574852506,-6130.11993996343,-2662.46815454411,2342.4218748172,1503.66787182091,654.946049156771,2.70515433947245,0,2512.50993726392,2416.38162380349,1929.28387868366,-14.5993172554394,4.28622139891147,17.5198016247474,4861.49470141349,4635.03776208654,3670.73411780483,-19.1646956328946,-5707.57059477209,-5192.0625805731,15.2953922888903,-9.15805968515147,8.49143958695456,"Canada.DeceptionBay.TH7","presence"
3205.95441337902,3352.49914935908,4154.04068433493,4387.08711490891,2366.26591447431,5096.97376747433,5879.5300380301,3278.33653528964,5376.06757112466,5626.74386194307,6587.82276912557,6846.31126740909,-6127.63267503059,-6147.75362080652,-6193.89972046512,-6284.49431778579,-5198.92112672907,3103.09197706354,1029.41620442889,648.037435374496,1.2037832736969,0,3004.75684075435,2839.08793944646,1437.0037659039,-33.5554154143759,18.9687023157743,-32.553432909021,5319.43441691224,5049.79477506345,1993.28739639963,-47.2675504815061,-6147.98325983774,-5780.11562424934,-12.6868447421176,-2.17919794938475,-2.70958001088241,"Norway.Javrresduottar.A-Betula","presence"
202.869107970578,-10.8810954686295,-5.54563321234235,216.060072244673,-39.5060829126857,-4054.49405211887,-4225.37052771774,-2053.69152756828,725.576361181518,402.501022331341,593.105309611017,957.570279714935,-1079.43872127786,-1073.35935041563,-1682.96960401893,-1817.4160475569,-480.606644824975,645.822506635151,2192.47019621038,677.716766155745,4.05706214904785,0,-5.54563321234235,72.5992737243186,255.566155157359,-0.296414569793729,-25.1018535076691,14.9635342299364,593.105309611017,543.714346023541,917.75152243604,-10.5891270710931,-1079.43872127786,-1226.75807361886,-0.60675049568815,-8.72205268843294,7.17874689852327,"nonveg_1340","absence"
-48.0079073632177,1257.07056279754,168.807792287939,1106.04127028533,1457.08412850519,-1260.99498684217,-1699.10499229298,-671.450619241147,879.062689942012,2813.09830452976,1350.89660782816,2667.63255864154,-3328.81096777523,-2036.93840200139,-3382.40568539328,-2410.97666413328,-629.265252582023,803.241851175714,2203.1999026716,874.348828747976,0.593476355075836,0,1106.04127028533,788.199169302556,1505.0920358684,64.0154570888003,45.1220190200338,97.7894938424082,2632.64030162544,2068.66609251338,1934.03561458775,86.0118645118585,-2410.97666413328,-2357.67939437704,26.0766938689049,6.88159643785221,22.6296605504509,"nonveg_600","absence"
3048.35490201087,2552.39435459953,2911.06464086862,3949.89356270212,1858.56396572936,3630.35359701601,4443.6498353208,2733.20291190893,5822.02936317691,5386.82222712276,5767.99361538506,7290.87468377471,-5699.24159998638,-5519.31813790143,-6967.8659885766,-6288.17755112659,-4290.21875954086,2153.27184242879,1326.93855640434,624.910967238204,2.05277895927429,0,3129.02680822889,3012.19127736075,1901.49702572128,-30.4819429235934,29.1149519911885,-17.5044685686487,6080.15883655784,5844.05832419537,3072.66250370062,-50.2873483161707,-5936.51451931737,-5553.4936824331,-5.6683676465514,-2.26358895130886,1.60930211775704,"Canada.LeRoyLake.TDA4","presence"
