"spectral_EVI2b_earlySummer","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_annualMedian","site_code","presence_absence"
773.793063494405,398.519173279705,676.039418195948,944.248115182498,-2033.23161485105,-1993.17400264465,-2635.96482520014,-2033.23161485105,"nonveg_975","absence"
933.564379213003,562.265104335182,782.659555199427,1105.60945877225,-2218.29936016339,-2507.26762840148,-3016.09539692725,-2507.26762840148,"nonveg_612","absence"
411.028575600415,149.536299487761,890.45010492063,654.496997902446,-1935.72462391995,-1854.70800045491,-2467.50002083204,-1854.70800045491,"nonveg_688","absence"
3372.14853917528,3642.31912401655,3556.43178184039,1667.48512363161,-4954.48074090727,-5811.18082914525,-5345.2599645096,-5634.18798818498,"USA.NorthSlope.10","presence"
171.098462201644,-25.548044629883,634.043609880313,322.932567546505,-1545.06257359536,758.437735790325,-1382.78540478293,-1236.59451818523,"nonveg_594","absence"
2063.50696021295,2524.97670153321,2436.95674753415,1695.22659926224,-4751.15171465413,-5137.66244725079,-5337.6395175057,-5596.82994885317,"Canada.PayneLake.TD2","presence"
250.608730552428,30.6599966662163,-55.7534410072348,-52.8162942616521,-1389.38313793933,-1420.26242486803,-1817.38510089162,-1420.26242486803,"nonveg_542","absence"
1195.026887184,1663.81389136286,1299.50386224663,1040.85250520433,-2987.14119351219,-3110.28481835807,-2883.53107382233,-2913.81413177891,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
3662.26358172697,4490.57044751418,4974.94278146551,2113.1583610384,-5986.53090569368,-6317.51700190181,-6756.31965513746,-6310.46977369205,"Canada.BonifaceRiver.AB8","presence"
3251.63514086926,3585.31975859065,3789.82687344909,2263.8304652284,-6223.16306375172,-5828.05377538614,-6432.42350776763,-6660.08847064289,"Sweden.Abisko.NF-BirchShrub","presence"
1839.65400479838,1778.11889526116,1894.16249159919,1467.00366959084,-3413.65948370294,-3217.87997465994,-3625.8716622658,-3413.65948370294,"nonveg_1069","absence"
