"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","spectral_green_peakSummer","topo_slope","trees_presence","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_SWIR1_changePSLS","site_code","presence_absence"
4450.5368997508,4051.15805384469,4383.4685556152,5114.92020866323,2144.29690921635,-6167.8761873563,-7271.54699853912,-4535.83615546195,584.760532453398,8.42828547954558,0,2828.35163008743,-5979.92010455508,-6384.39951992528,-3.790048496888,"USA.Kougaork.TallShrub","presence"
949.855066683332,411.506292409184,769.983260500095,-28.5429849610629,-185.612610679575,-233.498195506221,-558.879664961095,-1302.88901001323,648.038513325876,21.7044715881348,0,1135.46767736291,-740.985297336738,-899.12776334011,36.3513960438065,"nonveg_709","absence"
2713.47044522352,2971.1738693791,3472.56119191966,3651.11721490142,1832.801288345,-5715.50443193088,-6176.96142369601,-4484.04967664487,605.863093747001,3.5525680065155,1,1502.54350069111,-6239.19670927545,-5645.71717336366,-17.9630340074875,"Finland.Kilpisjarvi.20","presence"
2422.44781447241,951.20147763448,2645.8081982388,3699.38891560767,810.066593871185,-4598.94857155227,-5688.83836606397,-2952.78432317157,577.113449756845,5.20338249206543,1,3547.85778900366,-5162.85244773468,-4699.01054650566,0.244689099402081,"Canada.KluaneLake.Quill-ShrubTundra","presence"
418.93843668105,548.115742636527,409.548168824855,271.523990721311,548.299276971024,-1452.68382007939,-1485.69276797037,-1159.32375268872,1336.35594645182,2.72493457794189,0,276.775286249713,-1452.68382007939,-1413.55114890653,68.8439931097507,"nonveg_768","absence"
227.52910854675,625.52757809897,-23.3599214036553,257.670847073225,-188.498164939266,-1384.1067275497,-1191.70310233131,-1703.11805081375,733.877482324346,23.4878768920898,0,814.025743038236,-1266.33645541616,-976.282292725747,-9.53235862698926,"nonveg_931","absence"
2398.50914520683,2353.02900676278,2558.30827151219,2884.33243360454,1556.6605322174,-5320.6651334462,-5694.12695436673,-3670.01382610314,622.500806927674,7.41902809143067,0,1103.36007621206,-5405.52582331024,-5442.13213833458,-14.3018287942294,"Finland.Kilpisjarvi.18","presence"
3413.25751882082,3755.65513797452,4130.34640321558,4236.36539516798,2377.06772495292,-5919.60288655869,-5747.05988961004,-4712.28576892851,509.45749099286,3.6864728530248,1,2045.90248713915,-5870.2059727329,-5656.72466017529,-11.5431631435802,"Sweden.Abisko.VJ-MesicHeath","presence"
2733.09670089211,2296.83968566367,3027.8861724259,3328.04373261864,2002.73178469667,-5504.33780004429,-5982.4420857022,-4860.12656576946,647.707764153483,2.70037975311279,0,902.447244297404,-5426.36734540533,-5720.8205236167,11.1773182341626,"USA.NorthSlope.Sagwon-C18","presence"
2238.05283620076,2318.50238656575,2502.33739433407,2534.47115972079,1535.58698119767,-4340.1281918805,-5078.13366121019,-3798.84266948147,665.770132162409,1.14516546726227,0,1079.01246668604,-4789.87438832426,-4611.26801634779,49.3456396386711,"Russia.Tiksi.LichenTundra","presence"
396.566439687279,35.9720467910622,327.659738155886,499.476781564072,27.0590178073631,-1167.19087016874,-1530.6822687607,-872.996034994598,1449.57511366354,14.9213781356812,0,472.417763756709,-1367.98361262379,-1345.78489867455,-38.3986727547115,"nonveg_578","absence"
3718.41541211827,2530.5278492238,3998.82582670203,4456.22514942045,1799.78582382592,-5511.46139756467,-6265.03807131516,-5139.4600054322,657.171454204503,3.31079334020615,0,3154.78621412684,-5726.73371682153,-5903.93418230852,5.16496012998982,"USA.Kougaork.GraminoidShrub","presence"
