"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_blue_endSnowfree","spectral_EVI2b_changeSSES","spectral_NDWI_annualMean","site_code","presence_absence"
1834.37063233435,1409.90256102543,1709.40840876851,1521.75989661286,-2221.33381196655,1040.40154202703,-26.047022952202,-2848.96558014728,"nonveg_632","absence"
402.411083264736,-322.179285683314,577.057917150142,174.52679717509,-1025.28972684192,996.940843001899,5.41917320485651,-1313.80644377989,"nonveg_542","absence"
279.914134420063,15.2241190470712,-53.7652701453206,126.088562217334,-1951.27301097143,1916.04509765039,37.5893929816617,-1926.92363600847,"nonveg_674","absence"
-628.114722440863,183.021748182819,496.196481477031,-269.985794817782,3260.47798630493,20.872924537904,1.77588414862824,3178.83632010223,"nonveg_1646","absence"
129.890980473197,672.125942341545,926.814863381528,1075.21660115739,-2078.37125808507,719.967225566403,-16.5880754452638,-1326.56761410752,"nonveg_714","absence"
2187.98880300187,2130.47583822229,2476.38915179235,1606.87603247573,-4606.38092866509,617.019718662974,-13.7483247178179,-4100.54335973293,"Canada.PayneLake.TD0","presence"
1820.38187530879,2104.48856272955,2343.07788768451,768.265771703423,-3965.2213830081,653.910687499508,13.3388849415908,-3989.83253202728,"USA.NorthSlope.WestDock-C14","presence"
1000.1220817041,875.617614831914,455.9997681308,229.164512173849,-985.680764468629,1034.24915948849,-1.84878203750381,-820.063633998739,"nonveg_897","absence"
194.103555321218,469.909325487881,594.156906355193,300.464170865138,-2049.6469022565,665.379284858498,-7.84242108453961,-1671.95193170996,"Canada.Ivujivik.RTP13","presence"
-328.51515773802,637.123503460301,-368.074135260654,328.270216080186,-1321.30917449594,919.260996801042,-17.5093242501577,-1023.09815773559,"nonveg_703","absence"
606.935738378984,757.049420941322,754.918612301277,592.532862357329,-2251.4171712111,855.825092857398,-8.85653587252446,-1961.86875305904,"nonveg_725","absence"
2337.6791859544,3518.13216977498,4269.10426100199,1651.38513517816,-5452.55826021635,512.50657285342,49.9177324004095,-5374.38651156846,"Russia.Kolyma.OW1","presence"
847.910782277923,1011.87103081015,881.752041782837,339.483425105808,-2732.29179587262,633.347987134368,4.81742069189279,-2071.31371046886,"Canada.Ivujivik.TP10","presence"
2390.83226028093,3428.75443219371,4238.1123511303,2090.72973205597,-6271.44447299471,300.701975618909,47.9002547591801,-5856.2271608708,"USA.InteriorAlaska.20","presence"
587.609266875806,-652.208635344514,-339.186219283893,189.88158818878,-1352.50044456843,1866.20861734258,30.132776821539,-1669.86299263718,"nonveg_733","absence"
549.547369708173,-97.5391191694507,337.427192360539,232.09357572982,-1357.85318169668,886.49754229339,2.69756131180664,-1878.14233883185,"nonveg_695","absence"
3190.74585454257,4294.6748379422,4198.87980568851,2749.69502008717,-6047.14408546735,535.458600662646,10.2665528117447,-6338.55775862778,"USA.YukonKuskokwimDelta.72B3","presence"
779.151415792805,788.31828608382,1895.6378407758,854.796694306272,-3497.37101686636,494.464469600855,11.0408057170289,-3141.92126049197,"nonveg_996","absence"
2501.22965236466,2934.52219293272,3300.44251737936,1973.0782116647,-5533.04678612527,434.181686468609,12.4025467620972,-5461.39347105568,"Russia.Yamal.Nadym-2-IH","presence"
209.829051304603,642.269940554226,270.442422182179,-75.3485539100489,-1584.33441919745,1008.07710312949,29.8758151950733,-1287.76096792952,"nonveg_560","absence"
-89.5370506806796,317.543226270853,19.4539389269235,-164.322249725195,-1623.95910923412,567.798281298941,14.2068405363441,-1091.50456573796,"nonveg_903","absence"
1440.6660815769,1779.83231650608,2180.29686752423,1077.95512664369,-5069.00092402765,390.565782223438,36.3049410780869,-4872.60065983375,"Canada.ChukotkaRiver.TH5","presence"
2800.84094898597,3482.59567819046,3952.93944004743,2807.32568759638,-5460.20355030083,561.82530352223,27.9896156288587,-5657.68135174921,"USA.BrooksRange.6","presence"
2307.763434129,2684.10398342305,3023.94949341838,1688.34585517384,-5289.14489819346,508.182019252314,86.499046784455,-4299.97758294338,"Canada.CoutureLake.TDO4","presence"
847.910782277923,1011.87103081015,881.752041782837,339.483425105808,-2732.29179587262,633.347987134368,4.81742069189279,-2071.31371046886,"Canada.Ivujivik.TP10","presence"
487.601689219917,338.076520639004,795.89571410117,-27.8282787828595,-1800.37736762405,745.095078616973,89.1330227387935,-1779.39423244711,"nonveg_736","absence"
3255.16293345675,3662.55348271038,3785.77362472729,2297.58244757258,-5381.9250033066,630.29794442638,20.0230399679669,-5866.04225271758,"Russia.Yamal.VaskinyDachi-2","presence"
2678.58281295953,3167.19436796119,3242.28123045446,2077.18845254622,-5281.62256857293,536.518664342801,22.6839903246563,-5307.20412498985,"USA.NorthSlope.Sagwon-C19","presence"
129.890980473197,672.125942341545,926.814863381528,1075.21660115739,-2078.37125808507,719.967225566403,-16.5880754452638,-1326.56761410752,"nonveg_714","absence"
1674.97685019244,1135.66298476697,1265.88252311184,-600.146558531862,-3437.6334513306,485.617843930269,44.643773716272,-2210.48783870042,"nonveg_1813","absence"
1799.82312515885,2340.28284212827,2669.05438937935,1591.32710115468,-5382.39728739951,457.497980587764,3.51742152431237,-5213.75655795392,"USA.YukonKuskokwimDelta.15B3","presence"
2401.47006545932,2696.94993946693,3056.92279706753,2175.25884073083,-5261.24705381857,533.660612015991,30.350069548655,-5326.28762381278,"Canada.DaringLake.LowBirch","presence"
