"spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_endSnowfree","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NBR_changeESPS","spectral_blue_annualMedian","site_code","presence_absence"
1375.62684057457,1031.68166366809,-1209.76030205448,531.262636116987,1422.53153722172,-35.563288430543,15.5778912700485,525.317424340304,"nonveg_608","absence"
2733.05853046351,6925.75735553122,-6440.37255181947,3155.9870291774,2297.24639022487,18.6443948416728,72.035117937157,320.785170102813,"Sweden.Abisko.NF-DryHeath","presence"
871.869028485923,1617.5437698173,-2881.8044366534,1139.53522310018,1175.61589743156,13.6519179497307,-26.1121646053397,317.30905789665,"nonveg_701","absence"
2345.97603462315,7135.98116773203,-5981.90425192409,3413.98787008081,1325.46757978679,33.7227983993877,25.236687700179,522.633445563367,"Sweden.Abisko.VJ-MesicHeath","presence"
871.869028485923,1617.5437698173,-2881.8044366534,1139.53522310018,1175.61589743156,13.6519179497307,-26.1121646053397,317.30905789665,"nonveg_701","absence"
1424.28573868703,4588.94041352527,-4836.11118588803,2344.90681190285,1843.59790145108,32.528351345947,-12.1122996738909,722.112833165503,"USA.NorthSlope.Atqasuk","absence"
1431.32020299603,6292.84941759538,-5682.31658656825,2156.27059006107,924.115157298548,11.0943678656349,25.3021396516622,338.678094511254,"Finland.Javrresduottar.EC-Sphagnum","absence"
1384.00767041764,5825.63847683267,-5701.33144017299,3094.20439335291,2566.92768995213,85.5642563317376,-15.7097332922687,489.392509613094,"Russia.Tiksi.GraminoidTundra","presence"
2619.68417233632,7830.05812296978,-6933.1203309942,4066.13535977269,2129.92562464826,32.4609177007345,24.5703854148725,301.198168978419,"Finland.Kevo.11","presence"
599.320986419592,1834.04448056357,-2309.72424312416,635.491907754459,226.222040132134,-4.00991447550586,-1.79682914442137,598.962653222906,"nonveg_986","absence"
201.467140429903,544.572805357497,-1603.16550655854,130.95740029084,307.736371195742,-6.04740228457704,-38.4125637374622,981.606987718554,"nonveg_1473","absence"
334.267883422664,1316.46859511945,-1916.07119477543,621.1624567349,751.553921555149,6.86582830090717,-49.8207699761645,939.673199227187,"nonveg_935","absence"
837.976058538304,908.471718969952,-1337.09707552097,566.297180420337,533.438130175157,-21.9120958841843,-38.3118398948872,934.235098806862,"nonveg_535","absence"
2225.24124848431,5440.1773788918,-5585.10277952935,2543.24923107949,1244.17899723065,8.77784746495748,19.960014069374,479.666285350358,"Canada.DaringLake.LowBirch","presence"
2212.51124474757,6635.33190696935,-6344.26501581429,3202.83537007003,1119.67347329428,20.7171766983004,10.8742999686526,336.814948779743,"Sweden.Abisko.VJ-DryHeath","presence"
1698.99989947723,6975.48992314644,-6065.94655240172,2873.36494075764,1861.2327157697,26.5985413883871,-15.9253008253203,374.776989946188,"USA.InteriorAlaska.5","presence"
1292.25668188629,1732.63580911402,-4303.13246671096,1079.69004347045,1491.68004266371,-14.9183730548788,-13.8082015095952,613.038239249853,"nonveg_662","absence"
481.220838321717,1079.72357519305,-2576.23290801796,577.30106112304,515.521840830294,8.53758849092541,-9.08302218063877,1055.37103154573,"nonveg_849","absence"
355.955752456045,838.947652639684,-793.084856935761,415.704726348975,430.549962414606,5.59556694036379,-1.7033823905844,707.185148199758,"nonveg_757","absence"
-515.123821070431,1076.60409702509,-885.562423296135,156.128511409079,1023.12309809988,24.0143351092501,-28.1241158872845,1012.30940670342,"nonveg_751","absence"
249.925549652666,1959.84586735874,-973.275693618998,299.276252936959,727.544859536933,-4.89713864227454,20.8878831658325,763.612030582248,"nonveg_794","absence"
2524.50647666236,5734.38644570607,-5668.33445553645,2926.55026115014,404.766870264009,-0.952968692229115,3.77698869257872,533.88733655814,"Finland.Kevo.10","presence"
355.955752456045,838.947652639684,-793.084856935761,415.704726348975,430.549962414606,5.59556694036379,-1.7033823905844,707.185148199758,"nonveg_757","absence"
991.258417137461,1530.81970811572,-2079.42621569617,794.003383523553,645.25655442079,-3.53597529651343,-20.6266520530609,832.354588583819,"nonveg_882","absence"
-245.363797369247,697.84470141223,-1118.06843301033,-15.1880872422173,469.844000522478,2.83650819692959,-54.6609650782785,465.107326943654,"nonveg_721","absence"
334.267883422664,1316.46859511945,-1916.07119477543,621.1624567349,751.553921555149,6.86582830090717,-49.8207699761645,939.673199227187,"nonveg_935","absence"
2182.84482042467,8006.58272573399,-6800.70934804904,3914.21763939824,2686.17138642734,37.1641276006226,18.9797639553974,659.860104131146,"Canada.ClearwaterLake.AB1","presence"
2164.29023588608,7549.59388943558,-6377.55191614659,3109.81996298792,1588.9166318446,28.8517827941211,41.6010343095521,606.417577189529,"Finland.Kevo.5","presence"
1452.91681588248,6545.26240813373,-5934.23681252239,2779.31081967869,1838.20853117332,46.9084060992075,9.24014178737511,484.959726046836,"Canada.CoutureLake.TDA7","presence"
1850.84493282459,6272.67714052327,-6001.73359908494,2930.8435155611,1160.15972540651,15.2763875616397,34.9578180150899,414.843802971867,"Norway.Javrresduottar.EC-Betula","presence"
664.14675722667,976.902620212409,-2279.6355624198,438.634390340924,557.741668092255,0.296000523317114,-31.9534958740285,650.05541151934,"nonveg_792","absence"
2146.08004480349,6343.88533396178,-6058.84446449301,3036.31311490184,1475.70682208728,23.0534152667583,33.695099838977,515.144247068343,"USA.SewardPeninsula.QuartzCreek3","presence"
1245.60377238328,4573.21814591849,-4537.55695332893,2011.6905477608,1388.74642212237,33.6766814945634,23.0286311667256,680.739229612686,"Canada.PrincePatrickIsland.MouldBay-C06","presence"
