"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_endSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_lateSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_endSnowfree","spectral_SWIR2_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changePSLS","spectral_EVI2b_changeLSES","spectral_NDMI_changeESPS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_annualRange","spectral_NDWI_changeESPS","spectral_NDWI_changeLSES","spectral_NIR_changeLSES","spectral_red_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2484.95422837113,2471.64197695486,2908.37161796378,3069.9115620348,1477.7596517832,4634.60582504264,5261.60101460428,5891.5608509015,3571.39509244355,-5404.53467580259,-5948.29967422684,-6028.33701267326,-6136.2208354875,-4713.88616290804,1979.3810800764,951.900593854511,0.74991101026535,0,2640.05538947458,2655.4436641016,2381.47400075778,35.4558248965588,-53.6350386663055,-63.2521900097097,56.4233759554632,5293.13550914687,5327.19226038871,3724.50940839595,-97.6044459181627,-5428.78663416964,-5572.21624759389,1571.2276037752,0.463031177656817,-25.6617192501516,-32.5310422316563,-8.04917059162807,"Finland.Javrresduottar.A-Betula","presence",0,1,0,0,0
3563.72982433797,2161.42812201983,3797.94156437413,4610.4046065646,1496.28241163484,1741.1598293469,5911.56683615695,6318.05026963882,2697.46470635097,-5448.95931132128,-5364.47973852539,-5362.76201609317,-6122.72605351667,-4609.79280276027,2146.44052594403,1374.80466331778,0.856399198373159,0,3864.51694281085,3176.72810326294,3594.45058764583,100.86411655925,-32.3203610013851,-73.5973460903774,44.5743786182739,6430.0299081117,5318.09323011692,5437.84886644192,-107.843957399067,-5137.20148575563,-5338.24207949648,904.787989918771,-34.7471573158516,-18.2356954076443,-37.8497143410377,-0.87466943619855,"USA.BrooksRange.8","presence",0,0,1,0,0
2779.24222192115,3264.01144483126,3408.62908883782,3649.24561177032,1618.9893148586,3622.25798651921,4556.43944501248,5706.86444179929,2746.34857845695,-5182.20189881332,-5786.90800829448,-6446.1712588133,-6300.68750819858,-3645.65121845651,2673.15267449105,1793.8312414253,0.966929966211319,0,2792.48504578661,2636.38400962022,1461.76014493066,13.1196690141488,45.0799760636756,-9.31330109845576,18.483529746804,5061.89192679263,4524.03518037317,2449.27786640299,-28.8761651241925,-5530.52607153409,-5348.09343932468,3168.46261763437,-47.011409951526,46.1898129708346,9.33421543939708,9.08958960934178,"Russia.Tiksi.FloodMeadow","presence",0,0,1,0,0
950.719649930025,153.105263990791,681.308364083621,245.925571579796,989.319345799001,-1677.41310635727,1287.09764311355,963.806292631743,1333.4169640227,-923.142321893849,-1888.37141541185,-1274.49537203365,-1795.04264498557,-812.874967485958,2399.98069347602,3723.10836017944,2.23169207572937,0,681.308364083621,604.075639076647,836.21408180821,-1.67824764647723,62.1975417862608,-75.4575857275471,-40.0800346169393,963.806292631743,871.127651161876,1003.45009285841,-90.5484887810646,-1274.49537203365,-1338.78534436218,1075.49644792589,-36.3291801288215,-87.6965776254568,-49.0367443715688,-19.5102952852749,"nonveg_876","absence",1,0,0,0,0
2114.60970044623,2190.2775497529,2270.40749722877,2360.62762556478,1358.75229922183,1158.04707703568,4217.46136503474,4813.17176715686,3051.66222143799,-4439.43542798449,-4934.93315368852,-5193.48850100086,-5347.98769348847,-3684.02708399229,2025.42576464792,1659.36168339226,0.75560994942983,0,1924.59931045779,1854.66726589128,1213.84169790419,10.3982244561881,24.7478146353629,-32.3196477085985,13.8788549120604,3800.83978780703,3816.6809209653,2718.36550698819,-95.2429241814881,-5622.96191967797,-5422.85016104997,1650.38713582843,-16.8921933923918,-64.2851168877454,-13.1976865203541,-6.83562186430398,"Canada.PayneLake.TD0","presence",0,0,1,0,0
1001.34980296076,400.977750400218,748.10718106273,1144.14744559613,576.680878658505,-1276.80390343383,1537.90206023315,1277.29555477685,925.878096233946,-1734.67209635321,-2475.05716165788,-2521.19243262615,-2180.98405808544,-1233.95601331525,1978.91840820732,2602.9423904745,2.73595142364502,0,748.10718106273,774.252611735668,743.169695195907,15.1667472965092,-23.2964861490233,-20.4193782742654,-3.34964623900804,1277.29555477685,1271.80260063216,953.050251179934,-26.1677667299062,-2180.98405808544,-2029.17235240758,1287.2364193109,-15.3900676459391,2.7138394687214,-9.55385698452265,-1.48077293472178,"nonveg_998","absence",0,0,1,0,0
2575.15920360154,2022.56269568244,2854.96689933017,3595.21900294833,1413.44713790447,2763.64455869148,5677.78548968119,6042.21375458355,3273.09736121386,-5662.56590095063,-5679.71253638867,-6383.84101032083,-6529.56787111043,-3910.01911884252,1790.12818069871,1083.13131027896,1.37923403051164,0,2689.54683872838,2335.28624219818,2808.62738495126,93.6209128317088,-9.31127675713804,-1.42229521955975,-32.1828290393689,5690.35324855128,5087.66554664006,4626.61184006644,-2.11131275960557,-5563.6721018887,-5900.20371061296,2266.17833647033,-73.1025269829137,62.8201023262127,3.81168726332995,13.2681976255276,"Canada.DaringLake.MediumBirch","presence",0,0,1,0,0
-109.68669946592,-230.562959942447,377.165991622142,-144.002923848358,81.0814958887486,-172.530520176165,-549.257725808914,248.369591745634,-1695.1209647336,-12.5182074377554,-436.327935783624,-55.1633735972179,-706.883859310671,2235.83776360951,823.3732024299,307.486734604066,0.186212286353111,0,-109.68669946592,-5.20101914916694,607.728951564589,-7.33723828287188,34.7445943647,-40.5152634376393,-53.9993699683701,-382.415392244232,-522.616936904257,1943.49055647923,-42.052332265991,-55.1633735972179,204.988877496048,2942.72162292018,-25.7172463656635,-25.4109708124271,-36.7127498222881,-18.5855387426999,"nonveg_1642","absence",0,0,1,0,0
2705.28761867229,2861.45794528319,3350.48124804412,3384.16604497826,1630.02487618444,4043.53877040787,4772.06465539968,5792.84376891003,3053.52862004706,-4892.59285038681,-5835.19481356142,-6047.51659169916,-6334.16794654417,-4850.87264366871,2509.34457709309,1074.23886810196,0.523900166153908,0,3431.46941944436,3394.47597588565,2074.59361550285,38.0019076902631,-11.8044839915668,-44.7266538296715,13.088301449762,5356.31192181552,5403.36926423875,3031.43846404004,-78.4241712090148,-5916.05242077177,-5611.22407200717,824.872067335539,-25.7772521042356,1.48289350354823,-16.5334091245678,-0.158703389368987,"Russia.Kytalyk.T3","presence",0,0,1,0,0
751.28084615638,642.408098138229,447.07174060886,859.376523083103,407.935034965171,331.323306333661,1230.24958856939,725.462132018969,609.957727384281,-1446.50265287232,-1559.75305076398,-2235.0999916371,-1457.73410221563,-1424.26652638519,2357.73858684185,2237.46429964343,2.51329660415649,0,642.408098138229,621.614448590349,451.441488117932,17.1672905595604,-45.8116424971381,19.5336357529369,-2.64006624215826,1077.18148365257,1016.93598688161,831.871275398564,35.1719351633601,-1457.73410221563,-1624.67126477484,810.833465251911,-0.561572467165263,67.5346940873117,17.97494157271,14.7261561631254,"nonveg_866","absence",1,0,0,0,0
