"spectral_EVI2b_earlySummer","spectral_EVI2b_peakSummer","spectral_NBR_peakSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_EVI2b_annualRange","site_code","presence_absence"
1408.70150059062,1535.31914836428,238.832989096628,-1471.3367797129,-1553.66194368392,-2606.77940754553,-1599.95744046703,850.077026765808,"nonveg_540","absence"
2659.86737652078,3446.68947436499,4161.21595262312,-5516.1154532234,-5780.26815925753,-6415.51948578083,-6701.65489045813,1586.78227996933,"Canada.DaringLake.MediumBirch","presence"
-228.094930678552,346.526961810449,-2740.07911211357,-1871.95208097169,-1161.38679651511,-556.286808995941,-1154.53074751145,932.715908110394,"nonveg_976","absence"
600.140801879405,1011.39089157893,-1610.59410084333,-2282.12950761563,-2312.56227204362,-2334.65720077976,-2471.55001348517,1024.23743318725,"Canada.Ivujivik.RTP12","presence"
2926.43674476803,3677.42776921969,4238.964140843,-5579.35307197915,-5844.9325597347,-6044.16324245991,-6286.66228596679,1521.29890607743,"USA.YukonKuskokwimDelta.15B4","presence"
3013.58902910935,3921.24035428952,4999.10888945875,-5738.55141860145,-6449.11511725318,-6099.73674645421,-6047.15801707626,2776.76412548796,"Russia.Kytalyk.T2","presence"
1091.2946451959,276.932987386194,-2095.5194899531,-870.619563723371,-1774.24443823095,-1790.81575150843,-1822.60225164284,1395.33810859621,"nonveg_677","absence"
230.027083890223,950.96004162515,-1279.38987239602,-2488.3107074057,-1981.20365080299,-2039.05706959497,-1766.53144334092,842.585055587384,"nonveg_902","absence"
3191.63949760945,3649.80734960282,4753.38190433529,-5670.41630920969,-6241.18182657132,-6160.87005018479,-6245.76914546979,1908.14584793792,"Russia.Tiksi.Bog","presence"
765.37458316431,332.895868553344,-2102.6941573436,-593.929139107329,890.661835365819,-428.097884955124,-1316.86130825209,1089.54522589867,"nonveg_594","absence"
2594.077854458,3311.46040650584,3041.70770154638,-4962.10498020492,-5681.84503266834,-5942.62600783415,-5718.95269747532,1150.18645246865,"Canada.CoutureLake.TDO4","presence"
3132.10855000578,4446.37912333429,5175.7368445368,-5646.10443057065,-5761.06387902954,-6328.16656852011,-5841.23751660524,2273.10210683659,"USA.YukonKuskokwimDelta.UB7","presence"
3336.7687618734,3792.27692605943,3864.62240733578,-6020.49509164993,-5860.92568917563,-6035.36825528614,-6235.62716957851,1123.87616799296,"Canada.Yukon.SCHAR","presence"
2745.94010489034,2857.21655641197,4579.88879022976,-5132.74129079195,-5768.37824477221,-5971.49724647705,-6477.619446731,1402.12705284841,"Finland.Javrresduottar.A-Betula","presence"
661.582481656562,673.292151295358,-1189.32823794318,-1739.1819307097,-2140.28898522736,-2406.01579249059,-1927.18629592234,242.67596620029,"nonveg_816","absence"
3659.18869355521,4695.18711466781,5415.13159442973,-6050.4160390484,-6066.34266548833,-6446.52160685655,-6575.53162728486,2501.01195192359,"USA.NorthSlope.Ivotuk1","presence"
2224.3685273172,2699.53815268072,2002.81196985717,-4740.85591200707,-4873.84946542298,-5392.23049982417,-5059.74842594577,1091.38781100804,"Canada.PayneLake.TD4","presence"
2849.83337670836,3091.86858622058,3306.24694787412,-4806.28180933267,-5660.29252703019,-5209.57409071733,-5130.72076763735,1043.47994760693,"Canada.Yukon.UPPERPALDO","presence"
1511.64935868668,1360.73240603787,-918.304209881923,-1752.48135991583,-2399.25198730851,-2030.46657814475,-2364.6208158533,737.109915394729,"nonveg_807","absence"
755.57314111682,102.412305689948,-1767.92651238277,-1725.24826358253,-2047.41246950911,-1133.8135894139,-2461.5610093389,1161.73202061827,"nonveg_602","absence"
970.974027536293,275.815224604508,-3345.33473536393,-2307.33279908834,-2827.14534673848,-2929.4070089372,-3242.74691694066,695.158802931786,"nonveg_746","absence"
676.001098064774,821.040652920087,-1825.10346744766,-1661.63214869107,-1865.09260560688,-2165.0443859265,-1751.72200388145,337.373633401709,"nonveg_825","absence"
221.180109152391,759.439240638188,-625.148544091831,-2662.99221851363,-872.716563965147,-1723.97682220185,-2246.41856662379,1270.94679042566,"nonveg_606","absence"
2396.30028659715,2346.10473793661,1605.49238191293,-4229.99264293575,-4589.63382947064,-5047.7695548191,-5261.9630049522,853.033695251011,"Canada.LeRoyLake.TD4","presence"
302.514992353567,-40.5276628672091,450.244427077895,-63.184010921733,-1004.89187485014,109.880262197407,-564.186735612499,972.293738847198,"nonveg_689","absence"
3002.81433370841,4320.11042173955,4773.03380152962,-5768.86189077699,-5911.47305314694,-6292.81386741875,-6522.13741431578,1795.57154893797,"Sweden.Abisko.KJ-SalixShrub","presence"
2216.49299978262,2456.11837922105,5864.87814245617,-5892.39015894421,-5487.83746825658,-6156.41902006318,-6205.80100178016,805.518535050511,"USA.InteriorAlaska.1","presence"
3553.92864790912,4211.24126983325,6062.89460398304,-5337.8862173314,-5554.69131668642,-6346.57085300383,-6907.65202608648,2549.44946961042,"USA.InteriorAlaska.2","presence"
2519.07711787824,3384.72672619805,4118.27350197037,-5945.24396850091,-5552.02849914997,-5992.69370044211,-6375.26090282864,1351.96323583512,"Russia.Tiksi.WetFen","absence"
-316.246525048816,958.381740745137,527.445600993452,-1536.33299806325,-811.153036044961,-1258.36013526029,-296.732007622307,1274.62826579395,"nonveg_1416","absence"
718.717217627093,319.187159810941,-2993.74224200631,-1373.35564426545,-958.076818616277,-1085.37926242933,-1901.61594854888,663.615208674311,"nonveg_695","absence"
3441.39135436266,4279.51393451873,5284.83698789799,-6307.34935792456,-5834.27027436282,-6105.50954405647,-6249.57752785325,1171.647372993,"USA.BrooksRange.7","presence"
2996.21389828515,3568.21292811474,3528.20575446497,-5764.53566030901,-5908.90049092861,-6440.86123135168,-6205.48357563479,1774.40432694817,"Finland.Kevo.1","presence"
3363.65726956571,3985.87516277552,4376.4631030845,-5739.67924179764,-5846.65104438289,-6623.04727512,-6938.44852178009,1683.15652332038,"Finland.Kilpisjarvi.19","presence"
